"";"AC";"ID";"Description";"Gene";"Go.Cc";"GSC.det";"GSC.aqu";"GSC.det.norm";"GSC.aqu.norm";"ratio";"sqrt.ratio"
"1";"136429";"136429";"trypsin [Sus scrofa]";"";NA;53;28;0,791044776119403;0,417910447761194;1,89285714285714;1,37581144887559
"2";"162648";"162648";"albumin [Bos taurus]";"";NA;18;311;0,26865671641791;4,64179104477612;0,0578778135048232;0,240578081929388
"3";"A6NHL2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";"microtubule, cytoplasm";4;4;0,0597014925373134;0,0597014925373134;1;1
"4";"bcrabl";"BCR_HUMAN, bcrabl, bcrabl_t315i";"BCR-ABL fusion protein, BCR-ABL T315I mutant (check specific peptide), Breakpoint cluster region protein";"BCR";NA;1;2;0,0149253731343284;0,0298507462686567;0,5;0,707106781186548
"5";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";"nucleus, cytoplasm";23;17;0,343283582089552;0,253731343283582;1,35294117647059;1,1631599960756
"6";"O00154";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";"extracellular vesicular exosome, neuron projection, nucleus, cytosol, mitochondrion, cell body, cytoplasm";8;30;0,119402985074627;0,447761194029851;0,266666666666667;0,516397779494322
"7";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";"cytoplasmic exosome (RNase complex), cytosol";1;2;0,0149253731343284;0,0298507462686567;0,5;0,707106781186548
"8";"O14579";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";"nucleus, COPI vesicle coat, Golgi apparatus, cytosol";7;15;0,104477611940299;0,223880597014925;0,466666666666667;0,683130051063973
"9";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";"nucleus, extracellular vesicular exosome, cytoplasm";1;18;0,0149253731343284;0,26865671641791;0,0555555555555556;0,235702260395516
"10";"O14773";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";"mitochondrion, lysosomal lumen, melanosome, lysosome, extracellular vesicular exosome";24;11;0,358208955223881;0,164179104477612;2,18181818181818;1,47709789175199
