"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134-1.id.csv";"peptide.count.P5134-2.id.csv";"spectra.count.P5134-1.id.csv";"spectra.count.P5134-2.id.csv";"dNSAF.P5134-1.id.csv";"dNSAF.P5134-2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;0,000145423387265996;1;1;1;1;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane"
"2";"A0FGR8";"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;5,77709346673135e-05;0;1;0;1;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane"
"3";"A0FGR8";"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;0,00012550237531175;0;1;0;2;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane"
"4";"A1X283";"A1X283";"SPD2B_HUMAN";"SH3 and PX domain-containing protein 2B";"SH3PXD2B";2;2;6,04190516241293e-05;NA;2;NA;2;NA;0,000161710519817267;"cell junction, podosome, cytoplasm, cell projection"
"5";"A2A3N6";"A2A3N6";"PIPSL_HUMAN";"Putative PIP5K1A and PSMD4-like protein";"PIPSL";3;3;9,57803179169057e-05;NA;3;NA;3;NA;0,000256354321728881;"cytoplasm"
"6";"A2RU67";"A2RU67";"K1467_HUMAN";"Uncharacterized protein KIAA1467";"KIAA1467";2;2;8,8491569179392e-05;NA;2;NA;2;NA;0,00023684611503783;"integral component of membrane"
"7";"A2VDJ0";"A2VDJ0-3";"T131L_HUMAN";"Transmembrane protein 131-like";"KIAA0922";2;2;3,42086737287643e-05;NA;2;NA;2;NA;NA;"integral component of membrane"
"8";"A3KMH1";"A3KMH1-1,A3KMH1-3";"VWA8_HUMAN";"von Willebrand factor A domain-containing protein 8";"VWA8";2;2;1,44466551258745e-05;2;NA;2;NA;NA;NA;"mitochondrion, extracellular region"
"9";"A5YKK6";"A5YKK6-1";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";2;2;2,31657222346725e-05;NA;2;NA;2;NA;NA;"CCR4-NOT complex, cytosol, peroxisomal membrane, cytoplasmic mRNA processing body, extracellular space, nucleus"
"10";"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;0,000126938066435935;1;1;1;1;NA;NA;"cytoplasm, microtubule"
"11";"A6NHR9";"A6NHR9-2";"SMHD1_HUMAN";"Structural maintenance of chromosomes flexible hinge domain-containing protein 1";"SMCHD1";2;2;2,74522473963002e-05;2;NA;2;NA;NA;NA;"Barr body"
"12";"A6NJ46";"A6NJ46-1";"NKX63_HUMAN";"Homeobox protein Nkx-6.3";"NKX6-3";1;1;0,000138469826489514;0;1;0;1;NA;NA;"nucleus"
"13";"A6NJT0";"A6NJT0";"UNC4_HUMAN";"Homeobox protein unc-4 homolog";"UNCX";2;2;0,000103656791016162;NA;2;NA;2;NA;0,000277435562247703;"nucleus"
"14";"A6NK75";"A6NK75";"ZNF98_HUMAN";"Zinc finger protein 98";"ZNF98";3;3;0,000144340269308344;NA;3;NA;3;NA;0,000386324170157859;"nucleus"
"15";"A6NNC1";"A6NNC1";"P12LL_HUMAN";"Putative POM121-like protein 1-like";"";1;1;4,60215351417908e-05;0;1;0;1;NA;0,000164234429825563;"integral component of membrane"
"16";"A7MBM2";"A7MBM2";"DISP2_HUMAN";"Protein dispatched homolog 2";"DISP2";2;2;3,92874775371748e-05;NA;2;NA;2;NA;0,000105152236654911;"integral component of membrane"
"17";"A8TX70";"A8TX70-1";"CO6A5_HUMAN";"Collagen alpha-5(VI) chain";"COL6A5";2;2;2,10484726690561e-05;2;NA;2;NA;NA;NA;"extracellular region, collagen trimer, proteinaceous extracellular matrix"
"18";"B0I1T2";"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;2;7,20913634965053e-05;NA;1;NA;2;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"19";"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;1;3,60456817482527e-05;NA;1;NA;1;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"20";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";3;8;0,000334600340605361;3;3;4;4;0,00045675004097777;0,000447775937852676;"peroxisomal matrix, nucleolus, peroxisome, intracellular membrane-bounded organelle, mitochondrion, peroxisomal membrane"
"21";"O00139";"O00139-1";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;7,7962827237368e-05;2;NA;2;NA;NA;NA;"kinesin complex, microtubule, spindle pole, cytosol, centrosome"
"22";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";10;23;0,00148238921391145;7;9;10;13;0,00175961081360288;0,00224254998383594;"nucleus, cytoplasm"
"23";"O00182";"O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";5;11;0,00085275960045831;5;4;6;5;NA;NA;"extracellular vesicular exosome, cytoplasm"
