"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134.1.id.csv";"peptide.count.P5134.2.id.csv";"spectra.count.P5134.1.id.csv";"spectra.count.P5134.2.id.csv";"dNSAF.P5134.1.id.csv";"dNSAF.P5134.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"1";"A0FGR8";1;1;"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;0,000145423387265996;1;1;1;1;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane";0,000145180023228804;"calcium-dependent phospholipid binding, phosphatidylinositol binding, phosphatidylcholine binding, phosphatidylethanolamine binding, calcium ion binding, protein binding"
"2";"A0FGR8";2;2;"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;5,77709346673135e-05;0;1;0;1;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane";7,25900116144019e-05;"calcium-dependent phospholipid binding, phosphatidylinositol binding, phosphatidylcholine binding, phosphatidylethanolamine binding, calcium ion binding, protein binding"
"3";"A0FGR8";3;3;"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;0,00012550237531175;0;1;0;2;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane";0,000145180023228804;"calcium-dependent phospholipid binding, phosphatidylinositol binding, phosphatidylcholine binding, phosphatidylethanolamine binding, calcium ion binding, protein binding"
"4";"A3KMH1";8;8;"A3KMH1-1,A3KMH1-3";"VWA8_HUMAN";"von Willebrand factor A domain-containing protein 8";"VWA8";2;2;1,44466551258745e-05;2;NA;2;NA;NA;NA;"mitochondrion, extracellular region";0,000145180023228804;"ATP binding, ATPase activity"
"5";"A5YKK6";9;9;"A5YKK6-1";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";2;2;2,31657222346725e-05;NA;2;NA;2;NA;NA;"CCR4-NOT complex, cytosol, peroxisomal membrane, cytoplasmic mRNA processing body, extracellular space, nucleus";0,000145180023228804;"retinoic acid receptor binding, estrogen receptor binding, protein binding, poly(A) RNA binding"
"6";"A8TX70";17;17;"A8TX70-1";"CO6A5_HUMAN";"Collagen alpha-5(VI) chain";"COL6A5";2;2;2,10484726690561e-05;2;NA;2;NA;NA;NA;"extracellular region, collagen trimer, proteinaceous extracellular matrix";0,000145180023228804;"protein binding"
"7";"B0I1T2";18;18;"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;2;7,20913634965053e-05;NA;1;NA;2;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000145180023228804;"ATP binding, motor activity"
"8";"B0I1T2";19;19;"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;1;3,60456817482527e-05;NA;1;NA;1;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";7,25900116144019e-05;"ATP binding, motor activity"
"9";"O00182";23;23;"O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";5;11;0,00085275960045831;5;4;6;5;NA;NA;"extracellular vesicular exosome, cytoplasm";0,00079849012775842;"galactose binding, signal transducer activity, carbohydrate binding"
"10";"O00231";25;25;"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";6;11;0,000358684429102725;4;5;5;6;NA;NA;"nucleus, nucleoplasm, extracellular vesicular exosome, proteasome accessory complex, cytosol, proteasome complex";0,00079849012775842;"protein binding"
"11";"O00264";27;27;"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";2;2;0,000282265415536317;NA;2;NA;2;NA;0,000755478377197592;"integral component of membrane, nucleolus, endoplasmic reticulum membrane, endoplasmic reticulum, extracellular vesicular exosome";0,000145180023228804;"heme binding, steroid binding, protein binding"
"12";"O00483";31;31;"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";3;6;0,00203858355665118;2;3;3;3;0,00278279191632752;0,00272811636210241;"mitochondrial respiratory chain complex IV, extracellular vesicular exosome, mitochondrion, mitochondrial respiratory chain complex I, mitochondrial inner membrane";0,000435540069686411;"NADH dehydrogenase (ubiquinone) activity, protein complex binding"
"13";"O00487";32;32;"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";5;8;0,000710216206833314;4;3;5;3;0,00121186099582005;0,000712830404291276;"cytosol, proteasome complex, proteasome regulatory particle, lid subcomplex, nucleoplasm, extracellular vesicular exosome, proteasome accessory complex, nucleus";0,000580720092915215;"metal ion binding, ubiquitin thiolesterase activity, proteasome binding, metallopeptidase activity, endopeptidase activator activity"
"14";"O00560";33;33;"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";3;9;0,000277055818940848;3;3;5;4;NA;NA;"cytoskeleton, plasma membrane, nucleus, focal adhesion, interleukin-5 receptor complex, endoplasmic reticulum membrane, melanosome, cytosol, extracellular space, adherens junction, membrane, extracellular vesicular exosome, cytoplasm, blood microparticle";0,000653310104529617;"frizzled binding, interleukin-5 receptor binding, identical protein binding, protein binding, protein N-terminus binding, syndecan binding, cytoskeletal adaptor activity, protein heterodimerization activity"
"15";"O00592";35;35;"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;5;0,00012330142479745;2;3;2;3;NA;NA;"lamellipodium, plasma membrane, cytoplasm, cell body, ruffle, microvillus membrane, integral component of plasma membrane, slit diaphragm, filopodium, extracellular vesicular exosome, membrane raft, extracellular space, apical plasma membrane";0,000362950058072009;"protein binding"
"16";"O14647";39;39;"O14647-1";"CHD2_HUMAN";"Chromodomain-helicase-DNA-binding protein 2";"CHD2";2;2;3,01103698192461e-05;NA;2;NA;2;NA;NA;"nucleus, extracellular vesicular exosome";0,000145180023228804;"core promoter sequence-specific DNA binding, poly(A) RNA binding, ATP-dependent DNA helicase activity, histone binding, DNA binding, ATP binding"
"17";"O14672";40;40;"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";16;42;0,00154528994200698;13;15;21;21;0,00210941579753704;0,00206797055790384;"Golgi-associated vesicle, extracellular vesicular exosome, postsynaptic density, cell surface, cytoplasm, Golgi apparatus, nucleus, plasma membrane, tetraspanin-enriched microdomain, integral component of membrane, perinuclear endoplasmic reticulum";0,00304878048780488;"metalloendopeptidase activity, integrin binding, protein binding, protein kinase binding, protein homodimerization activity, zinc ion binding, receptor binding, metallopeptidase activity, endopeptidase activity"
"18";"O14763";43;43;"O14763-2";"TR10B_HUMAN";"Tumor necrosis factor receptor superfamily member 10B";"TNFRSF10B";2;2;0,000125094900067231;NA;2;NA;2;NA;NA;"integral component of membrane, plasma membrane";0,000145180023228804;"TRAIL binding, protein binding, receptor activity"
"19";"O14786";44;44;"O14786-1";"NRP1_HUMAN";"Neuropilin-1";"NRP1";2;5;0,00014908384623397;2;2;2;3;NA;NA;"growth cone, cytosol, cell surface, neurofilament, plasma membrane, cytoplasmic vesicle, receptor complex, early endosome, semaphorin receptor complex, neuronal cell body, axon, integral component of membrane, sorting endosome, extracellular space";0,000362950058072009;"growth factor binding, protein binding, heparin binding, semaphorin receptor activity, vascular endothelial growth factor binding, metal ion binding, coreceptor activity, cytokine binding, vascular endothelial growth factor-activated receptor activity"
"20";"O14795";45;45;"O14795";"UN13B_HUMAN";"Protein unc-13 homolog B";"UNC13B";2;2;3,45956983215473e-05;NA;2;NA;2;NA;9,25947728180581e-05;"Golgi apparatus, neuromuscular junction, plasma membrane, cell junction, cytoplasm, cytosol";0,000145180023228804;"signal transducer activity, metal ion binding, protein binding, diacylglycerol binding, receptor activity"
"21";"O14818";46;46;"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";5;12;0,00133165538781246;4;4;6;6;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, nucleoplasm, nucleus, cytosol, proteasome core complex";0,000871080139372822;"protein binding, threonine-type endopeptidase activity, identical protein binding"
"22";"O14924";48;48;"O14924-4";"RGS12_HUMAN";"Regulator of G-protein signaling 12";"RGS12";3;3;5,70577982338443e-05;3;NA;3;NA;NA;NA;"plasma membrane, nucleus, cytoplasm, nucleolus, nuclear matrix, condensed nuclear chromosome";0,000217770034843206;"GTPase activator activity, GTPase regulator activity, receptor signaling protein activity"
"23";"O14950";49;49;"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";4;10;0,000802357959614895;4;4;4;6;0,000876214364324701;0,00128849810688219;"Z disc, apical part of cell, extracellular vesicular exosome, cytosol, myosin II complex, stress fiber";0,000725900116144019;"calcium ion binding, protein binding"
"24";"O14979";50;50;"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";5;18;0,0004432634414147;5;5;10;8;NA;NA;"nucleus, cytoplasm, spliceosomal complex, extracellular vesicular exosome";0,00130662020905923;"double-stranded DNA binding, DNA binding, single-stranded DNA binding, nucleotide binding, poly(A) binding, poly(A) RNA binding, poly(G) binding"
"25";"O15031";57;57;"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";23;49;0,000733690436738169;17;21;22;27;0,000899335363600951;0,00108204397604606;"extracellular vesicular exosome, integral component of plasma membrane, intracellular";0,00355691056910569;"GTPase activator activity, protein binding, semaphorin receptor activity"
"26";"O15127";61;61;"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;6;0,000501900510908041;2;3;2;4;0,00045675004097777;0,000895551875705352;"transport vesicle, nucleus, trans-Golgi network membrane, integral component of membrane, recycling endosome membrane, intracellular membrane-bounded organelle, Golgi apparatus, extracellular vesicular exosome";0,000435540069686411;"protein binding"
"27";"O15143";62;62;"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";7;14;0,00103573196829858;5;6;6;8;0,00121186099582005;0,00158406756509172;"Arp2/3 protein complex, actin cytoskeleton, extracellular vesicular exosome, cytoplasm";0,00101626016260163;"structural constituent of cytoskeleton"
"28";"O15144";63;63;"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";7;12;0,00110083512059164;4;6;5;7;0,00125225636234738;0,00171871330812452;"cytosol, actin cytoskeleton, Arp2/3 protein complex, plasma membrane, Golgi apparatus, endosome, neuron projection, cytoplasm, focal adhesion, cell leading edge, extracellular vesicular exosome, synapse";0,000871080139372822;"structural constituent of cytoskeleton, protein binding"
"29";"O15145";64;64;"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";4;9;0,00139150506816359;4;4;4;5;0,00168843554473805;0,00206907701620127;"lamellipodium, Arp2/3 protein complex, cytosol, actin cytoskeleton, extracellular vesicular exosome";0,000653310104529617;"structural constituent of cytoskeleton, protein binding"
"30";"O15230";65;65;"O15230";"LAMA5_HUMAN";"Laminin subunit alpha-5";"LAMA5";2;3;2,23444205803444e-05;NA;2;NA;3;NA;5,9804445285601e-05;"extracellular space, basal lamina, laminin-10 complex, extracellular vesicular exosome, laminin-11 complex, nucleus, extracellular region, laminin-1 complex, basement membrane, laminin-5 complex";0,000217770034843206;"structural molecule activity, integrin binding"
"31";"O15372";72;72;"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";9;21;0,00164187056338241;7;9;9;12;0,00192107510132837;0,00251110710602609;"extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";0,00152439024390244;"poly(A) RNA binding, protein binding, translation initiation factor activity"
