"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc"
"1";1;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";5;8;0,00196463389159311;2;4;2;6;0,00117625569265145;0,00354523404923759;"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex"
"6";6;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";8;28;0,00356380362915868;8;4;17;11;0,00518184900300322;0,00336860769337952;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane"
"19";19;"O75369";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";6;6;1,94964080325823e-05;NA;6;NA;6;NA;NA;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"24";24;"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";2;3;0,000264610712299146;2;NA;3;NA;0,000633705563179581;NA;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting, plasma membrane, nucleolus"
"26";26;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";2;4;0,000244564446215877;NA;2;NA;4;NA;0,000588430720293567;"extracellular vesicular exosome, cytoplasm, plasma membrane"
"33";33;"P01892";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;5;0,00294571733437553;2;1;3;2;0,00427158060440958;0,00273096339774603;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex"
"36";36;"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";1;1;7,78744684003188e-05;1;NA;1;NA;0,000186498435479605;NA;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome"
"38";38;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;7;0,000786133153490884;3;2;5;2;0,00134477050250948;0,000540418346531473;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane"
"41";41;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";25;196;0,0217364005336638;24;23;83;113;0,0219262234928043;0,0302635288397638;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle"
"42";42;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";10;61;0,0107768965822053;8;9;19;42;0,00803891763679252;0,0178531637046681;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"46";46;"P05023";"P05023-1,P05023-3";"P05023-1,P05023-3";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";2;2;5,78539550188097e-05;2;NA;2;NA;NA;NA;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome"
"47";47;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";10;25;0,00496515066981899;8;6;13;12;0,00618323671992784;0,00573423762326348;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"53";53;"P05534";"P05534,P30447";"P05534,P30447";"1A23_HUMAN, 1A24_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, extracellular vesicular exosome, early endosome membrane, phagocytic vesicle membrane"
"54";54;"P05556";"P05556-1";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";1;2;0,000148332320762512;1;1;1;1;NA;NA;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"57";57;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;19;0,00212572272911267;6;7;7;12;0,0018755608256172;0,00323025106187622;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"58";58;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";22;76;0,0103641227990839;17;19;29;47;NA;NA;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"59";59;"P06744";"P06744-1,P06744-2";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";3;4;0,000212131168402302;2;2;2;2;NA;NA;"neuron projection, cytosol, nucleus, extracellular space, extracellular vesicular exosome, plasma membrane"
"63";63;"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";5;7;0,00081553577143641;5;NA;7;NA;0,00195309385187303;NA;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
"64";64;"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;14;0,0104604353499888;2;3;4;10;0,00936412564930629;0,0154192907907834;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"67";67;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";8;26;0,00180470607921844;7;7;14;12;NA;NA;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"70";70;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";6;11;0,000258345458661375;1;6;2;9;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane"
"71";71;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";9;27;0,0039949699137119;6;8;10;17;0,00351923185603122;0,00610557127879382;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"73";73;"P08575";"P08575-1,P08575-2";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";23;54;0,00122544792298661;19;18;29;25;NA;NA;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane"
"77";77;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";3;4;0,000802502996396506;1;2;1;3;0,000480470545642372;0,00144813797604451;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome"
"79";79;"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";8;19;0,00541062064330683;5;7;6;13;0,00395550170133488;0,00918426317416961;"nucleoplasm, condensed chromosome, cell surface, extracellular space"
"87";87;"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";23;79;0,00815983085995662;21;19;37;42;0,0091524188580916;0,01043771350971;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol"
"88";88;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";9;18;0,00173074219908048;4;8;6;12;0,00139003579243894;0,00276215395518144;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"89";89;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";15;42;0,00510814687544035;11;12;21;21;NA;NA;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"90";90;"P11413";"P11413-1,P11413-2,P11413-3";"P11413-1,P11413-2,P11413-3";"G6PD_HUMAN";"Glucose-6-phosphate 1-dehydrogenase";"G6PD";2;2;7,6614363733647e-05;2;NA;2;NA;NA;NA;"nucleus, extracellular vesicular exosome, intracellular membrane-bounded organelle, cytoplasmic side of plasma membrane, cytosol, centrosome"
"96";96;"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;1;3,31752219642614e-05;1;NA;1;NA;NA;NA;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine"
"99";99;"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;3;0,00045526612295571;1;1;2;1;0,000726865697253845;0,000365128805925752;"plasma membrane, integral component of membrane"
"104";104;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";11;29;0,00520398161012174;7;11;11;18;0,00508609985534446;0,00736964844515837;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion"
"105";105;"P13667";"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";2;2;0,000183518127082922;NA;2;NA;2;NA;0,000441551114142769;"melanosome, endoplasmic reticulum lumen, cell surface"
"106";106;"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";16;36;0,00339815862110482;11;13;18;18;0,00406905677410047;0,00408804500414478;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space"
"108";108;"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";26;106;0,0122562957627223;20;23;39;67;NA;NA;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium"
"109";109;"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";8;16;0,00128896916157868;8;3;11;5;0,0020340860020998;0,00100758684981775;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane"
"111";111;"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";3;5;0,000632563941272214;2;1;3;2;0,000953272468843755;0,00057437264847768;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell"
"114";114;"P16070";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";4;10;5,31757376318439e-05;4;3;6;4;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
