"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6157.1.id.csv";"peptide.count.P6157.2.id.csv";"spectra.count.P6157.1.id.csv";"spectra.count.P6157.2.id.csv";"dNSAF.P6157.1.id.csv";"dNSAF.P6157.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"1";"B0I1T2";4;4;"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;6;0,000413988105458125;4;2;4;2;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane";0,00115942028985507;"ATP binding, motor activity"
"2";"O00182";7;7;"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";6;8;0,000791436415692717;6;2;6;2;NA;NA;"extracellular region, cytoplasm";0,00154589371980676;"galactose binding, signal transducer activity, carbohydrate binding"
"3";"O00560";11;11;"O00560-1,O00560-2";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";5;9;0,00106067086750765;4;4;4;5;NA;NA;"focal adhesion, extracellular vesicular exosome, melanosome, nucleus, cytosol, interleukin-5 receptor complex, cytoskeleton, cytoplasm, blood microparticle, adherens junction, membrane, plasma membrane, endoplasmic reticulum membrane";0,00173913043478261;"frizzled binding, interleukin-5 receptor binding, identical protein binding, protein binding, protein N-terminus binding, syndecan binding, cytoskeletal adaptor activity, protein heterodimerization activity"
"4";"O00571";12;12;"O00571-1";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";14;19;0,00201595114193632;11;6;13;6;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm";0,00367149758454106;"ATP-dependent DNA helicase activity, ribosomal small subunit binding, DNA binding, poly(A) RNA binding, mRNA 5'-UTR binding, ATP-dependent RNA helicase activity, protein binding, transcription factor binding, ATPase activity, RNA binding, poly(A) binding, eukaryotic initiation factor 4E binding, RNA stem-loop binding, translation initiation factor binding, ATP binding"
"5";"O14672";13;13;"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";12;18;0,00169026694394267;9;7;10;8;0,00236909905762629;0,00210686592276404;"Golgi apparatus, nucleus, plasma membrane, integral component of membrane, cell surface, extracellular vesicular exosome, postsynaptic density, cytoplasm, Golgi-associated vesicle";0,00347826086956522;"metalloendopeptidase activity, integrin binding, protein binding, protein kinase binding, protein homodimerization activity, zinc ion binding, receptor binding, metallopeptidase activity, endopeptidase activity"
"6";"O14773";14;14;"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";3;4;0,000249520361963512;3;1;3;1;NA;NA;"mitochondrion, lysosomal lumen, melanosome, lysosome, extracellular vesicular exosome";0,000772946859903382;"serine-type peptidase activity, peptidase activity, peptide binding, protein binding, metal ion binding, tripeptidyl-peptidase activity, endopeptidase activity, serine-type endopeptidase activity"
"7";"O14950";16;16;"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";1;1;0,000204781288316993;NA;1;NA;1;NA;0,000574320594106233;"cytosol, apical part of cell, stress fiber, myosin II complex, Z disc, extracellular vesicular exosome";0,000193236714975845;"calcium ion binding, protein binding"
"8";"O15031";18;18;"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";16;19;0,000726093392797521;7;12;7;12;0,000674896771802572;0,00128612816395063;"intracellular, integral component of plasma membrane, extracellular vesicular exosome";0,00367149758454106;"GTPase activator activity, protein binding, semaphorin receptor activity"
"9";"O15127";19;19;"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";1;1;0,000213495385692184;NA;1;NA;1;NA;0,00059875976832352;"transport vesicle, intracellular membrane-bounded organelle, integral component of membrane, Golgi apparatus, extracellular vesicular exosome, recycling endosome membrane, nucleus, trans-Golgi network membrane";0,000193236714975845;"protein binding"
"10";"O15143";20;20;"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";6;13;0,00245462302313299;6;5;7;6;0,00333457060906755;0,0031772897383619;"cytoplasm, extracellular vesicular exosome, Arp2/3 protein complex, actin cytoskeleton";0,00251207729468599;"structural constituent of cytoskeleton"
