"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc"
"1";"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;1;8,40866297690077e-05;1;NA;1;NA;0,000197950969269353;NA;"integral component of membrane"
"2";"A6NKZ8";"A6NKZ8";"A6NKZ8";"YI016_HUMAN";"Putative tubulin beta chain-like protein ENSP00000290377";"";1;2;0,000474788958853847;1;1;1;1;0,000504455695879964;0,000670266262632909;"cytoplasm, microtubule"
"3";"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;3;0,000156609282948957;3;NA;3;NA;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"4";"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";1;2;0,000161528115544112;1;1;1;1;0,00019012919844716;0,000208269467718043;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome"
"5";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";3;4;0,00139390819708886;2;2;2;2;0,00175791586760981;0,00171167912266632;"nucleus, cytoplasm"
"6";"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";4;6;0,000449093662090249;3;3;3;3;NA;NA;"cytoplasm, extracellular region"
"7";"O00232";"O00232-1";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";3;4;0,00046616447380713;1;3;1;3;NA;NA;"proteasome regulatory particle, proteasome accessory complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"8";"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";1;1;0,000272526923148784;1;NA;1;NA;0,000641564167067852;NA;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane"
"9";"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";3;4;0,000595436974946923;2;2;2;2;0,000700868417805216;0,000767738430019451;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol"
"10";"O00410";"O00410-1,O00410-2,O00410-3,O60518";"O00410-1,O00410-2,O00410-3,O60518";"IPO5_HUMAN, RNBP6_HUMAN";"Importin-5, Ran-binding protein 6";"IPO5, RANBP6";1;1;1,20888876283014e-05;1;NA;1;NA;0,00011321720595315;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle"
"11";"O00422";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";1;1;0,000347338235385705;NA;1;NA;1;NA;0,000895694835022693;"ASAP complex, cytoplasm, nucleus, histone deacetylase complex, nuclear speck"
"12";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;6;0,00393650000103799;4;2;4;2;0,00617802531250524;0,00338373604341906;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane"
"13";"O00560";"O00560-1,O00560-2,O00560-3";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";1;1;5,9443791961983e-05;NA;1;NA;1;NA;NA;"extracellular vesicular exosome, endoplasmic reticulum membrane, melanosome, plasma membrane, blood microparticle, membrane, cytoskeleton, cytoplasm, interleukin-5 receptor complex, cytosol, focal adhesion, adherens junction, nucleus"
"14";"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";2;3;0,000268397727343499;1;2;1;2;0,000210614499289951;0,000461418551375327;"box C/D snoRNP complex, nucleolus, pre-snoRNP complex, cytoplasm, small nucleolar ribonucleoprotein complex"
"15";"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";9;14;0,000561932401960861;5;7;6;8;NA;NA;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus"
"16";"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";4;7;0,000333332661378217;3;4;3;4;NA;NA;"cytoplasm, filopodium, membrane raft, integral component of plasma membrane, ruffle, cell body, plasma membrane, microvillus membrane, lamellipodium, slit diaphragm, apical plasma membrane, extracellular vesicular exosome"
"17";"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";9;20;0,0014209291447597;7;8;10;10;0,00167252690612608;0,00183210307163733;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane"
"18";"O14773";"O14773-1,O14773-2";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";2;4;0,000188784191879264;2;2;2;2;NA;NA;"lysosome, lysosomal lumen, extracellular vesicular exosome, mitochondrion, melanosome"
"19";"O14818";"O14818-1";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";7;12;0,00257142338777482;5;6;5;7;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, proteasome core complex, nucleoplasm, cytosol"
"20";"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";4;6;0,000459447406461206;2;4;2;4;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"21";"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";4;6;0,000929610787417134;3;3;3;3;0,00109421293800202;0,00119861203870384;"stress fiber, cytosol, Z disc, myosin II complex, extracellular vesicular exosome, apical part of cell"
"22";"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";1;1;6,06069778070975e-05;1;0;1;0;NA;NA;"nucleus, spliceosomal complex, cytoplasm"
"23";"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";3;4;0,000198478991648974;1;3;1;3;0,000116811402967536;0,000383869215009726;"intracellular membrane-bounded organelle, ribonucleoprotein complex, nucleus, cytosol, nucleoplasm, kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, nuclear envelope, nuclear membrane"
"24";"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";18;26;0,000751747279850018;15;11;15;11;0,00102098758904976;0,000820160178097493;"extracellular vesicular exosome, intracellular, integral component of plasma membrane"
"25";"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;2;0,000314454142094751;1;1;1;1;NA;NA;"recycling endosome membrane, integral component of membrane, Golgi apparatus, trans-Golgi network"
"26";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;8;0,0012922249243529;3;3;3;5;0,00114077519068296;0,00208269467718043;"nucleus, Golgi apparatus, recycling endosome membrane, extracellular vesicular exosome, trans-Golgi network membrane, integral component of membrane, transport vesicle, intracellular membrane-bounded organelle"
"27";"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";5;7;0,00099999798413465;4;3;4;3;0,00134521518901324;0,0011051718528909;"Arp2/3 protein complex, actin cytoskeleton, cytoplasm, extracellular vesicular exosome"
"28";"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";4;6;0,00106285500028026;4;1;4;2;0,00166806683437642;0,000913608731723147;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton"
