"";"X";"AC";"ID";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"44";44;"P62753";"RS6_HUMAN";"40S ribosomal protein S6";"RPS6";18;1;3,6;0,2;18;4,24264068711928
"56";56;"Q02878";"RL6_HUMAN";"60S ribosomal protein L6";"RPL6";17;1;3,4;0,2;17;4,12310562561766
"49";49;"P62917";"RL8_HUMAN";"60S ribosomal protein L8";"RPL8";16;1;3,2;0,2;16;4
"59";59;"Q14103";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";14;1;2,8;0,2;14;3,74165738677394
"28";28;"P22061";"PIMT_HUMAN";"Protein-L-isoaspartate(D-aspartate) O-methyltransferase";"PCMT1";9;1;1,8;0,2;9;3
"18";18;"P0C0S5";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";6;1;1,2;0,2;6;2,44948974278318
"29";29;"P22626";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";38;7;7,6;1,4;5,42857142857143;2,32992949004287
"23";23;"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";4;1;0,8;0,2;4;2
"37";37;"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";4;1;0,8;0,2;4;2
"61";61;"Q99729";"ROAA_HUMAN";"Heterogeneous nuclear ribonucleoprotein A/B";"HNRNPAB";4;1;0,8;0,2;4;2
"58";58;"Q07020";"RL18_HUMAN";"60S ribosomal protein L18";"RPL18";15;4;3;0,8;3,75;1,93649167310371
"1";1;"136429";"136429";"trypsin [Sus scrofa]";"";10;4;2;0,8;2,5;1,58113883008419
"34";34;"P30049";"ATPD_HUMAN";"ATP synthase subunit delta, mitochondrial";"ATP5D";2;2;0,4;0,4;1;1
"19";19;"P10412";"H14_HUMAN";"Histone H1.4";"HIST1H1E";1;2;0,2;0,4;0,5;0,707106781186548
"52";52;"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";2;13;0,4;2,6;0,153846153846154;0,392232270276368
"4";4;"O60814";"H2B1K_HUMAN";"Histone H2B type 1-K";"HIST1H2BK";0;8;0;1,6;0;0
