"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"Go.Mf"
"1";"O00299";1;1;"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";5;8;0,00196463389159311;2;4;2;6;0,00117625569265145;0,00354523404923759;"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex";"protein binding, voltage-gated chloride channel activity, chloride channel activity"
"2";"O00571";2;2;"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;16;0,000715221703737067;7;4;9;7;NA;NA;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";"ATP-dependent DNA helicase activity, ribosomal small subunit binding, DNA binding, poly(A) RNA binding, mRNA 5'-UTR binding, ATP-dependent RNA helicase activity, protein binding, transcription factor binding, ATPase activity, RNA binding, poly(A) binding, eukaryotic initiation factor 4E binding, RNA stem-loop binding, translation initiation factor binding, ATP binding"
"3";"O15127";3;3;"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";2;2;0,00035978477801971;NA;2;NA;2;NA;0,000865654919823971;"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane";"protein binding"
"4";"O15372";5;5;"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";1;2;0,000336276113546831;1;1;1;1;0,000402667076603692;0,000404546120201827;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex";"poly(A) RNA binding, protein binding, translation initiation factor activity"
"5";"O15427";6;6;"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";8;28;0,00356380362915868;8;4;17;11;0,00518184900300322;0,00336860769337952;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";"symporter activity, monocarboxylic acid transmembrane transporter activity, poly(A) RNA binding, secondary active monocarboxylate transmembrane transporter activity"
"6";"O43175";9;9;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";5;12;0,00133248621352891;5;3;7;5;0,00186148532223546;0,00133583709485031;"extracellular vesicular exosome, cytosol";"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"7";"O43242";10;10;"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";1;1;0,000110832576749517;NA;1;NA;1;NA;0,000266667105451392;"extracellular vesicular exosome, nucleoplasm, proteasome accessory complex, cytosol";"enzyme regulator activity"
"8";"O43707";11;11;"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";1;1;9,74499385031432e-05;1;NA;1;NA;0,000233378942312568;NA;"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium";"poly(A) RNA binding, nucleoside binding, protein homodimerization activity, actin filament binding, calcium ion binding, integrin binding, protein binding, actin binding"
"9";"O43776";12;12;"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";2;2;0,000216002175124972;NA;2;NA;2;NA;0,000519708884346873;"mitochondrion, extracellular vesicular exosome, cytosol";"ATP binding, asparagine-tRNA ligase activity, nucleic acid binding"
"10";"O60488";14;14;"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";2;2;8,32413445629287e-05;2;NA;2;NA;NA;NA;"peroxisomal membrane, neuronal cell body, endoplasmic reticulum membrane, extracellular vesicular exosome, mitochondrial outer membrane, integral component of membrane, lipid particle";"ATP binding, very long-chain fatty acid-CoA ligase activity, long-chain fatty acid-CoA ligase activity, arachidonate-CoA ligase activity"
