"";"accession";"name";"go_name"
"1";"O00299";"CLIC1_HUMAN";"C:nuclear membrane"
"2";"O00299";"CLIC1_HUMAN";"C:chloride channel complex"
"4";"O00299";"CLIC1_HUMAN";"C:mitochondrion"
"5";"O00299";"CLIC1_HUMAN";"C:brush border"
"8";"O00299";"CLIC1_HUMAN";"C:perinuclear region of cytoplasm"
"9";"O00299";"CLIC1_HUMAN";"C:nuclear envelope"
"10";"O00299";"CLIC1_HUMAN";"C:plasma membrane"
"30";"O00571";"DDX3X_HUMAN";"C:nucleus"
"42";"O00571";"DDX3X_HUMAN";"C:cytoplasmic stress granule"
"45";"O00571";"DDX3X_HUMAN";"C:nuclear speck"
"51";"O00571";"DDX3X_HUMAN";"C:mitochondrial outer membrane"
"56";"O15427";"MOT4_HUMAN";"C:nuclear membrane"
"58";"O15427";"MOT4_HUMAN";"C:integral component of plasma membrane"
"59";"O15427";"MOT4_HUMAN";"C:actin cytoskeleton"
"63";"O43169";"CYB5B_HUMAN";"C:mitochondrial outer membrane"
"64";"O43169";"CYB5B_HUMAN";"C:integral component of membrane"
"70";"O43175";"SERA_HUMAN";"C:cytosol"
"86";"O60814";"H2B1K_HUMAN";"C:nucleus"
"89";"O60814";"H2B1K_HUMAN";"C:nucleosome"
"91";"P00338";"LDHA_HUMAN";"C:cilium"
"92";"P00338";"LDHA_HUMAN";"C:cytosol"
"97";"P00338";"LDHA_HUMAN";"C:mitochondrion"
"100";"P00387";"NB5R3_HUMAN";"C:lipid particle"
"102";"P00387";"NB5R3_HUMAN";"C:endoplasmic reticulum"
"106";"P00387";"NB5R3_HUMAN";"C:mitochondrial outer membrane"
"107";"P00387";"NB5R3_HUMAN";"C:mitochondrial inner membrane"
"111";"P00387";"NB5R3_HUMAN";"C:endoplasmic reticulum membrane"
"112";"P00387";"NB5R3_HUMAN";"C:hemoglobin complex"
"119";"P00558";"PGK1_HUMAN";"C:cytosol"
"122";"P01892";"1A02_HUMAN";"C:MHC class I protein complex"
"127";"P01892";"1A02_HUMAN";"C:early endosome membrane"
"129";"P01892";"1A02_HUMAN";"C:plasma membrane"
"131";"P01892";"1A02_HUMAN";"C:ER to Golgi transport vesicle membrane"
"133";"P01892";"1A02_HUMAN";"C:phagocytic vesicle membrane"
"134";"P01892";"1A02_HUMAN";"C:Golgi membrane"
"135";"P01892";"1A02_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane"
"137";"P02533";"K1C14_HUMAN";"C:cell periphery"
"138";"P02533";"K1C14_HUMAN";"C:keratin filament"
"139";"P02533";"K1C14_HUMAN";"C:cytosol"
"140";"P02533";"K1C14_HUMAN";"C:nucleus"
"149";"P02538";"K2C6A_HUMAN";"C:intermediate filament"
"150";"P02538";"K2C6A_HUMAN";"C:keratin filament"
"155";"P04040";"CATA_HUMAN";"C:Golgi apparatus"
"157";"P04040";"CATA_HUMAN";"C:mitochondrial intermembrane space"
"160";"P04040";"CATA_HUMAN";"C:plasma membrane"
"162";"P04040";"CATA_HUMAN";"C:peroxisomal matrix"
"163";"P04040";"CATA_HUMAN";"C:lysosome"
"170";"P04040";"CATA_HUMAN";"C:cytosol"
"171";"P04040";"CATA_HUMAN";"C:endoplasmic reticulum"
"182";"P04040";"CATA_HUMAN";"C:peroxisomal membrane"
"188";"P04075";"ALDOA_HUMAN";"C:actin cytoskeleton"
"191";"P04075";"ALDOA_HUMAN";"C:extracellular vesicular exosome"
"192";"P04075";"ALDOA_HUMAN";"C:platelet alpha granule lumen"
"195";"P04075";"ALDOA_HUMAN";"C:cytosol"
"196";"P04075";"ALDOA_HUMAN";"C:I band"
"212";"P04259";"K2C6B_HUMAN";"C:keratin filament"
"213";"P04264";"K2C1_HUMAN";"C:keratin filament"
"214";"P04264";"K2C1_HUMAN";"C:plasma membrane"
"216";"P04264";"K2C1_HUMAN";"C:membrane"
"223";"P04264";"K2C1_HUMAN";"C:cytoskeleton"
"225";"P04406";"G3P_HUMAN";"C:microtubule cytoskeleton"
"227";"P04406";"G3P_HUMAN";"C:plasma membrane"
"228";"P04406";"G3P_HUMAN";"C:nucleus"
"230";"P04406";"G3P_HUMAN";"C:GAIT complex"
"231";"P04406";"G3P_HUMAN";"C:lipid particle"
"235";"P04406";"G3P_HUMAN";"C:cytosol"
"237";"P04406";"G3P_HUMAN";"C:perinuclear region of cytoplasm"
"238";"P04406";"G3P_HUMAN";"C:ribonucleoprotein complex"
"241";"P04406";"G3P_HUMAN";"C:extracellular vesicular exosome"
"247";"P04439";"1A03_HUMAN";"C:phagocytic vesicle membrane"
"248";"P04439";"1A03_HUMAN";"C:ER to Golgi transport vesicle membrane"
"252";"P04439";"1A03_HUMAN";"C:Golgi membrane"
"254";"P04439";"1A03_HUMAN";"C:integral component of plasma membrane"
"256";"P04439";"1A03_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane"
"258";"P04439";"1A03_HUMAN";"C:early endosome membrane"
"259";"P04439";"1A03_HUMAN";"C:MHC class I protein complex"
"263";"P04908";"H2A1B_HUMAN";"C:nucleosome"
"266";"P04908";"H2A1B_HUMAN";"C:nucleus"
"267";"P05023";"AT1A1_HUMAN";"C:endoplasmic reticulum"
"271";"P05023";"AT1A1_HUMAN";"C:sodium:potassium-exchanging ATPase complex"
"272";"P05023";"AT1A1_HUMAN";"C:T-tubule"
"275";"P05023";"AT1A1_HUMAN";"C:endosome"
"284";"P05023";"AT1A1_HUMAN";"C:basolateral plasma membrane"
"286";"P05023";"AT1A1_HUMAN";"C:caveola"
"288";"P05023";"AT1A1_HUMAN";"C:Golgi apparatus"
"290";"P05023";"AT1A1_HUMAN";"C:melanosome"
"295";"P05141";"ADT2_HUMAN";"C:integral component of plasma membrane"
"298";"P05141";"ADT2_HUMAN";"C:mitochondrial nucleoid"
"299";"P05141";"ADT2_HUMAN";"C:mitochondrial inner membrane"
"301";"P05141";"ADT2_HUMAN";"C:MMXD complex"
"308";"P05165";"PCCA_HUMAN";"C:mitochondrial matrix"
"313";"P05165";"PCCA_HUMAN";"C:cytosol"
"320";"P05166";"PCCB_HUMAN";"C:cytosol"
"322";"P05166";"PCCB_HUMAN";"C:mitochondrial matrix"
"323";"P05787";"K2C8_HUMAN";"C:nucleoplasm"
"325";"P05787";"K2C8_HUMAN";"C:costamere"
"327";"P05787";"K2C8_HUMAN";"C:intermediate filament"
"328";"P05787";"K2C8_HUMAN";"C:nuclear matrix"
"332";"P05787";"K2C8_HUMAN";"C:dystrophin-associated glycoprotein complex"
"333";"P05787";"K2C8_HUMAN";"C:cytoplasm"
"339";"P05787";"K2C8_HUMAN";"C:Z disc"
"340";"P05787";"K2C8_HUMAN";"C:sarcolemma"
"341";"P05787";"K2C8_HUMAN";"C:keratin filament"
"342";"P06454";"PTMA_HUMAN";"C:nucleus"
"344";"P06454";"PTMA_HUMAN";"C:cytoplasm"
"348";"P06576";"ATPB_HUMAN";"C:cell surface"
"353";"P06576";"ATPB_HUMAN";"C:plasma membrane"
"354";"P06576";"ATPB_HUMAN";"C:mitochondrial proton-transporting ATP synthase, catalytic core"
"357";"P06576";"ATPB_HUMAN";"C:mitochondrial nucleoid"
"360";"P06733";"ENOA_HUMAN";"C:cytosol"
"363";"P06733";"ENOA_HUMAN";"C:nucleus"
"365";"P06733";"ENOA_HUMAN";"C:M band"
"366";"P06733";"ENOA_HUMAN";"C:extracellular vesicular exosome"
"373";"P06733";"ENOA_HUMAN";"C:plasma membrane"
"374";"P06733";"ENOA_HUMAN";"C:phosphopyruvate hydratase complex"
"378";"P06753";"TPM3_HUMAN";"C:muscle thin filament tropomyosin"
"379";"P06753";"TPM3_HUMAN";"C:stress fiber"
"382";"P06753";"TPM3_HUMAN";"C:cytosol"
"387";"P07195";"LDHB_HUMAN";"C:cytosol"
"388";"P07195";"LDHB_HUMAN";"C:mitochondrion"
"395";"P07437";"TBB5_HUMAN";"C:plasma membrane"
"398";"P07437";"TBB5_HUMAN";"C:cytosol"
"399";"P07437";"TBB5_HUMAN";"C:nuclear envelope lumen"
"403";"P07437";"TBB5_HUMAN";"C:cell body"
"408";"P07437";"TBB5_HUMAN";"C:extracellular vesicular exosome"
"410";"P07437";"TBB5_HUMAN";"C:microtubule"
"412";"P07737";"PROF1_HUMAN";"C:neuron projection"
"415";"P07737";"PROF1_HUMAN";"C:cytoplasm"
"419";"P07737";"PROF1_HUMAN";"C:synapse"
"421";"P07737";"PROF1_HUMAN";"C:nucleus"
"422";"P07737";"PROF1_HUMAN";"C:cytoskeleton"
"428";"P07814";"SYEP_HUMAN";"C:GAIT complex"
"430";"P07814";"SYEP_HUMAN";"C:cytosol"
"431";"P07814";"SYEP_HUMAN";"C:ribonucleoprotein complex"
"442";"P07900";"HS90A_HUMAN";"C:brush border membrane"
"444";"P07900";"HS90A_HUMAN";"C:perinuclear region of cytoplasm"
"448";"P07900";"HS90A_HUMAN";"C:melanosome"
"451";"P07900";"HS90A_HUMAN";"C:extracellular region"
"454";"P07900";"HS90A_HUMAN";"C:plasma membrane"
"455";"P07900";"HS90A_HUMAN";"C:extracellular matrix"
"464";"P07900";"HS90A_HUMAN";"C:basolateral plasma membrane"
"465";"P07900";"HS90A_HUMAN";"C:endocytic vesicle lumen"
"471";"P07900";"HS90A_HUMAN";"C:neuronal cell body"
