"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134.1.id.csv";"peptide.count.P5134.2.id.csv";"spectra.count.P5134.1.id.csv";"spectra.count.P5134.2.id.csv";"dNSAF.P5134.1.id.csv";"dNSAF.P5134.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;0,000145423387265996;1;1;1;1;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane";0,000145180023228804
"2";2;"A0FGR8";"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;5,77709346673135e-05;0;1;0;1;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane";7,25900116144019e-05
"3";3;"A0FGR8";"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;0,00012550237531175;0;1;0;2;NA;NA;"extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane, integral component of plasma membrane";0,000145180023228804
"18";18;"B0I1T2";"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;2;7,20913634965053e-05;NA;1;NA;2;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000145180023228804
"19";19;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;1;3,60456817482527e-05;NA;1;NA;1;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";7,25900116144019e-05
"33";33;"O00560";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";3;9;0,000277055818940848;3;3;5;4;NA;NA;"cytoskeleton, plasma membrane, nucleus, focal adhesion, interleukin-5 receptor complex, endoplasmic reticulum membrane, melanosome, cytosol, extracellular space, adherens junction, membrane, extracellular vesicular exosome, cytoplasm, blood microparticle";0,000653310104529617
"35";35;"O00592";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;5;0,00012330142479745;2;3;2;3;NA;NA;"lamellipodium, plasma membrane, cytoplasm, cell body, ruffle, microvillus membrane, integral component of plasma membrane, slit diaphragm, filopodium, extracellular vesicular exosome, membrane raft, extracellular space, apical plasma membrane";0,000362950058072009
"40";40;"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";16;42;0,00154528994200698;13;15;21;21;0,00210941579753704;0,00206797055790384;"Golgi-associated vesicle, extracellular vesicular exosome, postsynaptic density, cell surface, cytoplasm, Golgi apparatus, nucleus, plasma membrane, tetraspanin-enriched microdomain, integral component of membrane, perinuclear endoplasmic reticulum";0,00304878048780488
"43";43;"O14763";"O14763-2";"TR10B_HUMAN";"Tumor necrosis factor receptor superfamily member 10B";"TNFRSF10B";2;2;0,000125094900067231;NA;2;NA;2;NA;NA;"integral component of membrane, plasma membrane";0,000145180023228804
"44";44;"O14786";"O14786-1";"NRP1_HUMAN";"Neuropilin-1";"NRP1";2;5;0,00014908384623397;2;2;2;3;NA;NA;"growth cone, cytosol, cell surface, neurofilament, plasma membrane, cytoplasmic vesicle, receptor complex, early endosome, semaphorin receptor complex, neuronal cell body, axon, integral component of membrane, sorting endosome, extracellular space";0,000362950058072009
