"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"3";3;"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;4;9,67804028265765e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"microtubule, cytoplasm"
"4";4;"A6NHR9";"A6NHR9-1,A6NHR9-2,A6NHR9-3";"A6NHR9-1,A6NHR9-2,A6NHR9-3";"SMHD1_HUMAN";"Structural maintenance of chromosomes flexible hinge domain-containing protein 1";"SMCHD1";1;1;1,47742612891581e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"Barr body"
"6";6;"A6NL28";"A6NL28-1,A6NL28-2";"A6NL28-1,A6NL28-2";"TPM3L_HUMAN";"Putative tropomyosin alpha-3 chain-like protein";"";1;1;3,26554790583138e-05;0;0;1;0;0;0;1;0;NA;NA;NA;NA;"cytoskeleton, cytoplasm"
"7";7;"A8MWD9";"A8MWD9,P62308";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";2;9;0,000526187259795114;2;2;2;2;2;3;2;2;0,000616836841927819;0,000935200550439728;0,000629100669402083;0,000616133182367336;"spliceosomal complex"
"9";9;"B4DU55";"B4DU55";"B4DU55";"ZN879_HUMAN";"Zinc finger protein 879";"ZNF879";1;1;1,57845793346867e-05;NA;1;NA;NA;NA;1;NA;NA;NA;8,41625125321721e-05;NA;NA;"nucleus"
"10";10;"O00115";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";2;6;0,00014811196942381;2;1;2;1;2;1;2;1;0,000260442222147301;0,000131620818210036;0,000265620282636435;0,000130072560721993;"intracellular, lysosome"
"11";11;"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;6,2937097488871e-06;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;"spindle pole, microtubule, centrosome, kinesin complex, cytosol"
"12";12;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";5;17;0,000676841990402259;4;5;4;3;4;5;5;3;0,000776963285670926;0,00105924354446229;0,000979746944150785;0,000756675037080635;"nucleus, cytoplasm"
"13";13;"O00151";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";12;33;0,000891372946684326;11;7;8;7;11;7;8;7;0,00156740303906279;0,00100815945863006;0,00116259333433576;0,000996300465104629;"cytoskeleton, cytoplasm, transcription factor complex"
"16";16;"O00178";"O00178";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";2;2;2,65671694033739e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000139988406158199;"cytoplasmic exosome (RNase complex), cytosol"
