;protein.acs;ID;Description;Gene;global.peptide.count;global.spectra.count;global.dNSAF;peptide.count.P5834.1.id.csv;peptide.count.P5834.2.id.csv;peptide.count.P5835.1.id.csv;peptide.count.P5835.2.id.csv;spectra.count.P5834.1.id.csv;spectra.count.P5834.2.id.csv;spectra.count.P5835.1.id.csv;spectra.count.P5835.2.id.csv;dNSAF.P5834.1.id.csv;dNSAF.P5834.2.id.csv;dNSAF.P5835.1.id.csv;dNSAF.P5835.2.id.csv;Go.Cc
4;A2RRP1;NBAS_HUMAN;Neuroblastoma-amplified sequence;NBAS;21;53;0,000214725738660959;13;11;14;12;13;12;15;13;NA;NA;NA;NA;cytoplasm
7;A6NHL2;TBAL3_HUMAN;Tubulin alpha chain-like 3;TUBAL3;1;4;0,000102022001533797;1;1;1;1;1;1;1;1;NA;NA;NA;NA;microtubule, cytoplasm
11;C9JN71;ZN844_HUMAN, ZN878_HUMAN;Zinc finger protein 844, Zinc finger protein 878;ZNF844, ZNF878;1;1;1.61E+09;1;0;NA;NA;1;0;NA;NA;8.51E+09;0;NA;NA;nucleus
13;O00148;DX39A_HUMAN;ATP-dependent RNA helicase DDX39A;DDX39A;11;23;0,000517415876735367;9;4;3;4;11;5;3;4;0,00131207684895961;0,000591090212318272;0,000386503947900676;0,000507648313616166;nucleus, cytoplasm
14;O00154;BACH_HUMAN;Cytosolic acyl coenzyme A thioester hydrolase;ACOT7;3;8;6.74E+09;2;2;2;2;2;2;2;2;NA;NA;NA;NA;extracellular vesicular exosome, neuron projection, nucleus, cytosol, mitochondrion, cell body, cytoplasm
17;O00178;GTPB1_HUMAN;GTP-binding protein 1;GTPBP1;1;1;1.44E+09;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8.22E+09;NA;cytoplasmic exosome (RNase complex), cytosol
18;O00182;LEG9_HUMAN;Galectin-9;LGALS9;3;15;0,000202942357041643;3;3;2;2;5;5;3;2;NA;NA;NA;NA;extracellular region, cytoplasm
26;O00471;EXOC5_HUMAN;Exocyst complex component 5;EXOC5;9;25;0,000339192734226851;6;5;4;7;8;5;5;7;0,000575507770421933;0,000356490848389693;0,000388505616180764;0,00053579124625661;cytosol, cytoplasm
31;O00743;PPP6_HUMAN;Serine/threonine-protein phosphatase 6 catalytic subunit;PPP6C;5;7;0,0001102320780871;NA;NA;4;3;NA;NA;4;3;NA;NA;NA;NA;cytosol
38;O14579;COPE_HUMAN;Coatomer subunit epsilon;COPE;3;7;0,000109158389014823;1;3;1;2;1;3;1;2;NA;NA;NA;NA;nucleus, COPI vesicle coat, Golgi apparatus, cytosol
