"";"X.1";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";2;2;2,0490423590733e-05;2;NA;2;NA;NA;NA;"integral component of plasma membrane";0,000205549845837616
"4";4;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;5;0,000185379961955452;2;3;2;3;NA;NA;"myosin complex, plasma membrane, extracellular vesicular exosome";0,000513874614594039
"16";16;"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";1;1;3,38202152814786e-05;1;NA;1;NA;NA;NA;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome";0,000102774922918808
"17";17;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";10;22;0,00111009883100383;10;10;10;12;0,0012540853679058;0,00153444908581879;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle";0,00226104830421377
"25";25;"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;35;0,000718725576112379;16;19;16;19;0,000816588339667935;0,000988737323524509;"integral component of plasma membrane, intracellular, extracellular vesicular exosome";0,00359712230215827
"30";30;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";2;5;0,000629056004235502;2;2;2;3;0,000625370570129027;0,00095647326349371;"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus";0,000513874614594039
"39";39;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;12;0,000974022200106583;4;4;6;6;0,00121039465186263;0,0012341590496693;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";0,00123329907502569
"48";48;"O43699";"O43699-1,O43699-3";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";1;2;8,33186760576823e-05;1;1;1;1;NA;NA;"extracellular region, integral component of plasma membrane";0,000205549845837616
"65";65;"O75323";"O75323-1,O75323-2";"O75323-1,O75323-2";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;0,000222699022478477;3;NA;3;NA;NA;NA;"integral component of plasma membrane, mitochondrion";0,000308324768756423
"66";66;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";1;2;0,000639717970408985;1;1;1;1;0,000794962589147068;0,000810570562282805;"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, plasma membrane, extracellular vesicular exosome, cytosol";0,000205549845837616
"68";68;"O75369";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";2;2;4,14443397981005e-06;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";0,000205549845837616
"84";84;"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";3;5;0,000281247095783384;3;2;3;2;0,000419399041070137;0,000285088901190375;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting, plasma membrane, nucleolus";0,000513874614594039
"89";89;"O95297";"O95297-1,O95297-2,O95297-4";"O95297-1,O95297-2,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,00023384981570093;1;2;2;3;NA;NA;"integral component of plasma membrane";0,000513874614594039
"101";101;"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";15;28;0,0024577071793387;13;11;15;13;0,00327228786695421;0,00289166335474842;"mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, plasma membrane";0,00287769784172662
"103";103;"P00747";"P00747";"P00747";"PLMN_HUMAN";"Plasminogen";"PLG";1;2;9,31934821089632e-05;1;1;1;1;0,000115809364838709;0,000118083118949841;"extrinsic component of external side of plasma membrane, extracellular vesicular exosome, blood microparticle, platelet alpha granule lumen";0,000205549845837616
"104";104;"P00813";"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";7;13;0,00135169058761347;6;7;6;7;0,00155050554577445;0,00184443880012561;"external side of plasma membrane, cytosol, dendrite cytoplasm, cell junction, lysosome, cytoplasmic membrane-bounded vesicle lumen, extracellular space, neuronal cell body";0,0013360739979445
"106";106;"P01589";"P01589";"P01589";"IL2RA_HUMAN";"Interleukin-2 receptor subunit alpha";"IL2RA";2;4;0,000555049415501913;2;2;2;2;0,000689746952348192;0,00070328916433361;"integral component of membrane, external side of plasma membrane, plasma membrane";0,000411099691675231
