"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"1";"A0FGR8";"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";"1";"1";"3.85364871122368E-5";"1";"0";"1";"0";"0";"0";"4";"integral component of plasma membrane"
"2";"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";"1";"2";"1.368709714676E-4";"1";"0";"2";"0";"0";"0";"10";"integral component of plasma membrane"
"3";"A0FGR8";"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";"1";"2";"1.23582527635794E-4";"1";"0";"2";"0";"0";"0";"9";"integral component of plasma membrane"
"4";"A1X283";"A1X283";"SPD2B_HUMAN";"SH3 and PX domain-containing protein 2B";"SH3PXD2B";"2";"2";"4.03029311825241E-5";"2";"0";"2";"0";"8.10138790475768E-5";"0";"0";"cytoplasm, cell projection, cell junction, podosome"
"5";"A2A3N6";"A2A3N6";"PIPSL_HUMAN";"Putative PIP5K1A and PSMD4-like protein";"PIPSL";"3";"3";"6.38908996066347E-5";"3";"0";"3";"0";"1.28428614522638E-4";"0";"0";"cytoplasm"
"6";"A2RU67";"A2RU67";"K1467_HUMAN";"Uncharacterized protein KIAA1467";"KIAA1467";"2";"8";"2.36115564677038E-4";"2";"2";"2";"6";"1.18655375904088E-4";"7.4085183660502E-4";"0";"integral component of membrane"
"7";"A2VDJ0";"A2VDJ0-3";"T131L_HUMAN";"Transmembrane protein 131-like";"KIAA0922";"2";"2";"2.28191238702793E-5";"2";"0";"2";"0";"0";"0";"0";"integral component of membrane"
"8";"A3KMH1";"A3KMH1-1,A3KMH1-3";"VWA8_HUMAN";"von Willebrand factor A domain-containing protein 8";"VWA8";"2";"2";"9.63673761345917E-6";"2";"0";"2";"0";"0";"0";"0";"mitochondrion, extracellular region"
"9";"A4UGR9";"A4UGR9-3";"XIRP2_HUMAN";"Xin actin-binding repeat-containing protein 2";"XIRP2";"1";"1";"9.2497257739145E-6";"0";"1";"0";"1";"0";"0";"2";"cell junction"
"10";"A4UGR9";"A4UGR9-7";"XIRP2_HUMAN";"Xin actin-binding repeat-containing protein 2";"XIRP2";"1";"1";"8.16152274168926E-6";"0";"1";"0";"1";"0";"0";"1";"cell junction"
