"";"X";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768"
"1";"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";35;102;0,00512464243666614;28;25;42;60;0,00505350599364091;0,00725298307186977
"2";"Q96RQ3";"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";30;197;0,0160818833226148;28;27;89;108;0,0173996609321938;0,0212127245594382
"3";"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";29;64;0,00150848830863859;25;18;38;26;0,00214499196202747;0,0014744747479439
"6";"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";25;196;0,0217364005336638;24;23;83;113;0,0219262234928043;0,0302635288397638
"8";"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";23;54;0,00122544792298661;19;18;29;25;NA;NA
"9";"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";23;79;0,00815983085995662;21;19;37;42;0,0091524188580916;0,01043771350971
"12";"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";24;122;0,0173153973862771;21;21;45;77;0,0152955551400539;0,0262945276785379
"16";"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";19;33;0,000768631116678472;12;14;15;18;0,000836710808527153;0,00100873837764611
"17";"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";15;23;0,00224257941950177;15;NA;23;NA;0,0053706633479135;NA
"18";"P21333-1,P21333-2";"P21333-1,P21333-2";"P21333";"FLNA_HUMAN";"Filamin-A";"FLNA";14;27;0,000301848147256241;10;11;14;13;NA;NA
"19";"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";13;52;0,00972318362598266;12;13;20;32;0,0092712461384419;0,0141236637017434
"20";"P05166-1,P05166-2";"P05166-1,P05166-2";"P05166";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";13;28;0,00153726223335694;11;6;18;10;NA;NA
"22";"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";12;33;0,00140611351150468;8;10;15;18;NA;NA
"23";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";12;27;0,00097915691885695;9;7;13;14;NA;NA
"29";"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";11;12;5,41240018145792e-05;4;7;4;8;NA;NA
"30";"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";10;61;0,0107768965822053;8;9;19;42;0,00803891763679252;0,0178531637046681
"31";"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";10;24;0,00093943803149591;7;8;11;13;0,0010311685982867;0,0012243406389177
"35";"P62269";"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";10;22;0,00856619152403507;10;4;16;6;0,0149198748383684;0,00562106188069907
"36";"P62424";"P62424";"P62424";"RL7A_HUMAN";"60S ribosomal protein L7a";"RPL7A";10;23;0,00511746506630666;5;8;8;15;0,00426282138239097;0,00803008840099867
"37";"P63104";"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";10;22;0,00639506691344103;7;6;11;11;0,00787314222076486;0,00748504964820615
"38";"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";10;36;0,0133085160152967;8;7;17;19;0,0143919311935434;0,0176405796054974
"40";"Q9HCC0-1,Q9HCC0-2";"Q9HCC0-1,Q9HCC0-2";"Q9HCC0";"MCCB_HUMAN";"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial";"MCCC2";10;26;0,00136660701206954;8;7;15;11;NA;NA
"44";"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";9;20;0,00487116016331212;7;7;10;10;0,00583287287919752;0,00586009194695651
"48";"P68104,Q5VTE0";"P68104,Q5VTE0";"P68104";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";18;77;0,00493204966535352;13;17;27;50;0,00414171850220941;0,00770564038479671
"51";"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";8;28;0,00356380362915868;8;4;17;11;0,00518184900300322;0,00336860769337952
"54";"P26373";"P26373";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";8;23;0,00645140145799798;7;6;13;10;0,00873272295041941;0,00674882627066555
"55";"P27348";"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";8;19;0,00552301233433543;5;5;10;9;0,00715740201887714;0,00612413153035049
"56";"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";8;19;0,00189950561435913;7;3;14;5;0,00335193134037668;0,00120270468168111
"57";"P46781";"P46781";"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";8;19;0,00579642950361136;6;5;11;8;0,00803673670417266;0,00587217461076467
"61";"P62753";"P62753";"P62753";"RS6_HUMAN";"40S ribosomal protein S6";"RPS6";8;23;0,0054668502314762;8;5;13;10;0,00740001824312649;0,00571888491209009
"62";"Q16555";"Q16555";"Q16555";"DPYL2_HUMAN";"Dihydropyrimidinase-related protein 2";"DPYSL2";11;24;0,0024832697615766;8;8;12;12;0,00297354148876573;0,00298741750302888
"65";"P07737";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";7;28;0,0118369191968485;6;6;12;16;0,0121490409398143;0,0162743124926906
"69";"P62249";"P62249";"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";7;18;0,0072967310117559;6;4;11;7;0,010678951511024;0,00682740849436508
"71";"P62829";"P62829";"P62829";"RL23_HUMAN";"60S ribosomal protein L23";"RPL23";7;21;0,00887768939763635;4;6;9;12;0,0091117807048607;0,012205734369518
"72";"Q08211-1";"Q08211-1";"Q08211";"DHX9_HUMAN";"ATP-dependent RNA helicase A";"DHX9";7;12;0,000559224528984967;4;5;5;7;NA;NA
"75";"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";10;22;0,00444501799380846;9;5;13;9;0,00643356211956014;0,00419982820265726
"77";"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";6;24;0,00464656176057258;5;6;10;14;0,00458317113298382;0,00658634162413249
