"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc";"matched_mask"
"5";5;"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;9,22628254509878e-05;1;1;1;1;8,39737002741074e-05;0,000104757794854638;"microtubule, cytoplasm";9,48181861280994e-05;FALSE
"10";10;"C9JN71";"C9JN71,Q08AG5";"ZN844_HUMAN, ZN878_HUMAN";"Zinc finger protein 844, Zinc finger protein 878";"ZNF844, ZNF878";1;1;3,12517810823578e-05;1;0;1;0;6,2576892769009e-05;0;"nucleus";4,74090930640497e-05;FALSE
"13";13;"O00154";"O00154-1,O00154-2,O00154-3,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";2;4;3,93772441637709e-05;2;2;2;2;3,94234424444757e-05;3,93448223201419e-05;"nucleus, mitochondrion, extracellular vesicular exosome, cytoplasm, cytosol, cell body, neuron projection";0,000189636372256199;FALSE
"16";16;"O00182";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;10;0,000263439309546354;3;3;5;5;0,00026374838255107;0,00026322240284602;"cytoplasm, extracellular vesicular exosome";0,000474090930640497;FALSE
"24";24;"O00471";"O00471";"EXOC5_HUMAN";"Exocyst complex component 5";"EXOC5";6;13;0,000343438534902945;6;5;8;5;0,000423189495166688;0,000263965968955754;"cytosol, cytoplasm";0,000616318209832646;FALSE
"34";34;"O14579";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";3;4;0,000121455785570073;1;3;1;3;6,07991401335258e-05;0,000182033674695462;"nucleus, Golgi apparatus, COPI vesicle coat, cytosol";0,000189636372256199;FALSE
"43";43;"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";1;1;0,000149633527822329;NA;1;NA;1;NA;0,000299020649633078;"cytoplasm, nucleus, extracellular vesicular exosome";4,74090930640497e-05;FALSE
"44";44;"O14773";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";5;13;0,000215945366528672;5;5;6;7;0,000199568047898323;0,000232365069652703;"lysosome, lysosomal lumen, extracellular vesicular exosome, mitochondrion, melanosome";0,000616318209832646;FALSE
"45";45;"O14787";"O14787-2";"TNPO2_HUMAN";"Transportin-2";"TNPO2";10;22;0,000586493831091712;10;8;13;9;0,00068163889363047;0,000489617145093182;"cytoplasm, nucleus";0,00104300004740909;FALSE
"52";52;"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";1;1;1,97927946854933e-05;1;0;1;0;3,96320320870391e-05;0;"cytoplasm, nucleus, extracellular vesicular exosome, spliceosomal complex";4,74090930640497e-05;FALSE
"54";54;"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";12;21;0,000212432672003036;9;9;10;11;0,000202554193197685;0,000222365274875869;"nucleus";0,000995590954345043;FALSE
"73";73;"O15397";"O15397-1";"IPO8_HUMAN";"Importin-8";"IPO8";13;23;0,000426264860339813;10;11;11;12;0,000404245520404621;0,000449163129965866;"cytoplasm, nucleus";0,00109040914047314;FALSE
