"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;8;1,54383811777261e-05;1;1;1;1;2;2;2;2;NA;NA;NA;NA;"integral component of plasma membrane"
"2";"A5YKK6";"A5YKK6-1,A5YKK6-2,A5YKK6-3";"A5YKK6-1,A5YKK6-2,A5YKK6-3";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";3;3;3,740201248076e-06;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;"CCR4-NOT complex, nucleus, peroxisomal membrane, cytoplasmic mRNA processing body, cytosol, extracellular space"
"3";"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;4;9,67804028265765e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"cytoplasm, microtubule"
"4";"A6NHR9";"A6NHR9-1,A6NHR9-2,A6NHR9-3";"A6NHR9-1,A6NHR9-2,A6NHR9-3";"SMHD1_HUMAN";"Structural maintenance of chromosomes flexible hinge domain-containing protein 1";"SMCHD1";1;1;1,47742612891581e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"Barr body"
"5";"A6NIZ1";"A6NIZ1,P61224";"A6NIZ1,P61224";"RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1B";5;13;0,000313932978670032;5;3;3;2;5;3;3;2;0,000636951086773292;0,000386278488225105;0,000389768892999117;0,000254489792716943;"cytosol, plasma membrane"
"6";"A6NL28";"A6NL28-1,A6NL28-2";"A6NL28-1,A6NL28-2";"TPM3L_HUMAN";"Putative tropomyosin alpha-3 chain-like protein";"";1;1;3,26554790583138e-05;0;0;1;0;0;0;1;0;NA;NA;NA;NA;"cytoplasm, cytoskeleton"
"7";"A8MWD9";"A8MWD9,P62308";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";2;9;0,000526187259795114;2;2;2;2;2;3;2;2;0,000616836841927819;0,000935200550439728;0,000629100669402083;0,000616133182367336;"spliceosomal complex"
"8";"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;12;0,000104755027490317;2;2;2;2;4;3;2;3;NA;NA;NA;NA;"myosin complex, plasma membrane, extracellular vesicular exosome"
"9";"B4DU55";"B4DU55";"B4DU55";"ZN879_HUMAN";"Zinc finger protein 879";"ZNF879";1;1;1,57845793346867e-05;NA;1;NA;NA;NA;1;NA;NA;NA;8,41625125321721e-05;NA;NA;"nucleus"
"10";"O00115";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";2;6;0,00014811196942381;2;1;2;1;2;1;2;1;0,000260442222147301;0,000131620818210036;0,000265620282636435;0,000130072560721993;"lysosome"
