"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";3;6;0,000110557402150255;2;2;3;3;0,000110768569809907;0,000110402977792867;"integral component of plasma membrane, membrane, extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane";0,000263516184285652
"4";4;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";7;10;0,0001667049236745;6;4;6;4;0,000200428001561738;0,000133177658869981;"plasma membrane, myosin complex, extracellular vesicular exosome, membrane";0,000439193640476086
"5";5;"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";1;2;9,42808957225782e-05;1;1;1;1;9,44609748101153e-05;9,41492060622503e-05;"extracellular vesicular exosome, intracellular, lysosome";8,78387280952172e-05
"10";10;"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";8;16;0,000238183315509671;7;7;8;8;0,00023863825215187;0,000237850625841474;"nucleus, mitochondrion, extracellular vesicular exosome, cytoplasm, cytosol, cell body, neuron projection";0,000702709824761737
"13";13;"O00182";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;4;9,56087956623329e-05;2;2;2;2;9,57914110750465e-05;9,54752512180566e-05;"cytoplasm, extracellular vesicular exosome";0,000175677456190434
"15";15;"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";11;22;0,000442360600783661;11;8;14;8;0,000564079754790262;0,000321267433008627;"cytosol, extracellular vesicular exosome, proteasome complex, proteasome accessory complex, membrane, nucleoplasm, nucleus";0,000966226009047389
"16";16;"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";6;12;0,000446593716580634;6;5;7;5;0,000522021176582216;0,000371641602877304;"proteasome accessory complex, membrane, nucleoplasm, cytosol, extracellular vesicular exosome, proteasome regulatory particle";0,000527032368571303
"18";18;"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;8;0,000870285191285337;3;5;3;5;0,000627802171045689;0,00111737519282671;"endoplasmic reticulum, extracellular vesicular exosome, membrane, nucleolus, integral component of membrane, endoplasmic reticulum membrane";0,000351354912380869
"19";19;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";10;24;0,00169001439635493;9;9;13;11;0,00183434590087693;0,00154701600002702;"brush border, blood microparticle, plasma membrane, cytoplasm, chloride channel complex, nuclear envelope, mitochondrion, vesicle, nucleus, extracellular vesicular exosome, perinuclear region of cytoplasm, extracellular space, nuclear membrane, membrane";0,00105406473714261
"21";21;"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;3,09117690893699e-05;1;NA;1;NA;6,19416228263051e-05;NA;"endoplasmic reticulum membrane, Golgi membrane, membrane, integral component of plasma membrane";4,39193640476086e-05
"26";26;"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;9;0,00188561791445156;4;4;5;4;0,00209913277355812;0,00167376366332889;"mitochondrial inner membrane, mitochondrion, extracellular vesicular exosome, mitochondrial respiratory chain complex I, mitochondrial respiratory chain complex IV";0,000395274276428477
"27";27;"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";4;10;0,000547437459034325;3;4;4;6;0,000438786463634084;0,000656007371272454;"proteasome complex, proteasome accessory complex, extracellular vesicular exosome, cytosol, nucleoplasm, nucleus, proteasome regulatory particle, lid subcomplex";0,000439193640476086
