"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5747-3.id.csv";"peptide.count.P5747-4.id.csv";"spectra.count.P5747-3.id.csv";"spectra.count.P5747-4.id.csv";"dNSAF.P5747-3.id.csv";"dNSAF.P5747-4.id.csv";"Go.Cc"
"1";"A6NHG4";"A6NHG4,P30046";"DDTL_HUMAN, DOPD_HUMAN";"D-dopachrome decarboxylase, D-dopachrome decarboxylase-like protein";"DDT, DDTL";2;3;0,000371756292074351;2;1;2;1;0,000646232702571934;0,000327477805392067;"cytoplasm"
"2";"A6NM62";"A6NM62";"LRC53_HUMAN";"Leucine-rich repeat-containing protein 53";"LRRC53";1;1;2,50421239248159e-05;NA;1;NA;1;NA;6,61783536157183e-05;"integral component of membrane"
"3";"A6NMY6";"A6NMY6,P07355-1,P07355-2";"ANXA2_HUMAN, AXA2L_HUMAN";"Annexin A2, Putative annexin A2-like protein";"ANXA2, ANXA2P2";2;4;0,000122822137794476;2;2;2;2;0,000480385371823385;0,000486869657574046;"basement membrane, melanosome"
"4";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;7;0,00143810986670867;3;3;3;4;0,00160707869455389;0,00217169491996844;"spliceosomal complex"
"5";"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;5;0,000153376859205528;2;3;2;3;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"6";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";3;4;0,000602266702685544;2;2;2;2;0,000762766468609496;0,000816010269173674;"nucleus, cytoplasm"
"7";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";11;15;0,00142374750156134;9;6;9;6;0,00222744037907773;0,00150500438222737;"cytoplasm, transcription factor complex, cytoskeleton"
"8";"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";5;11;0,000301318257786579;5;5;6;5;NA;NA;"neuron projection, nucleus, extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol, cell body"
"9";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;4;0,000378515497384794;2;2;2;2;0,000493486791054932;0,000500147920962429;"nucleus, cytosol, cytoplasm, membrane"
"10";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";8;12;0,000443993296695433;5;7;5;7;NA;NA;"nucleus, nucleoplasm, extracellular vesicular exosome, proteasome accessory complex, cytosol, proteasome complex"
