"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6284-1.id.csv";"peptide.count.P6284-2.id.csv";"spectra.count.P6284-1.id.csv";"spectra.count.P6284-2.id.csv";"dNSAF.P6284-1.id.csv";"dNSAF.P6284-2.id.csv"
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";35;74;0,0132167432278243;30;30;36;38;0,0176709833507331;0,0177483172765101
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";31;83;0,0112299900371988;27;26;40;43;0,0142794094449668;0,0158113517353826
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";29;60;0,00743843827973616;25;25;30;30;0,00971868432297621;0,0102018696123504
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";29;55;0,00169813368658539;24;26;27;28;0,00219948968063601;0,00234945150401006
"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575-[1,2]";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";28;58;0,00172415500451006;20;21;26;32;NA;NA
"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";30;50;0,00152553171157236;25;22;25;25;0,00201252007378148;0,00207295803345465
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";25;67;0,00605401392307833;23;24;31;36;0,00739059294787136;0,00884036872113276
"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";20;34;0,00346833649183113;15;16;16;18;0,00430636926945577;0,00499015550179731
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";20;37;0,00271126493245556;17;17;18;19;0,00348009992947513;0,00378375579951445
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";19;39;0,00498117519226062;16;16;19;20;0,00640279780178556;0,00694218960528272
"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";18;34;0,00281918260298573;11;17;14;20;0,0030628187852279;0,00450685464214611
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";22;45;0,00451612930498119;20;18;23;22;0,00602166223172049;0,00606110211633828
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";17;39;0,00894548325947395;16;16;18;21;0,0108933305484754;0,0130905459909081
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";17;36;0,00669302344593734;16;13;20;16;0,00981067339564265;0,00808423806313019
"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"P20701-[1-3]";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";15;27;0,000596365550631597;14;10;15;12;NA;NA
"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";15;29;0,00539160222033841;13;11;17;12;0,00833907238629625;0,00606317854734765
"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";15;22;0,00122353333917243;8;12;9;13;0,00132064050408346;0,00196487870069175
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";15;29;0,00153993022320625;13;14;14;15;NA;NA
"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-[1-4]";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";14;31;0,00095371157501799;13;13;16;15;NA;NA
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";14;28;0,00305742338633664;13;13;13;15;0,00374532820266048;0,00445131241944361
"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";14;23;0,00220684776780752;10;11;10;13;0,0025315908452865;0,0033899021148073
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";14;22;0,00251193737084885;12;10;12;10;0,00361506698614108;0,00310302583976923
"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";14;20;0,0029366485447768;8;12;8;12;0,00309928091362347;0,00478853305728024
"P05107";"P05107";"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";13;21;0,00211713648013558;11;9;11;10;0,00292597912001384;0,00273986286762459
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";13;23;0,00353095642849203;13;10;13;10;0,00526570895819592;0,00417218721822437
"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";13;31;0,00438568096541119;11;13;14;17;0,00522579482516075;0,00653617285920734
"P04406-1,P04406-2";"P04406-1,P04406-2";"P04406-[1,2]";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";12;45;0,00520707234506692;10;12;21;24;NA;NA
"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";12;39;0,00994303592294331;12;11;21;18;0,0141471966494322;0,0124537008080396
"P25705-1,P25705-2";"P25705-1,P25705-2";"P25705-[1,2]";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";12;21;0,00147204154902736;10;8;13;8;NA;NA
"P37837";"P37837";"P37837";"TALDO_HUMAN";"Transaldolase";"TALDO1";12;22;0,00506114384215539;11;10;11;11;0,00667678914923039;0,00687729970244403
"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4F,HIST1H4L,HIST1H4H,HIST2H4B,HIST1H4I,HIST1H4B,HIST1H4A,HIST1H4E,HIST4H4,HIST2H4A,HIST1H4C,HIST1H4K,HIST1H4D,HIST1H4J";12;67;0,0504305237475845;11;12;35;32;0,0695081447618469;0,0654587819868989
"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";11;21;0,00222415020932276;9;9;11;10;0,00307387697170853;0,00287835320382965
"P21333-1,P21333-2";"P21333-1,P21333-2";"P21333-[1,2]";"FLNA_HUMAN";"Filamin-A";"FLNA";11;17;0,000248955018302952;8;9;8;9;NA;NA
"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";11;25;0,00327396628302819;8;10;12;13;0,00414633527633411;0,00462675829183159
"P62826";"P62826";"P62826";"RAN_HUMAN";"GTP-binding nuclear protein Ran";"RAN";11;19;0,00681955050953724;9;9;9;10;0,00852302251246455;0,00975441919075605
"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610-[1,2]";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";14;22;0,000509135962628766;9;10;11;11;NA;NA
"Q01082-1,Q01082-2,Q01082-3";"Q01082-1,Q01082-2,Q01082-3";"Q01082-[1-3]";"SPTB2_HUMAN";"Spectrin beta chain, non-erythrocytic 1";"SPTBN1";11;14;0,000153043612824239;6;8;6;8;NA;NA
"Q06323-1,Q06323-2";"Q06323-1,Q06323-2";"Q06323-[1,2]";"PSME1_HUMAN";"Proteasome activator complex subunit 1";"PSME1";11;23;0,00358058834616159;11;7;13;10;NA;NA
"Q14566";"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";11;14;0,00132202838264252;6;7;6;8;0,00149490285236894;0,00205306167620298
"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";11;23;0,00203553995021515;11;10;12;11;0,00280208959313903;0,00264571917776671
"P34932";"P34932";"P34932";"HSP74_HUMAN";"Heat shock 70 kDa protein 4";"HSPA4";10;18;0,00171016591725237;8;8;9;9;0,00219163436034803;0,00237626452466538
"P49736";"P49736";"P49736";"MCM2_HUMAN";"DNA replication licensing factor MCM2";"MCM2";10;15;0,00128640799085355;5;10;5;10;0,00113137466979618;0,00233070193053463
"P61604";"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";10;21;0,0159615485610221;8;8;10;11;0,0200541706175637;0,02272205882082
"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978-[1-3]";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";10;20;0,00111630700622185;8;9;10;10;NA;NA
"P63244";"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";10;18;0,00440219365450453;7;8;9;9;0,00580748537126922;0,00598188987597153
"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"Q01518-[1,2]";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";10;16;0,0013057266792776;7;8;7;9;NA;NA
"Q15459";"Q15459";"Q15459";"SF3A1_HUMAN";"Splicing factor 3A subunit 1";"SF3A1";10;16;0,00156423750985337;8;8;8;8;0,00206358174324489;0,00212555313513574
"Q92598-1,Q92598-2,Q92598-3";"Q92598-1,Q92598-2,Q92598-3";"Q92598-[1-3]";"HS105_HUMAN";"Heat shock protein 105 kDa";"HSPH1";10;16;0,000496085425361994;6;9;6;10;NA;NA
"B5ME19,Q99613";"B5ME19,Q99613";"Q99613, B5ME19";"EIF3C_HUMAN, EIFCL_HUMAN";"Eukaryotic translation initiation factor 3 subunit C, Eukaryotic translation initiation factor 3 subunit C-like protein";"EIF3C, EIF3CL";9;11;0,000466777634046625;7;4;7;4;0,000783726208042718;0,000461292730203242
"P07954-1,P07954-2";"P07954-1,P07954-2";"P07954-[1,2]";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";9;16;0,00121611798560169;8;8;8;8;NA;NA
"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";9;15;0,00209156982685542;6;7;6;9;0,0022074015140196;0,00341053793288305
