"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"124";"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";"11";"19";"4.1973732601583E-4";"11";"0";"19";"0";"8.43723966567092E-4";"0";"0";"transmembrane transport;zinc ion transport";"integral to membrane";"metal ion transmembrane transporter activity"
"144";"Q15758-1";"Q15758";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";"10";"24";"8.14402298867566E-4";"10";"0";"24";"0";"0";"0";"0";"";"integral to plasma membrane;melanosome;Golgi apparatus";"L-glutamine transmembrane transporter activity;sodium:dicarboxylate symporter activity;receptor activity"
"200";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";"7";"20";"7.89590759296332E-4";"7";"0";"20";"0";"0.0015871751357493";"0";"0";"blood coagulation;leukocyte migration;pyruvate metabolic process";"nuclear membrane;integral to plasma membrane;actin cytoskeleton";"symporter activity;monocarboxylic acid transmembrane transporter activity;secondary active monocarboxylate transmembrane transporter activity"
"232";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";"7";"28";"0.00101385322347517";"6";"4";"19";"9";"0.00138290851324902";"0.00136334272890036";"0";"cellular amino acid metabolic process;blood coagulation;cell differentiation;nervous system development;leukocyte migration";"apical plasma membrane;plasma membrane;cytosol;integral to membrane";"neutral amino acid transmembrane transporter activity;peptide antigen binding;L-amino acid transmembrane transporter activity"
"277";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";"6";"23";"8.44467317067427E-4";"6";"0";"23";"0";"0.00169748380768388";"0";"0";"leukocyte migration;pyruvate metabolic process;blood coagulation";"integral to membrane;plasma membrane;mitochondrion";"symporter activity;secondary active monocarboxylate transmembrane transporter activity;mevalonate transmembrane transporter activity"
"297";"Q15043-1,Q15043-2,Q15043-3";"Q15043";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";"6";"17";"2.11440208409129E-4";"6";"0";"17";"0";"0";"0";"0";"zinc ion transmembrane import;cellular zinc ion homeostasis";"integral to plasma membrane;Golgi apparatus;lamellipodium;endoplasmic reticulum";"zinc ion transmembrane transporter activity;ferrous iron transmembrane transporter activity"
"412";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";"4";"18";"0.00221774317292292";"4";"3";"11";"7";"0.00246483885534988";"0.0046390252587415";"28";"small molecule metabolic process;positive regulation of cell proliferation;viral reproduction;virus-host interaction;energy reserve metabolic process;regulation of insulin secretion;negative regulation of mitochondrial outer membrane permeabilization;chromosome segregation";"integral to plasma membrane;MMXD complex;mitochondrial inner membrane;mitochondrial nucleoid";"adenine transmembrane transporter activity"
"476";"Q2Y0W8-5";"Q2Y0W8";"S4A8_HUMAN";"Electroneutral sodium bicarbonate exchanger 1";"SLC4A8";"4";"4";"6.71838431972176E-5";"0";"4";"0";"4";"0";"0";"0";"bicarbonate transport;sodium ion transport;transmembrane transport";"integral to membrane;plasma membrane";"inorganic anion exchanger activity"
"502";"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";"4";"10";"4.02587393720169E-4";"4";"0";"10";"0";"8.09250480398492E-4";"0";"0";"cellular response to hypoxia;uridine transport;nucleoside transport;sleep;nucleobase-containing compound metabolic process;regulation of excitatory postsynaptic membrane potential;cellular response to glucose stimulus;lactation";"integral to plasma membrane;apical plasma membrane;basolateral plasma membrane";"nucleoside transmembrane transporter activity"
"529";"Q9Y6M5";"Q9Y6M5";"ZNT1_HUMAN";"Zinc transporter 1";"SLC30A1";"4";"7";"2.53463305868793E-4";"4";"0";"7";"0";"5.09492610144376E-4";"0";"0";"detoxification of cadmium ion;calcium ion import;negative regulation of calcium ion import;cellular calcium ion homeostasis;negative regulation of zinc ion transmembrane import;in utero embryonic development;zinc ion transport;cadmium ion transmembrane transport;negative regulation of neurotransmitter secretion;cellular zinc ion homeostasis";"T-tubule;integral to membrane";"zinc ion transmembrane transporter activity;calcium channel inhibitor activity"
