"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5825-1.id.csv";"peptide.count.P5825-2.id.csv";"spectra.count.P5825-1.id.csv";"spectra.count.P5825-2.id.csv";"dNSAF.P5825-1.id.csv";"dNSAF.P5825-2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;2,56868546398112e-05;1;NA;1;NA;NA;NA;"integral component of plasma membrane"
"2";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;1;0,000149731602045988;NA;1;NA;1;NA;0,000367987536667616;"integral component of membrane"
"3";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";2;4;0,00132970078444587;2;2;2;2;0,0015356534700516;0,00163396807850539;"nucleus, cytoplasm"
"4";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";4;7;0,000784849060961435;2;4;3;4;NA;NA;"nucleoplasm, proteasome accessory complex, proteasome complex, cytosol"
"5";"O00232";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";2;2;0,000207522746695317;NA;2;NA;2;NA;NA;"cytosol, proteasome accessory complex, proteasome regulatory particle, nucleoplasm, extracellular vesicular exosome"
"6";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";1;1;0,000618499166621336;NA;1;NA;1;NA;0,00152005309264009;"histone deacetylase complex, cytoplasm, nucleus, nuclear speck, ASAP complex"
"7";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;1;0,00116827620361808;1;NA;1;NA;0,00269845280539931;NA;"mitochondrial respiratory chain complex IV, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"8";"O00506";"O00506,Q9P289-1,Q9P289-2,Q9P289-3";"MST4_HUMAN, STK25_HUMAN";"Serine/threonine-protein kinase 25, Serine/threonine-protein kinase MST4";"MST4, STK25";1;1;5,65294937234555e-05;1;NA;1;NA;0,000513086096801277;NA;"Golgi apparatus, cytoplasm"
"9";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";6;12;0,00191172469682958;5;6;5;7;0,00183985418549953;0,002740701788245;"small nucleolar ribonucleoprotein complex, pre-snoRNP complex, nucleolus, box C/D snoRNP complex, cytoplasm"
"10";"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";10;20;0,00150276755450292;7;10;9;11;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm"
"11";"O14828";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";2;4;0,000545420014369247;2;2;2;2;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"12";"O14929";"O14929-1,O14929-2";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";1;2;0,000225848144374855;1;1;1;1;NA;NA;"intracellular membrane-bounded organelle, nucleoplasm, nucleus, nuclear matrix, cytoplasm"
"13";"O14950";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";2;3;0,000827670896440797;2;1;2;1;0,00127448791392037;0,000678041175434208;"cytosol, apical part of cell, stress fiber, myosin II complex, Z disc, extracellular vesicular exosome"
"14";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";5;8;0,000706856190424384;4;4;4;4;0,000816338663818278;0,000868601767222907;"nucleus, cytoplasm, nuclear envelope, annulate lamellae, kinetochore, intracellular membrane-bounded organelle, nucleolus, nuclear membrane, nucleoplasm, Cajal body, cytosol, ribonucleoprotein complex"
"15";"O15067";"O15067";"PUR4_HUMAN";"Phosphoribosylformylglycinamidine synthase";"PFAS";3;3;0,00021217572307862;1;2;1;2;0,000163359250551079;0,00034763546064863;"extracellular vesicular exosome, cytosol"
"16";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";1;2;0,000575260623058142;1;1;1;1;0,000664360721086152;0,000706893991410131;"transport vesicle, intracellular membrane-bounded organelle, integral component of membrane, Golgi apparatus, extracellular vesicular exosome, recycling endosome membrane, nucleus, trans-Golgi network membrane"
"17";"O15160";"O15160-1,O15160-2";"RPAC1_HUMAN";"DNA-directed RNA polymerases I and III subunit RPAC1";"POLR1C";1;1;0,00013674909319807;NA;1;NA;1;NA;NA;"cytosol, DNA-directed RNA polymerase I complex, DNA-directed RNA polymerase III complex, nucleoplasm"
"18";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";4;7;0,00121320990375724;4;2;4;3;0,00160127968672047;0,00127784683062601;"nucleus, cytoplasm"
"19";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";7;13;0,0023080578656845;7;5;7;6;0,0028705867554623;0,00261802765298987;"cytosol, extracellular vesicular exosome"
"20";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";2;3;0,000531631306140811;2;1;2;1;0,000818631749952599;0,000435520829913733;"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome"
"21";"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";1;1;0,000543852715477382;NA;1;NA;1;NA;0,00133659840904559;"cytoplasm, nucleus, cytosol"
"22";"O43390";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";2;4;0,000411111412884561;2;2;2;2;NA;NA;"cytoplasm, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleus, nucleoplasm"
"23";"O43592";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";3;3;0,000295105111724733;3;NA;3;NA;0,00068162581259047;NA;"cytoplasm, nucleoplasm, nucleus"
"24";"O43615";"O43615";"TIM44_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM44";"TIMM44";1;1;0,000209359231179346;1;NA;1;NA;0,000483572294772885;NA;"mitochondrion, mitochondrial matrix, mitochondrial inner membrane"
"25";"O60216";"O60216";"RAD21_HUMAN";"Double-strand-break repair protein rad21 homolog";"RAD21";1;1;0,000149968894600736;NA;1;NA;1;NA;0,000368570718183729;"nucleoplasm, cytosol, chromosome, cohesin complex, nucleus, chromosome, centromeric region, nuclear meiotic cohesin complex"
"26";"O60264";"O60264";"SMCA5_HUMAN";"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5";"SMARCA5";4;5;0,000449764127818747;1;4;1;4;0,00020777060573892;0,000884289441725982;"nucleus, chromatin silencing complex, NURF complex, nucleoplasm, condensed chromosome, RSF complex"
"27";"O60488";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";4;4;0,000266189514748423;NA;4;NA;4;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, peroxisomal membrane, cytoplasm, mitochondrial outer membrane, integral component of membrane, neuronal cell body"
