"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5747-3.id.csv";"peptide.count.P5747-4.id.csv";"spectra.count.P5747-3.id.csv";"spectra.count.P5747-4.id.csv";"dNSAF.P5747-3.id.csv";"dNSAF.P5747-4.id.csv"
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";57;121;0,00150479129934038;51;51;63;58;0,00204292918877579;0,0019061790536083
"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";46;86;0,00105689392126923;35;41;42;44;0,00134587306651345;0,00142899405989265
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";38;87;0,00322912925748775;31;34;43;44;0,00416077098340432;0,00431666128707573
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";37;79;0,00406420882076671;32;34;38;41;0,00509746652374699;0,00557413621962246
"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610-[1,2]";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";40;89;0,00082962687747697;35;32;45;44;NA;NA
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";30;64;0,00188899983571995;27;25;34;30;0,00261669272005498;0,0023400115394745
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";28;74;0,00403287454019924;26;27;37;37;0,00525783047014024;0,00532880114742693
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";27;58;0,0036108386263681;23;25;29;29;0,00467907332188448;0,00479841163269218
"P55072";"P55072";"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";26;48;0,00185970393256053;20;23;22;26;0,00222252735921762;0,00266207764383228
"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";25;38;0,00126914019711372;19;18;19;19;0,00165463218177242;0,00167696655852109
"P33991";"P33991";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";25;48;0,00173687296598353;19;23;22;26;0,00207573238879421;0,00248625096283757
"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";24;46;0,000950043857523341;19;24;21;25;0,00113090722950088;0,00136449085580028
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";24;55;0,00405152076833197;22;22;27;28;0,00535794723859915;0,00528199604690585
"P29401";"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";24;54;0,00270671996926044;19;22;26;28;0,0033981674697041;0,0037089621105079
"Q08211-1";"Q08211-1";"Q08211-1";"DHX9_HUMAN";"ATP-dependent RNA helicase A";"DHX9";26;50;0,00122943025725376;22;23;23;27;NA;NA
"Q6P2Q9";"Q6P2Q9";"Q6P2Q9";"PRP8_HUMAN";"Pre-mRNA-processing-splicing factor 8";"PRPF8";23;35;0,000468078586166421;16;18;17;18;0,000592818179404318;0,000636162451930798
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";27;106;0,00793793291278183;26;25;52;54;0,0101537569958065;0,01068661385078
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";21;49;0,00215513929320849;21;19;24;25;0,00275240520081342;0,00290578897742256
"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";21;43;0,00245033526819809;16;21;20;23;0,00297172702642568;0,00346361562053361
"Q14152";"Q14152";"Q14152";"EIF3A_HUMAN";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";21;40;0,000903835847590318;18;19;19;21;0,00111945086103995;0,00125398881775312
"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";21;45;0,00160415386306056;16;18;21;24;0,00195197686187824;0,0022609426564055
"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7-[1-3]";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";21;36;8,5672231918369e-05;19;14;20;16;NA;NA
"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";20;38;0,000910004665875252;15;18;17;21;0,00106152641787506;0,00132899735133038
"P07900-1,P07900-2";"P07900-1,P07900-2";"P07900-[1,2]";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";25;54;0,00158035109556447;21;20;27;27;NA;NA
"P34932";"P34932";"P34932";"HSP74_HUMAN";"Heat shock 70 kDa protein 4";"HSPA4";20;33;0,00134165046988865;18;15;18;15;0,0019485209885619;0,00157786607598026
"P49736";"P49736";"P49736";"MCM2_HUMAN";"DNA replication licensing factor MCM2";"MCM2";20;34;0,00117448669265968;15;17;15;19;0,00135108385825327;0,00173447315510754
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";19;51;0,00474607250585664;16;19;25;26;0,00615163822640591;0,00630112466926804
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";19;34;0,00136887796314501;15;17;16;18;0,00170562347171778;0,00189007656849709
"P48643";"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";19;37;0,00228825961664989;14;17;15;22;0,00240328744018911;0,0036140363064568
"Q14566";"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";19;40;0,001521438661839;18;17;20;20;0,00198356444638401;0,00201033878096957
"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";18;36;0,00182247623105782;17;14;18;18;0,00240253854630827;0,00238312481465084
"P05455";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";18;32;0,00244921792425455;16;13;18;14;0,00359229355253222;0,00283171984662552
"P49588";"P49588";"P49588";"SYAC_HUMAN";"Alanine--tRNA ligase, cytoplasmic";"AARS";18;31;0,00100005514934051;12;15;13;18;0,00109352186654218;0,00153454475749836
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";18;36;0,000769993854269067;16;16;18;18;NA;NA
"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";18;39;0,00230657881218859;16;15;20;19;0,00308429244409332;0,00296962828071442
"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";17;56;0,00542614431580357;17;14;32;24;0,00807495562293478;0,00615366722322998
"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";17;31;0,00174110320964318;14;15;15;16;0,00219672627313122;0,0023748030779511
"P33992";"P33992";"P33992";"MCM5_HUMAN";"DNA replication licensing factor MCM5";"MCM5";17;33;0,00140396245453692;13;15;16;17;0,00177493886700956;0,00191132822656623
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";17;26;0,00122066370129568;13;12;13;13;0,00159076848729048;0,00161361294589326
"P53396-1,P53396-2";"P53396-1,P53396-2";"P53396-[1,2]";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";17;28;0,000397080290172059;11;15;12;16;NA;NA
"Q02790";"Q02790";"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";17;41;0,00278938708040101;13;15;19;22;0,00337054703694381;0,00395541819846104
"Q04637-1,Q04637-3,Q04637-4,Q04637-5,Q04637-6";"Q04637-1,Q04637-3,Q04637-4,Q04637-5,Q04637-6";"Q04637-[1,3-6]";"IF4G1_HUMAN";"Eukaryotic translation initiation factor 4 gamma 1";"EIF4G1";19;33;0,000128894114025028;18;15;18;15;NA;NA
"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";16;29;0,00112079000927366;12;15;13;16;0,00131006085001588;0,0016341466724515
"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";16;29;0,00217169862708182;14;11;18;11;0,00351476203700994;0,00217690282145518
"P41252";"P41252";"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";16;25;0,000618611896478714;9;14;10;15;0,000645208561997335;0,000980876469399375
"P60174-1,P60174-3";"P60174-1,P60174-3";"P60174-[1,3]";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";16;39;0,00212914967278946;14;16;17;22;NA;NA
"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";15;30;0,00153830189823869;13;12;16;14;0,00213925308437606;0,00189711280365059
"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";15;32;0,00144314573710174;11;13;15;17;0,00177283612821348;0,0020174215103532
"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";15;27;0,00346972539269394;10;14;11;16;0,003685919859114;0,00543370580798688
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";55;105;0,00197276334237568;44;49;48;57;NA;NA
"P40227";"P40227";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";17;36;0,00211712057859291;13;16;15;21;0,00230015029728994;0,003263677111365
"P52209";"P52209";"P52209";"6PGD_HUMAN";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";15;32;0,002068904581979;12;14;13;19;0,0021915717739396;0,00324630172301701
"P56192";"P56192";"P56192";"SYMC_HUMAN";"Methionine--tRNA ligase, cytoplasmic";"MARS";15;24;0,000832734094246546;10;11;12;12;0,00108567094032085;0,00110032542611734
"Q9UQ80";"Q9UQ80";"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";15;33;0,00261550365895965;12;13;16;17;0,00330661200097721;0,00356069776218176
"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";14;24;0,000699776549787014;12;11;13;11;0,000988355898051194;0,000847589613955937
"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";14;25;0,000981997752649229;12;11;12;13;0,00122906144187266;0,00134945571127599
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";14;59;0,0054997736821507;10;12;27;32;0,00656263777358125;0,0078829284259153
"P37802";"P37802";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";14;32;0,00502151212610983;14;13;17;15;0,00695593190406574;0,00622043268533674
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";14;28;0,00258689585490791;13;12;15;13;0,00361354972739928;0,00317401565226157
"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";14;23;0,000450125231413733;10;11;11;12;0,000540542260570127;0,000643614519710252
"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";14;24;0,000823583170133947;10;12;11;13;0,000984262116224946;0,00117892009941144
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";13;25;0,00147578112165621;9;13;10;15;0,00153923101179705;0,0023400115394745
"P30153";"P30153";"P30153";"2AAA_HUMAN";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform";"PPP2R1A";13;30;0,00194968960671668;12;11;15;15;0,00272166553109933;0,00238185894448152
"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";13;21;0,00166533343951871;9;11;10;11;0,00211953111993224;0,00224367104269141
"P31939";"P31939";"P31939";"PUR9_HUMAN";"Bifunctional purine biosynthesis protein PURH";"ATIC";13;26;0,00137147929373375;12;10;14;12;0,00192559879617718;0,00167279203294866
"P31948";"P31948";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";13;25;0,00143773151630964;13;9;15;10;0,0022493182465211;0,00151978650016208
