"";"X";"AC";"Group";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov";"Go.Cc"
"4";4;"A0AVI2";"A0AVI2-1";"FR1L5_HUMAN";"90342";"FER1L5";"Fer-1-like protein 5";"FER1L5";NA;0;1;1;4;2;4;"3";"1.41";"0.47";4;2;6;"3";"1.41";"0.47";"0.02";"0.01";"0.02";"0.01";"0";"0.33";4;6;"0.02";"plasma membrane, integral component of membrane"
"7";7;"A0FGR8";"A0FGR8-1";"ESYT2_HUMAN";"57488";"ESYT2";"Extended synaptotagmin-2";"ESYT2,KIAA1228,FAM62B";NA;0;1;1;33;30;36;"31.5";"2.12";"0.07";49;43;92;"46";"4.24";"0.09";"0.41";"0.39";"0.45";"0.4";"0.01";"0.03";36;92;"0.45";"integral component of plasma membrane"
"8";8;"A0FGR8";"A0FGR8-6";"ESYT2_HUMAN";"57488";"ESYT2";"Extended synaptotagmin-2";"ESYT2,KIAA1228,FAM62B";NA;0;1;1;33;31;36;"32";"1.41";"0.04";49;44;93;"46.5";"3.54";"0.08";"0.41";"0.4";"0.45";"0.4";"0.01";"0.01";36;93;"0.45";"integral component of plasma membrane"
"9";9;"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"57488";"ESYT2";"Extended synaptotagmin-2";"ESYT2,KIAA1228,FAM62B";NA;0;2;1;33;31;37;"32";"1.41";"0.04";50;44;94;"47";"4.24";"0.09";"0.43";"0.42";"0.5";"0.43";"0.01";"0.01";37;94;"0.5";"integral component of plasma membrane"
"10";10;"A0FGR8";"A0FGR8-4";"ESYT2_HUMAN";"57488";"ESYT2";"Extended synaptotagmin-2";"ESYT2,KIAA1228,FAM62B";NA;0;1;1;20;19;23;"19.5";"0.71";"0.04";31;26;57;"28.5";"3.54";"0.12";"0.4";"0.38";"0.45";"0.39";"0.02";"0.05";23;57;"0.45";"integral component of plasma membrane"
"16";16;"A1A4S6";"A1A4S6";"RHG10_HUMAN";"79658";"ARHGAP10";"Rho GTPase-activating protein 10";"ARHGAP10,GRAF2";NA;0;1;1;11;10;12;"10.5";"0.71";"0.07";16;15;31;"15.5";"0.71";"0.05";"0.13";"0.13";"0.13";"0.13";"0";"0.03";12;31;"0.13";"plasma membrane, perinuclear region of cytoplasm, cytosol"
"18";18;"A1KZ92";"A1KZ92-1";"PXDNL_HUMAN";"137902";"PXDNL";"Peroxidasin-like protein";"PXDNL,VPO2";NA;0;2;1;0;3;3;"1.5";"2.12";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.02";"0.02";"0.01";"0.01";"1.41";3;4;"0.02";"extracellular space, cytoplasm"
"22";22;"A1L4H1";"A1L4H1-1";"SRCRL_HUMAN";"284297";"SSC5D";"Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D";"SSC5D";NA;0;2;2;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.02";"0.02";"0.01";"0.01";"1.41";2;2;"0.02";"extracellular region, cytoplasm, membrane"
"36";36;"A3KMH1";"A3KMH1-1";"VWA8_HUMAN";"23078";"VWA8";"von Willebrand factor A domain-containing protein 8";"VWA8,KIAA0564";NA;0;3;1;29;32;36;"30.5";"2.12";"0.07";35;37;72;"36";"1.41";"0.04";"0.17";"0.19";"0.21";"0.18";"0.01";"0.07";36;72;"0.21";"mitochondrion, extracellular region"
"42";42;"A5D8V6";"A5D8V6";"VP37C_HUMAN";"55048";"VPS37C";"Vacuolar protein sorting-associated protein 37C";"VPS37C,PML39";NA;0;1;1;2;2;2;"2";"0";"0";3;2;5;"2.5";"0.71";"0.28";"0.05";"0.05";"0.05";"0.05";"0";"0";2;5;"0.05";"nucleus, late endosome membrane, ESCRT I complex, extracellular vesicular exosome"
"43";43;"A5PKW4";"A5PKW4-1";"PSD1_HUMAN";"5662";"PSD";"PH and SEC7 domain-containing protein 1";"PSD,EFA6,KIAA2011,PSD1,TYL";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.02";"0.02";"0.01";"0.01";"1.41";2;2;"0.02";"cell junction, plasma membrane, ruffle, integral component of membrane"
"46";46;"A5YKK6";"A5YKK6-1";"CNOT1_HUMAN";"23019";"CNOT1";"CCR4-NOT transcription complex subunit 1";"CNOT1,KIAA1007,CDC39,NOT1";NA;0;4;1;83;75;88;"79";"5.66";"0.07";134;126;260;"130";"5.66";"0.04";"0.4";"0.36";"0.42";"0.38";"0.03";"0.08";88;260;"0.42";"CCR4-NOT complex, nucleus, peroxisomal membrane, cytoplasmic mRNA processing body, cytosol, extracellular space"
"51";51;"A6NCN2";"A6NCN2";"K121P_HUMAN";NA;"KRT121P";"Keratin-81-like protein KRT121P";"KRT121P";NA;0;1;1;2;2;3;"2";"0";"0";3;2;5;"2.5";"0.71";"0.28";"0.03";"0.03";"0.03";"0.03";"0";"0";3;5;"0.03";"extracellular space, keratin filament"
