"";"X";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv"
"1";"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";56;246;0,0152963206301746;52;53;121;125;0,0186993012320294;0,019696731126312
"2";"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";50;143;0,002069517069149;47;49;69;74;NA;NA
"3";"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";38;144;0,00948524236753008;38;34;73;71;0,011950798853251;0,0118515884307248
"4";"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";29;61;0,00275792424545363;27;28;31;30;0,00348339182176571;0,00343720966873225
"5";"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";27;63;0,0039044855435307;24;25;32;31;0,00492902912416967;0,00486874731827668
"6";"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";27;60;0,00309371805361722;26;23;34;26;0,00435709003778421;0,00339730940585197
"7";"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";25;42;0,00253187848683249;19;22;19;23;0,00287884308742883;0,00347790028628398
"8";"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";24;74;0,00527978952515241;24;24;36;38;0,0063837449502774;0,00687069641072986
"9";"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";24;75;0,00511890057696159;22;21;36;39;0,00610669272820388;0,00674547147852707
"10";"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";24;59;0,00501142471829198;22;22;29;30;0,00614335198480303;0,00643564434606839
"11";"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";24;49;0,000736529132796645;23;17;28;21;0,00104602006951092;0,000799917902563437
"12";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";23;58;0,000868696386801407;19;23;26;32;NA;NA
"13";"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";27;58;0,00285755218896518;23;27;28;30;0,00343048704447658;0,00374353527786188
"15";"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";27;58;0,000653467132758073;27;24;32;26;NA;NA
"16";"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;35;0,000718725576112379;16;19;16;19;0,000816588339667935;0,000988737323524509
"18";"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";21;47;0,00249850412949875;20;20;24;23;0,00317089303164014;0,003098434515543
"20";"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";21;58;0,00647667128621167;20;21;30;28;0,00832593954313793;0,00792344715320233
"21";"P49411";"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";21;51;0,0042586534800014;19;19;27;24;0,00560343099341274;0,00507861909819669
"22";"P20700";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";20;40;0,00268835330493878;18;18;21;19;0,00349609895519231;0,0032488690406336
"24";"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";20;38;0,00157609636226038;19;15;20;18;0,00206166122020558;0,00189192513658096
"25";"P05107";"P05107";"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";19;34;0,00166875715037766;12;19;13;21;0,00158579013231678;0,00261195559601663
"26";"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";19;37;0,00137722320453926;18;16;19;18;0,00175769834799579;0,00169788153282907
