"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5574"	"spectra.count.P5574"	"dNSAF.P5574"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q92616"	"Q92616"	"GCN1L_HUMAN"	"Translational activator GCN1"	"GCN1L1"	79	157	0.00192367974456945	79	157	0.00255141871656821	0	"regulation of translation"	"ribosome"	"translation factor activity"
"Q9UIA9"	"Q9UIA9"	"XPO7_HUMAN"	"Exportin-7"	"XPO7"	34	74	0.00222796920310755	34	74	0.00295500451194822	0	"mRNA transport"	"cytoplasm;nuclear pore"	"nuclear export signal receptor activity"
"O14980"	"O14980"	"XPO1_HUMAN"	"Exportin-1"	"XPO1"	33	81	0.0024751558839429	33	81	0.00328285363847257	0	"mRNA metabolic process;modulation by virus of host morphology or physiology;intracellular transport of viral material;negative regulation of transforming growth factor beta receptor signaling pathway;protein export from nucleus;regulation of protein export from nucleus;regulation of protein catabolic process;negative regulation of transcription from RNA polymerase II promoter;protein localization to nucleus;mRNA transport;regulation of centrosome duplication;response to drug;viral infectious cycle;gene expression;transforming growth factor beta receptor signaling pathway;mitotic cell cycle"	"nuclear envelope;Cajal body;nucleolus;cytosol;nucleoplasm;ribonucleoprotein complex;kinetochore;annulate lamellae"	"transporter activity;protein transporter activity;RNA binding"
"Q13423"	"Q13423"	"NNTM_HUMAN"	"NAD(P) transhydrogenase, mitochondrial"	"NNT"	33	74	0.00223002074012698	33	74	0.00295772551057801	0	"reactive oxygen species metabolic process;tricarboxylic acid cycle;small molecule metabolic process"	"mitochondrial respiratory chain;integral to membrane"	"NAD(P)+ transhydrogenase (B-specific) activity;NADP binding;NAD(P)+ transhydrogenase (AB-specific) activity;NAD binding"
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	35	83	0.00447503471823247	35	83	0.00593533688215149	0	""	""	""
"P04843"	"P04843"	"RPN1_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"RPN1"	31	71	0.00382804174692175	31	71	0.00507721588714164	0	"post-translational protein modification;SRP-dependent cotranslational protein targeting to membrane;translation;protein N-linked glycosylation via asparagine"	"melanosome;oligosaccharyltransferase complex;integral to membrane;rough endoplasmic reticulum"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"P27824"	"P27824"	"CALX_HUMAN"	"Calnexin"	"CANX"	27	78	0.00431201143295007	27	78	0.00571911551657328	0	"antigen processing and presentation of peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class II;protein secretion;post-translational protein modification;protein folding;clathrin-mediated endocytosis;aging;synaptic vesicle endocytosis;protein N-linked glycosylation via asparagine"	"dendrite cytoplasm;axon;endoplasmic reticulum lumen;neuronal cell body;integral to lumenal side of endoplasmic reticulum membrane;melanosome;dendritic spine;ribosome"	"calcium ion binding;unfolded protein binding"
"P55060-1,P55060-3"	"P55060-[1,3]"	"XPO2_HUMAN"	"Exportin-2"	"CSE1L"	38	84	0.00141558863805316	38	84	0	0	"apoptotic process;cell proliferation"	"nucleus;cytoplasm"	"importin-alpha export receptor activity"
"P08195-1,P08195-2,P08195-3,P08195-4"	"P08195-[1-4]"	"4F2_HUMAN"	"4F2 cell-surface antigen heavy chain"	"SLC3A2"	25	58	0.000753241883199906	25	58	0	0	"leucine import;cell growth;blood coagulation;leukocyte migration;tryptophan transport;carbohydrate metabolic process"	"integral to membrane;plasma membrane;cell surface;melanosome;apical plasma membrane"	"cation binding;neutral amino acid transmembrane transporter activity;catalytic activity;calcium:sodium antiporter activity"
"O95373"	"O95373"	"IPO7_HUMAN"	"Importin-7"	"IPO7"	23	48	0.00156068355109887	23	48	0.002069968888613	2	"signal transduction;modulation by virus of host morphology or physiology;protein import into nucleus"	"Golgi apparatus;nuclear pore"	"transporter activity;Ran GTPase binding;small GTPase regulator activity"
