"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc"
"1";"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";7;14;0,00255291421874046;3;6;6;8;0,00265177054555934;0,00340531632166263;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"2";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";2;3;0,00162765165798003;1;2;1;2;0,00131497263678971;0,0025329667701256;"mitochondrial respiratory chain complex IV, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"3";"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;15;0,000497884381783921;7;4;9;6;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm"
"4";"O14818";"O14818-1,O14818-2";"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";4;5;0,000443010027877628;1;3;1;4;NA;NA;"proteasome core complex, proteasome complex, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"5";"O14949";"O14949";"O14949";"QCR8_HUMAN";"Cytochrome b-c1 complex subunit 8";"UQCRQ";3;3;0,00160780224751686;3;NA;3;NA;0,00389680915536464;NA;"respiratory chain, mitochondrion, mitochondrial inner membrane"
"6";"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";1;2;0,000256248365979363;NA;1;NA;2;NA;0,000598164164373683;"cytosol, apical part of cell, stress fiber, myosin II complex, Z disc, extracellular vesicular exosome"
"7";"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";1;2;7,4923647748287e-05;NA;1;NA;2;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"8";"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";3;5;0,000590680037170171;1;3;1;4;0,000286324687042921;0,00110306617408695;"cytoplasm, extracellular vesicular exosome, Arp2/3 protein complex, actin cytoskeleton"
"9";"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";1;3;0,000374544841751086;1;1;1;2;0,00030259313517036;0,000582870194261856;"eukaryotic translation initiation factor 3 complex, cytosol, extracellular vesicular exosome, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex"
"10";"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";1;2;0,000110557471108077;1;1;1;1;0,000133978344125744;0,000129037929798851;"U12-type spliceosomal complex, nucleolus, nucleus"
"11";"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";4;12;0,000989416767702681;3;4;6;6;0,00119901820165066;0,00115480473759947;"cytosol, extracellular vesicular exosome"
"12";"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";1;1;8,22969939428104e-05;NA;1;NA;1;NA;0,000192107030318514;"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome"
"13";"O43390";"O43390-1,O43390-2";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";1;2;0,000107294572887094;0;1;0;2;NA;NA;"cytoplasm, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleus, nucleoplasm"
"14";"O43396";"O43396";"O43396";"TXNL1_HUMAN";"Thioredoxin-like protein 1";"TXNL1";1;1;0,000152064341748999;NA;1;NA;1;NA;0,000354965931453587;"nucleus, cytoplasm, proteasome complex"
"15";"O43670";"O43670-1,O43670-2";"O43670-1,O43670-2";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";2;2;9,19384827729304e-05;NA;2;NA;2;NA;NA;"kinetochore, nucleus"
"16";"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";3;3;0,000144719851038839;NA;3;NA;3;NA;0,000337821583501932;"pseudopodium, platelet alpha granule lumen, extracellular vesicular exosome, extracellular region, cell-cell junction, Z disc, ribonucleoprotein complex, neuron projection, stress fiber, protein complex, cortical cytoskeleton, perinuclear region of cytoplasm, cytoplasm, nucleus"
"17";"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";1;1;8,01945159953663e-05;NA;1;NA;1;NA;0,00018719918647826;"cytoplasm, mitochondrion, extracellular vesicular exosome, cytosol"
"18";"O60234";"O60234";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";3;3;0,00092844918518579;NA;3;NA;3;NA;0,00216729198993141;"intracellular"
"19";"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";5;9;0,00024528779363474;2;5;3;6;NA;NA;"ribonucleoprotein complex, nucleoplasm, CRD-mediated mRNA stability complex, endoplasmic reticulum, catalytic step 2 spliceosome, nucleus, histone pre-mRNA 3'end processing complex, GAIT complex"
"20";"O60812";"O60812";"O60812";"HNRCL_HUMAN";"Heterogeneous nuclear ribonucleoprotein C-like 1";"HNRNPCL1";1;1;0,000199984504052154;1;0;1;0;0,000545287287952048;NA;"ribonucleoprotein complex, nucleus"
"21";"O60814";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";2;5;0,000409065892878578;1;2;2;3;0,000543432569285544;0,000697858191769297;"nucleosome, nucleoplasm"
"22";"O60841";"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";8;16;0,000576348783809321;5;7;7;9;0,000611138922180137;0,000756775727631787;"cytosol"
"23";"O75347";"O75347";"O75347";"TBCA_HUMAN";"Tubulin-specific chaperone A";"TBCA";4;5;0,00203456457247503;NA;4;NA;5;NA;0,00474931269398549;"nucleolus, cytoplasm, microtubule cytoskeleton, microtubule"
"24";"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";3;3;0,000101104129061643;NA;3;NA;3;NA;0,000236008790314616;"catalytic step 2 spliceosome, nucleus, spliceosomal complex, nucleoplasm, U12-type spliceosomal complex, nuclear speck, intracellular membrane-bounded organelle"
"25";"O75821";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";2;2;0,00027466621728413;2;NA;2;NA;0,000665704897374792;NA;"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, perinuclear region of cytoplasm, eukaryotic translation initiation factor 3 complex, nucleus, cytosol"
"26";"O75874";"O75874";"O75874";"IDHC_HUMAN";"Isocitrate dehydrogenase [NADP] cytoplasmic";"IDH1";1;3;0,000367446444527264;1;1;1;2;0,000289436911902083;0,000594696546029488;"mitochondrion, peroxisome, cytosol, cytoplasm, extracellular vesicular exosome, peroxisomal matrix"
"27";"O75947";"O75947-1,O75947-2";"O75947-1,O75947-2";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";4;5;0,000682400539836347;NA;4;NA;5;NA;NA;"mitochondrial proton-transporting ATP synthase complex, mitochondrion, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"28";"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";4;9;0,000589447619804988;2;4;2;7;0,000317474764768902;0,00107018789766111;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting"
"29";"O94776";"O94776";"O94776";"MTA2_HUMAN";"Metastasis-associated protein MTA2";"MTA2";3;3;0,00019736494655147;3;NA;3;NA;0,000478350824460928;NA;"nucleus, histone deacetylase complex, transcription factor complex, NuRD complex"
"30";"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";2;2;9,07987495154148e-05;NA;2;NA;2;NA;0,000211952797913402;"plasma membrane, cytoplasm, extracellular vesicular exosome"
"31";"O95202";"O95202-1";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";1;1;5,94676519153731e-05;NA;1;NA;1;NA;NA;"mitochondrial inner membrane, integral component of membrane, mitochondrion"
"32";"O95716";"O95716";"O95716";"RAB3D_HUMAN";"Ras-related protein Rab-3D";"RAB3D";0;0;0;0;0;0;0;0;0;"plasma membrane, transport vesicle, mitochondrion, zymogen granule, extracellular vesicular exosome"
"33";"O95757";"O95757";"O95757";"HS74L_HUMAN";"Heat shock 70 kDa protein 4L";"HSPA4L";0;0;0;0;0;0;0;NA;0;"nucleus, cytoplasm"
"34";"O95831";"O95831-1,O95831-3";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";5;9;0,000322609586369614;3;4;3;6;NA;NA;"cytosol, mitochondrial inner membrane, nucleus, mitochondrion, mitochondrial intermembrane space, perinuclear region of cytoplasm"
"35";"O96006";"O96006";"O96006";"ZBED1_HUMAN";"Zinc finger BED domain-containing protein 1";"ZBED1";1;1;6,33236235813555e-05;NA;1;NA;1;NA;0,000147817225057762;"nuclear chromosome"
"36";"P00338";"P00338-1,P00338-3";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";11;36;0,00253888583229257;11;9;22;14;NA;NA;"extracellular vesicular exosome, cytosol, cilium, mitochondrion"
"37";"P00387";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";7;21;0,0010220138317549;7;5;12;9;NA;NA;"mitochondrial outer membrane, endoplasmic reticulum, endoplasmic reticulum membrane, cytoplasm, membrane, lipid particle, mitochondrion, mitochondrial inner membrane, hemoglobin complex"
"38";"P00492";"P00492";"P00492";"HPRT_HUMAN";"Hypoxanthine-guanine phosphoribosyltransferase";"HPRT1";2;4;0,000806359536980931;NA;2;NA;4;NA;0,00188229640715755;"cytosol, extracellular vesicular exosome, cytoplasm"
"39";"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";27;113;0,0119087894688179;21;26;51;62;0,0130267433155355;0,0152524689683102;"extracellular vesicular exosome, cytosol"
