"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";4;10;9,50929492504194e-05;1;2;2;2;1;3;3;3;NA;NA;NA;NA;"integral component of plasma membrane";0,000231449335740406
"5";5;"A8MTJ3";"A8MTJ3";"A8MTJ3";"GNAT3_HUMAN";"Guanine nucleotide-binding protein G(t) subunit alpha-3";"GNAT3";1;1;2,93535394612391e-05;0;1;0;0;0;1;0;0;0;0,000159772142690416;NA;NA;"plasma membrane, axoneme, apical plasma membrane, photoreceptor outer segment, extrinsic component of cytoplasmic side of plasma membrane, photoreceptor inner segment, heterotrimeric G-protein complex, protein complex, acrosomal vesicle";2,31449335740406e-05
"7";7;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";10;18;0,000154857653504268;5;3;6;4;5;3;6;4;NA;NA;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000416608804332732
"13";13;"O00154";"O00154-1,O00154-4,O00154-6";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";8;34;0,000261205316914705;6;7;7;7;8;10;8;8;NA;NA;NA;NA;"extracellular vesicular exosome, cell body, nucleus, cytoplasm, cytosol, mitochondrion, neuron projection";0,000786927741517382
"14";14;"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";2;2;4,15073963315812e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane";4,62898671480813e-05
"17";17;"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;5;6,1676483281434e-05;1;NA;2;2;1;NA;2;2;NA;NA;NA;NA;"cytoplasm, extracellular region";0,000115724667870203
"21";21;"O00232";"O00232-1";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";9;25;0,000480156832563795;7;5;6;5;8;5;7;5;NA;NA;NA;NA;"proteasome regulatory particle, proteasome accessory complex, extracellular vesicular exosome, nucleoplasm, cytosol";0,000578623339351016
"24";24;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";12;51;0,0018533655266562;11;11;9;9;14;13;13;11;0,00277672339184134;0,00260444277129292;0,00237520693180995;0,00200794893532403;"perinuclear region of cytoplasm, brush border, blood microparticle, nuclear envelope, nucleus, extracellular vesicular exosome, extracellular space, cytoplasm, plasma membrane, mitochondrion, nuclear membrane, chloride channel complex";0,00118039161227607
"26";26;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;1,59527515955622e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,02052501844189e-05;NA;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane";2,31449335740406e-05
"36";36;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";14;43;0,000292507702871608;8;9;11;13;8;9;12;14;NA;NA;NA;NA;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus";0,000995232143683748
"37";37;"O00584";"O00584-1";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";3;9;0,000307900568881534;2;2;2;3;2;2;2;3;NA;NA;NA;NA;"extracellular space, lysosomal lumen, lysosome, extracellular region, endoplasmic reticulum lumen";0,000208304402166366
"40";40;"O00764";"O00764-1,O00764-2";"O00764-1,O00764-2";"PDXK_HUMAN";"Pyridoxal kinase";"PDXK";1;3;4,21060607017482e-05;1;1;1;NA;1;1;1;NA;NA;NA;NA;NA;"cytoplasm, nucleus, extracellular vesicular exosome, cytosol";6,94348007221219e-05
"49";49;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";3;5;5,85431860024307e-05;NA;1;2;2;NA;1;2;2;NA;6,45486124929653e-05;0,000117734444789428;0,000117626566216113;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane";0,000115724667870203
"51";51;"O14737";"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";6;17;0,00119109624513105;4;5;4;4;4;5;4;4;0,00152957791413431;0,00193129448578952;0,00140904583523987;0,00140775474447444;"cytoplasm, nucleus, extracellular vesicular exosome";0,000393463870758691
"53";53;"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;3;7,33915694913153e-05;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000368988958250664;NA;"intracellular membrane-bounded organelle, sperm midpiece, endomembrane system, brush border membrane, filopodium, cell periphery, membrane, microvillus membrane, membrane raft, microvillus, plasma membrane, ruffle, extracellular vesicular exosome, apical plasma membrane, cytoplasm, actin cytoskeleton, centrosome";6,94348007221219e-05
"54";54;"O14773";"O14773-1,O14773-2";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";2;10;7,77802897510091e-05;2;2;2;2;2;2;3;3;NA;NA;NA;NA;"lysosome, lysosomal lumen, extracellular vesicular exosome, mitochondrion, melanosome";0,000231449335740406
"57";57;"O14818";"O14818-1";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";8;39;0,00137727566295396;7;8;5;6;13;12;6;8;NA;NA;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, proteasome core complex, nucleoplasm, cytosol";0,000902652409387585
"58";58;"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";2;9;0,000113577155091747;2;2;2;2;2;2;2;3;NA;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane";0,000208304402166366
"59";59;"O14920";"O14920-1,O14920-2,O14920-4";"O14920-1,O14920-2,O14920-4";"IKKB_HUMAN";"Inhibitor of nuclear factor kappa-B kinase subunit beta";"IKBKB";2;2;7,72315751848644e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"nucleus, cytoplasm, cytosol, CD40 receptor complex, IkappaB kinase complex, cytoplasmic side of plasma membrane, membrane raft";4,62898671480813e-05
"63";63;"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";7;31;0,00079154483791508;7;7;6;6;8;8;7;8;0,00111485270709498;0,00112611923369651;0,000898626170433591;0,00102606030938371;"stress fiber, cytosol, Z disc, myosin II complex, extracellular vesicular exosome, apical part of cell";0,00071749294079526
"64";64;"O14964";"O14964-1,O14964-2";"O14964-1,O14964-2";"HGS_HUMAN";"Hepatocyte growth factor-regulated tyrosine kinase substrate";"HGS";1;1;5,63581764862524e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"cytosol, early endosome, secretory granule, multivesicular body membrane, early endosome membrane, cytoplasm, endosome, extracellular vesicular exosome, intracellular membrane-bounded organelle";2,31449335740406e-05
"66";66;"O14975";"O14975-1,O14975-2";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;7,0629521177126e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"mitochondrion, endoplasmic reticulum lumen, peroxisomal membrane, endoplasmic reticulum membrane, integral component of peroxisomal membrane, extracellular vesicular exosome, integral component of endoplasmic reticulum membrane";2,31449335740406e-05
"70";70;"O15067";"O15067";"O15067";"PUR4_HUMAN";"Phosphoribosylformylglycinamidine synthase";"PFAS";23;72;0,000471285773594455;17;17;14;14;18;19;16;19;0,000643040042377094;0,000685623976644262;0,000526549265784705;0,00062470431953042;"cytosol, extracellular vesicular exosome";0,00166643521733093
"73";73;"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";2;7;0,000186341715446035;1;2;1;1;2;2;2;1;0,000290573311955607;0,000293509800271964;0,000267675880554687;0,000133715306276068;"nucleus, Golgi apparatus, recycling endosome membrane, extracellular vesicular exosome, trans-Golgi network membrane, integral component of membrane, transport vesicle, intracellular membrane-bounded organelle";0,000162014535018284
"74";74;"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";9;32;0,000753381559222678;9;7;6;7;9;8;7;8;0,0011564349149201;0,00103833036870404;0,000828571979727746;0,000946071736877987;"Arp2/3 protein complex, actin cytoskeleton, cytoplasm, extracellular vesicular exosome";0,000740637874369301
"75";75;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";13;51;0,00148887030641382;10;9;11;9;14;12;14;11;0,00223063445811254;0,00193129448578952;0,00205485850972481;0,00161305231137697;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton";0,00118039161227607
"76";76;"O15145";"O15145";"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";5;17;0,000836443992367313;4;4;4;3;5;4;4;4;0,00134267724204206;0,00108499690212894;0,00098949847980328;0,000988591814939919;"extracellular vesicular exosome, cytosol, Arp2/3 protein complex, actin cytoskeleton, lamellipodium";0,000393463870758691
"83";83;"O15294";"O15294-1,O15294-2,O15294-3,O15294-4";"O15294-1,O15294-2,O15294-3,O15294-4";"OGT1_HUMAN";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";1;1;2,09322672704676e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"microtubule organizing center, nucleoplasm, cytoplasm, histone acetyltransferase complex, MLL5-L complex, mitochondrion, plasma membrane, nucleus, cytosol";2,31449335740406e-05
"88";88;"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";10;32;0,000796187329633057;8;7;6;6;9;7;8;8;0,00122214144417692;0,000960160610832859;0,00100074278071014;0,000999825812836964;"eukaryotic 43S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex";0,000740637874369301
"90";90;"O15400";"O15400-1,O15400-2";"O15400-1,O15400-2";"STX7_HUMAN";"Syntaxin-7";"STX7";2;4;6,71115756778822e-05;2;NA;1;1;2;NA;1;1;NA;NA;NA;NA;"early endosome membrane, perinuclear region of cytoplasm, lysosomal membrane, intracellular membrane-bounded organelle, SNARE complex, integral component of membrane, extracellular vesicular exosome";9,25797342961626e-05
"91";91;"O15511";"O15511-1";"O15511-1";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";4;15;0,000870006022446718;4;2;3;3;4;3;4;4;NA;NA;NA;NA;"cell projection, extracellular vesicular exosome, cytoplasm, cytosol, actin cytoskeleton, Arp2/3 protein complex";0,00034717400361061
"94";94;"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";15;52;0,000854444939118403;9;11;13;14;10;13;14;15;0,000896797557536535;0,00117761858889605;0,0011565807747044;0,00123805822977935;"extracellular vesicular exosome, cytosol";0,00120353654585011
"96";96;"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";11;39;0,000639633641222063;9;7;7;7;11;11;9;8;0,00098462997749751;0,000994580493618199;0,00074212385985246;0,000659061209959946;"cytoplasm, extracellular vesicular exosome, proteasome accessory complex, proteasome complex, nucleus, nucleoplasm, cytosol";0,000902652409387585
"107";107;"O43464";"O43464-1,O43464-2,O43464-3";"O43464-1,O43464-2,O43464-3";"HTRA2_HUMAN";"Serine protease HTRA2, mitochondrial";"HTRA2";1;1;6,37413437115257e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endoplasmic reticulum, endoplasmic reticulum membrane, CD40 receptor complex, cytosol, nucleus, cytoplasmic side of plasma membrane, mitochondrion, mitochondrial membrane, mitochondrial intermembrane space";2,31449335740406e-05
"108";108;"O43488";"O43488";"O43488";"ARK72_HUMAN";"Aflatoxin B1 aldehyde reductase member 2";"AKR7A2";4;9;0,000219561408450342;2;1;2;4;2;1;2;4;0,000266291419591628;0,000134491259456095;0,000245307422569615;0,000490165301000851;"extracellular vesicular exosome, Golgi apparatus";0,000208304402166366
"109";109;"O43491";"O43491-1";"O43491-1";"E41L2_HUMAN";"Band 4.1-like protein 2";"EPB41L2";5;7;0,000122002834590538;4;1;1;1;4;1;1;1;NA;NA;NA;NA;"extracellular vesicular exosome, extrinsic component of membrane, plasma membrane, spectrin";0,000162014535018284
"110";110;"O43493";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5,O43493-6";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5,O43493-6";"TGON2_HUMAN";"Trans-Golgi network integral membrane protein 2";"TGOLN2";1;1;3,04099327290404e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"plasma membrane, Golgi apparatus, transport vesicle, nucleus, integral component of membrane, trans-Golgi network";2,31449335740406e-05
"113";113;"O43665";"O43665-3";"O43665-3";"RGS10_HUMAN";"Regulator of G-protein signaling 10";"RGS10";1;3;0,000151873883687231;1;NA;1;1;1;NA;1;1;NA;NA;NA;NA;"dendritic spine, cytoplasm, neuronal cell body, nucleus, axon terminus, plasma membrane";6,94348007221219e-05
"117";117;"O43681";"O43681";"O43681";"ASNA_HUMAN";"ATPase ASNA1";"ASNA1";7;28;0,000704671544617763;4;4;5;6;7;7;7;7;0,000961480369876095;0,000971196939693006;0,000885714874881384;0,000884903305614324;"endoplasmic reticulum, extracellular vesicular exosome, cytoplasm, nucleolus, nucleus";0,000648058140073138
"119";119;"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";24;96;0,00124211153148176;20;20;21;20;24;24;25;23;0,00167900978499925;0,00175654822292288;0,00158016465416529;0,00150970289700773;"cytoplasm, neuron projection, extracellular region, ribonucleoprotein complex, extracellular vesicular exosome, perinuclear region of cytoplasm, stress fiber, Z disc, cell-cell junction, cortical cytoskeleton, platelet alpha granule lumen, protein complex, pseudopodium, nucleus";0,0022219136231079
"122";122;"O43760";"O43760";"O43760";"SNG2_HUMAN";"Synaptogyrin-2";"SYNGR2";1;1;3,90984849373376e-05;NA;1;NA;NA;NA;1;NA;NA;NA;0,000215546259574723;NA;NA;"integral component of membrane, synaptic vesicle, extracellular vesicular exosome";2,31449335740406e-05
"125";125;"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";15;57;0,000910966159999866;12;12;14;13;13;15;15;14;0,00113392523287786;0,00132159750396181;0,00120527415195016;0,00112389178961235;"cytoplasm, mitochondrion, cytosol, extracellular vesicular exosome";0,00131926121372032
"127";127;"O43813";"O43813";"O43813";"LANC1_HUMAN";"LanC-like protein 1";"LANCL1";1;3;6,58500798944634e-05;NA;NA;1;1;NA;NA;1;2;NA;NA;0,000110357599877809;0,0002205129612272;"cytoplasm, integral component of plasma membrane, nucleus";6,94348007221219e-05
"130";130;"O43847";"O43847-1,O43847-2";"O43847-1,O43847-2";"NRDC_HUMAN";"Nardilysin";"NRD1";4;5;1,90392622303557e-05;3;2;NA;NA;3;2;NA;NA;NA;NA;NA;NA;"cell surface, cytosol";0,000115724667870203
"131";131;"O43852";"O43852-1,O43852-3";"O43852-1,O43852-3";"CALU_HUMAN";"Calumenin";"CALU";8;23;0,000319738721265339;6;5;5;3;7;5;6;5;NA;NA;NA;NA;"extracellular region, melanosome, endoplasmic reticulum, Golgi apparatus, sarcoplasmic reticulum lumen";0,000532333472202935
"132";132;"O43865";"O43865-1,O43865-2,Q96HN2-1,Q96HN2-2,Q96HN2-3";"O43865-1,O43865-2,Q96HN2-1,Q96HN2-2,Q96HN2-3";"SAHH2_HUMAN, SAHH3_HUMAN";"Putative adenosylhomocysteinase 2, Putative adenosylhomocysteinase 3";"AHCYL1, AHCYL2";1;2;6,36918410945411e-06;1;1;0;0;1;1;0;0;NA;NA;NA;NA;"endoplasmic reticulum, extracellular vesicular exosome";4,62898671480813e-05
"140";140;"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";9;26;0,000178753469747859;6;5;6;7;6;5;7;8;NA;NA;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, cytoplasm, neuronal cell body, mitochondrial outer membrane, integral component of membrane, peroxisomal membrane";0,000601768272925057
"141";141;"O60493";"O60493-1";"O60493-1";"SNX3_HUMAN";"Sorting nexin-3";"SNX3";2;2;0,00010812420525881;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, cytosol, intracellular membrane-bounded organelle, early endosome, endosome membrane, cytoplasm";4,62898671480813e-05
"143";143;"O60547";"O60547";"O60547";"GMDS_HUMAN";"GDP-mannose 4,6 dehydratase";"GMDS";4;5;0,000117715868628543;NA;2;2;1;NA;2;2;1;NA;0,000259582592176011;0,000236734851350785;0,000118258967109748;"extracellular vesicular exosome, cytoplasm";0,000115724667870203
"147";147;"O60711";"O60711-1,O60711-2";"O60711-1,O60711-2";"LPXN_HUMAN";"Leupaxin";"LPXN";3;8;9,07571049322656e-05;1;2;2;3;1;2;2;3;NA;NA;NA;NA;"podosome, plasma membrane, cytoplasm, nucleus, perinuclear region of cytoplasm, focal adhesion, cell projection";0,000185159468592325
"154";154;"O60884";"O60884";"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";6;12;0,000255089144445543;4;2;4;1;4;2;4;2;0,000464070969094149;0,000234380398760864;0,000427501770400446;0,000213555027984594;"membrane, extracellular vesicular exosome";0,000277739202888488
"155";155;"O60888";"O60888-1,O60888-2,O60888-3";"O60888-1,O60888-2,O60888-3";"CUTA_HUMAN";"Protein CutA";"CUTA";2;8;0,000130473901317894;NA;2;2;2;NA;2;3;3;NA;NA;NA;NA;"extracellular vesicular exosome, membrane";0,000185159468592325
"160";160;"O75083";"O75083-1";"O75083-1";"WDR1_HUMAN";"WD repeat-containing protein 1";"WDR1";15;44;0,000635898791324092;9;11;10;10;10;12;12;10;NA;NA;NA;NA;"cytosol, extracellular vesicular exosome, podosome, cell projection, cell junction, extracellular region, cytoplasm";0,00101837707725779
"161";161;"O75122";"O75122-1";"O75122-1";"CLAP2_HUMAN";"CLIP-associating protein 2";"CLASP2";2;5;3,3841037967402e-05;2;1;1;1;2;1;1;1;NA;NA;NA;NA;"microtubule, Golgi apparatus, cytoplasm, cytoplasmic microtubule, condensed chromosome kinetochore, plasma membrane, microtubule organizing center, kinetochore microtubule, ruffle membrane, cytosol, trans-Golgi network, cell cortex";0,000115724667870203
"162";162;"O75131";"O75131";"O75131";"CPNE3_HUMAN";"Copine-3";"CPNE3";11;32;0,000521895605271576;7;7;7;8;8;7;8;9;0,000712094000993628;0,000629379022370887;0,000655980370223403;0,000737301716728934;"cytosol, cytoplasm, extracellular vesicular exosome";0,000740637874369301
"164";164;"O75223";"O75223-1";"O75223-1";"GGCT_HUMAN";"Gamma-glutamylcyclotransferase";"GGCT";4;16;0,000745366861784139;3;3;4;4;4;4;4;4;NA;NA;NA;NA;"cytosol, extracellular vesicular exosome";0,00037031893718465
"166";166;"O75323";"O75323-1";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";6;17;0,000556486369650691;4;4;4;5;4;4;4;5;NA;NA;NA;NA;"integral component of plasma membrane, mitochondrion, membrane";0,000393463870758691
"167";167;"O75340";"O75340";"O75340";"PDCD6_HUMAN";"Programmed cell death protein 6";"PDCD6";5;18;0,000825366969986101;3;4;5;4;3;4;7;4;0,000750774499738701;0,00101114894543954;0,00161376322753257;0,000921305461043485;"extracellular vesicular exosome, cytoplasm, endoplasmic reticulum membrane, nucleus, cytoplasmic vesicle, endosome, nuclear membrane, endoplasmic reticulum";0,000416608804332732
"169";169;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";5;12;0,000890650233148844;4;2;2;2;5;3;2;2;0,00202539448375836;0,00122751768164588;0,000746316650021118;0,000745632809573329;"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane";0,000277739202888488
"170";170;"O75351";"O75351";"O75351";"VPS4B_HUMAN";"Vacuolar protein sorting-associated protein 4B";"VPS4B";1;3;0,000145826781658178;0;1;1;1;0;1;1;1;0;0,00021748811776909;0,000495863539991508;0,000214677314167696;"lysosome, endosome, late endosome, early endosome, late endosome membrane, cytosol, extracellular vesicular exosome, nucleus, cytoplasm, vacuolar membrane, endosome membrane";6,94348007221219e-05
"172";172;"O75368";"O75368";"O75368";"SH3L1_HUMAN";"SH3 domain-binding glutamic acid-rich-like protein";"SH3BGRL";8;33;0,00253522807593684;7;6;6;7;8;8;9;8;0,0033543375309963;0,00338823593998162;0,003476264396151;0,0030871814571808;"cytoplasm, extracellular vesicular exosome, extracellular space, nucleus";0,000763782807943341
