"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";14;23;0,000467097060248856;11;10;12;11;0,00048797746348211;0,000446420622416376;"integral component of plasma membrane, membrane, extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane";0,00109040914047314
"6";6;"A6NJW9";"A6NJW9,P10966-1,P10966-2,P10966-3,P10966-4,P10966-6,P10966-7,P10966-8,P10966-9";"CD8B_HUMAN, CD8BL_HUMAN";"Putative T-cell surface glycoprotein CD8 beta-2 chain, T-cell surface glycoprotein CD8 beta chain";"CD8B, CD8BP";1;2;1,97823278453635e-05;1;1;1;1;1,98055369234542e-05;1,97660397695054e-05;"integral component of membrane, plasma membrane";9,48181861280994e-05
"8";8;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";14;30;0,000551204056319975;11;14;15;15;0,000551850741487013;0,000550750214206308;"plasma membrane, myosin complex, extracellular vesicular exosome, membrane";0,00142227279192149
"14";14;"O00161";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";3;6;0,000265936364613145;3;2;3;3;0,0002662483672198;0,000265717401925129;"plasma membrane, cell junction, extracellular vesicular exosome, nucleus, synapse, azurophil granule, neuron projection, specific granule";0,000284454558384298
"17";17;"O00186";"O00186";"STXB3_HUMAN";"Syntaxin-binding protein 3";"STXBP3";6;12;0,000379139006306578;4;6;5;7;0,000316319850694695;0,000441964642616459;"apical plasma membrane, specific granule, platelet alpha granule, cytosol, basolateral plasma membrane, tertiary granule, plasma membrane, extracellular vesicular exosome";0,000568909116768596
"20";20;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";2;4;0,000310443003780766;2;2;2;2;0,000310807222591302;0,000310187395884936;"brush border, blood microparticle, plasma membrane, cytoplasm, chloride channel complex, nuclear envelope, mitochondrion, vesicle, nucleus, extracellular vesicular exosome, perinuclear region of cytoplasm, extracellular space, nuclear membrane, membrane";0,000189636372256199
"21";21;"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";5;7;0,000238486952357993;3;4;3;4;0,000204657214875694;0,000272332103490964;"endoplasmic reticulum membrane, Golgi membrane, membrane, integral component of plasma membrane";0,000331863651448348
"26";26;"O00559";"O00559";"RCAS1_HUMAN";"Receptor-binding cancer antigen expressed on SiSo cells";"EBAG9";2;5;0,000439065515910591;2;2;2;3;0,000351664510068093;0,000526444805692039;"secretory granule, plasma membrane, focal adhesion, Golgi apparatus, integral component of membrane, Golgi membrane";0,000237045465320248
"27";27;"O00560";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";3;6;0,000125531483072424;3;2;4;2;0,000167571679294192;8,36187498973933e-05;"adherens junction, blood microparticle, nucleus, focal adhesion, endoplasmic reticulum membrane, melanosome, interleukin-5 receptor complex, extracellular space, cytoplasm, extracellular vesicular exosome, plasma membrane, cytosol, membrane, cytoskeleton";0,000284454558384298
"35";35;"O14641";"O14641,Q92997";"DVL2_HUMAN, DVL3_HUMAN";"Segment polarity protein dishevelled homolog DVL-2, Segment polarity protein dishevelled homolog DVL-3";"DVL2, DVL3";1;2;2,57633484542578e-05;1;1;1;1;2,57935746021019e-05;2,57421358155198e-05;"cytosol, clathrin-coated endocytic vesicle, cytoplasmic vesicle, apical part of cell, cell cortex, cytoplasm, clathrin-coated vesicle, nucleus, plasma membrane";9,48181861280994e-05
"39";39;"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";20;45;0,00112525213101685;20;19;24;21;0,0012016771226391;0,00104937059530325;"cytoplasm, nucleus, plasma membrane, postsynaptic density, membrane, integral component of membrane, extracellular vesicular exosome, Golgi-associated vesicle, cell surface, tetraspanin-enriched microdomain, Golgi apparatus, perinuclear endoplasmic reticulum";0,00213340918788224
"42";42;"O14735";"O14735-1";"CDIPT_HUMAN";"CDP-diacylglycerol--inositol 3-phosphatidyltransferase";"CDIPT";2;3;0,000263439309546354;1;2;1;2;0,000175832255034047;0,000350963203794693;"plasma membrane, endoplasmic reticulum membrane, Golgi membrane, integral component of membrane, membrane";0,000142227279192149
