Group;AC;ID;Entrez_ID;Gene_symbol;Descr;SP_GN;Entrez_GN;Non_spec_binder;Group_size;Specific_reporter;Pc_P4569-1.merged;Pc_P4569-2.merged;Pc_grp0;Pc_mean_grp0;Pc_sd_grp0;Pc_CV_grp0;Sc_P4569-1.merged;Sc_P4569-2.merged;Sc_grp0;Sc_mean_grp0;Sc_sd_grp0;Sc_CV_grp0;Seqcov_P4569-1.merged;Seqcov_P4569-2.merged;Seqcov_grp0;Seqcov_mean_grp0;Seqcov_sd_grp0;Seqcov_CV_grp0;Glob_pc;Glob_sc;Glob_seqcov
Q9UPN3-1;Q9UPN3-1;MACF1_HUMAN;23499;MACF1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5;MACF1,ACF7,ABP620,KIAA1251,KIAA0465;NA;0;1;1;265;259;297;262;4.24;0.02;372;370;742;371;1.41;0;0.43;0.41;0.46;0.42;0.01;0.03;297;742;0.46
Q9UPN3-3;Q9UPN3-3;MACF1_HUMAN;23499;MACF1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5;MACF1,ACF7,ABP620,KIAA1251,KIAA0465;NA;0;2;1;218;215;246;216.5;2.12;0.01;319;317;636;318;1.41;0;0.48;0.47;0.53;0.48;0.01;0.03;246;636;0.53
Q9UPN3-2;Q9UPN3-2;MACF1_HUMAN;23499;MACF1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5;MACF1,ACF7,ABP620,KIAA1251,KIAA0465;NA;0;1;1;218;215;246;216.5;2.12;0.01;319;317;636;318;1.41;0;0.48;0.46;0.52;0.47;0.01;0.03;246;636;0.52
P78527-1;P78527-1;PRKDC_HUMAN;5591;PRKDC;DNA-dependent protein kinase catalytic subunit;PRKDC,HYRC1,HYRC;NA;0;2;1;228;216;236;222;8.49;0.04;914;880;1794;897;24.04;0.03;0.56;0.51;0.57;0.54;0.03;0.07;236;1794;0.57
Q09666;Q09666;AHNK_HUMAN;79026;AHNAK;Neuroblast differentiation-associated protein AHNAK;AHNAK,PM227;NA;0;1;1;213;214;233;213.5;0.71;0;321;333;654;327;8.49;0.03;0.62;0.62;0.65;0.62;0;0;233;654;0.65
Q9UPN3-5;Q9UPN3-5;MACF1_HUMAN;23499;MACF1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5;MACF1,ACF7,ABP620,KIAA1251,KIAA0465;NA;0;1;1;205;196;229;200.5;6.36;0.03;277;267;544;272;7.07;0.03;0.42;0.39;0.45;0.41;0.02;0.05;229;544;0.45
Q14204;Q14204;DYHC1_HUMAN;1778;DYNC1H1;Cytoplasmic dynein 1 heavy chain 1;DYNC1H1,DHC1,DNCL,DYHC,DNCH1,DNECL,KIAA0325;NA;0;1;1;211;205;224;208;4.24;0.02;426;414;840;420;8.49;0.02;0.49;0.46;0.51;0.48;0.02;0.04;224;840;0.51
Q9NU22;Q9NU22;MDN1_HUMAN;23195;MDN1;Midasin;MDN1,KIAA0301;NA;0;1;1;155;149;169;152;4.24;0.03;229;213;442;221;11.31;0.05;0.33;0.32;0.36;0.33;0.01;0.03;169;442;0.36
Q7Z6Z7-2;Q7Z6Z7-2;HUWE1_HUMAN;10075;HUWE1;E3 ubiquitin-protein ligase HUWE1;HUWE1,KIAA1578,KIAA0312,UREB1;NA;0;3;1;155;138;161;146.5;12.02;0.08;322;320;642;321;1.41;0;0.44;0.38;0.44;0.41;0.04;0.1;161;642;0.44
Q15149-1;Q15149-1;PLEC_HUMAN;5339;PLEC;Plectin;PLEC,PLEC1;NA;0;5;1;141;138;160;139.5;2.12;0.02;194;182;376;188;8.49;0.05;0.35;0.33;0.38;0.34;0.01;0.03;160;376;0.38
Q15149-6;Q15149-6;PLEC_HUMAN;5339;PLEC;Plectin;PLEC,PLEC1;NA;0;1;1;139;137;158;138;1.41;0.01;185;173;358;179;8.49;0.05;0.36;0.34;0.4;0.35;0.01;0.03;158;358;0.4
Q15149-2;Q15149-2;PLEC_HUMAN;5339;PLEC;Plectin;PLEC,PLEC1;NA;0;2;1;139;137;158;138;1.41;0.01;185;173;358;179;8.49;0.05;0.35;0.34;0.39;0.35;0.01;0.03;158;358;0.39
Q15149-8;Q15149-8;PLEC_HUMAN;5339;PLEC;Plectin;PLEC,PLEC1;NA;0;1;1;139;137;158;138;1.41;0.01;185;173;358;179;8.49;0.05;0.36;0.34;0.4;0.35;0.01;0.03;158;358;0.4
Q13813-1;Q13813-1;SPTN1_HUMAN;6709;SPTAN1;Spectrin alpha chain, non-erythrocytic 1;SPTAN1,SPTA2,NEAS;NA;0;3;1;145;133;153;139;8.49;0.06;265;243;508;254;15.56;0.06;0.61;0.56;0.64;0.59;0.04;0.07;153;508;0.64
P46013-1;P46013-1;KI67_HUMAN;4288;MKI67;Antigen KI-67;MKI67;NA;0;1;1;143;139;151;141;2.83;0.02;302;300;602;301;1.41;0;0.54;0.53;0.56;0.53;0.01;0.01;151;602;0.56
P49792;P49792;RBP2_HUMAN;5903;RANBP2;E3 SUMO-protein ligase RanBP2;RANBP2,NUP358;NA;0;2;1;140;147;151;143.5;4.95;0.03;252;244;496;248;5.66;0.02;0.54;0.56;0.58;0.55;0.02;0.03;151;496;0.58
Q63HN8-3;Q63HN8-3;RN213_HUMAN;57674;RNF213;E3 ubiquitin-protein ligase RNF213;RNF213,ALO17,C17orf27,KIAA1618,MYSTR,KIAA1554;NA;0;4;1;132;123;147;127.5;6.36;0.05;164;154;318;159;7.07;0.04;0.29;0.27;0.32;0.28;0.02;0.06;147;318;0.32
Q5T4S7-1;Q5T4S7-1;UBR4_HUMAN;23352;UBR4;E3 ubiquitin-protein ligase UBR4;UBR4,ZUBR1,KIAA1307,RBAF600,KIAA0462;NA;0;6;2;131;125;145;128;4.24;0.03;206;198;404;202;5.66;0.03;0.3;0.28;0.33;0.29;0.02;0.06;145;404;0.33
Q01082-1;Q01082-1;SPTB2_HUMAN;6711;SPTBN1;Spectrin beta chain, non-erythrocytic 1;SPTBN1,SPTB2;NA;0;2;1;131;135;141;133;2.83;0.02;289;298;587;293.5;6.36;0.02;0.64;0.65;0.66;0.64;0;0;141;587;0.66
P46013-2;P46013-2;KI67_HUMAN;4288;MKI67;Antigen KI-67;MKI67;NA;0;1;1;134;130;140;132;2.83;0.02;284;283;567;283.5;0.71;0;0.56;0.55;0.58;0.56;0.01;0.02;140;567;0.58
Q9Y490;Q9Y490;TLN1_HUMAN;7094;TLN1;Talin-1;TLN1,KIAA1027,TLN;NA;0;1;1;129;125;134;127;2.83;0.02;341;333;674;337;5.66;0.02;0.64;0.6;0.65;0.62;0.03;0.04;134;674;0.65
O75369-8;O75369-8;FLNB_HUMAN;2317;FLNB;Filamin-B;FLNB,TAP,FLN1L,TABP,FLN3;NA;0;1;1;124;121;130;122.5;2.12;0.02;329;328;657;328.5;0.71;0;0.6;0.6;0.63;0.6;0;0.01;130;657;0.63
P35579-1;P35579-1;MYH9_HUMAN;4627;MYH9;Myosin-9;MYH9;NA;0;2;1;124;124;130;124;0;0;576;591;1167;583.5;10.61;0.02;0.6;0.59;0.61;0.59;0.01;0.01;130;1167;0.61
Q92616;Q92616;GCN1L_HUMAN;10985;GCN1L1;Translational activator GCN1;GCN1L1,KIAA0219;NA;0;1;1;122;121;130;121.5;0.71;0.01;238;240;478;239;1.41;0.01;0.5;0.48;0.51;0.49;0.01;0.02;130;478;0.51
