"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5574";"Spectra.Count.P5574";"DNSAF.P5574";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"9";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";"25";"58";"7.53241883199906E-4";"25";"58";"0";"0";"leucine import;cell growth;blood coagulation;leukocyte migration;tryptophan transport;carbohydrate metabolic process";"integral to membrane;plasma membrane;cell surface;melanosome;apical plasma membrane";"cation binding;neutral amino acid transmembrane transporter activity;catalytic activity;calcium:sodium antiporter activity"
"44";"Q00325-1,Q00325-2";"Q00325";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";"15";"40";"0.00180812492442728";"15";"40";"0";"0";"generation of precursor metabolites and energy";"integral to plasma membrane;mitochondrial inner membrane";"phosphate ion carrier activity;symporter activity"
"96";"O14975-1,O14975-2";"O14975";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";"10";"19";"5.01463033476244E-4";"10";"19";"0";"0";"very long-chain fatty acid catabolic process;bile acid biosynthetic process;long-chain fatty acid import;methyl-branched fatty acid metabolic process;fatty acid beta-oxidation;fatty acid alpha-oxidation";"integral to endoplasmic reticulum membrane;endoplasmic reticulum lumen;mitochondrion;integral to peroxisomal membrane";"long-chain fatty acid-CoA ligase activity;phytanate-CoA ligase activity;very long-chain fatty acid-CoA ligase activity;fatty acid transporter activity;ATP binding;pristanate-CoA ligase activity"
"107";"Q02978";"Q02978";"M2OM_HUMAN";"Mitochondrial 2-oxoglutarate/malate carrier protein";"SLC25A11";"10";"20";"0.00208452618676012";"10";"20";"0.00276475288731944";"0";"small molecule metabolic process;gluconeogenesis";"integral to plasma membrane;mitochondrial inner membrane";"oxoglutarate:malate antiporter activity"
"109";"Q15758-1";"Q15758";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";"10";"18";"0.00108888558295455";"10";"18";"0";"0";"response to virus";"integral to plasma membrane;Golgi apparatus;melanosome";"sodium:dicarboxylate symporter activity;virus receptor activity;receptor activity;L-glutamine transmembrane transporter activity"
"157";"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";"8";"18";"0.00129185767626844";"8";"18";"0.00171341922358876";"0";"uridine transport;nucleobase-containing compound metabolic process;lactation;sleep;cellular response to glucose stimulus;regulation of excitatory postsynaptic membrane potential;cellular response to hypoxia;nucleoside transport";"apical plasma membrane;integral to plasma membrane;basolateral plasma membrane";"nucleoside transmembrane transporter activity"
"205";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";"6";"13";"9.14950096167183E-4";"6";"13";"0.00121351841785354";"0";"pyruvate metabolic process;blood coagulation;leukocyte migration";"nuclear membrane;integral to plasma membrane;actin cytoskeleton";"monocarboxylic acid transmembrane transporter activity;secondary active monocarboxylate transmembrane transporter activity;symporter activity"
"247";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";"5";"21";"0.00732939406761067";"5";"21";"0.00972113640952809";"50";"viral process;modulation by virus of host morphology or physiology;regulation of insulin secretion;energy reserve metabolic process;negative regulation of mitochondrial outer membrane permeabilization;positive regulation of cell proliferation;chromosome segregation;small molecule metabolic process";"mitochondrial inner membrane;integral to plasma membrane;MMXD complex;mitochondrial nucleoid";"adenine transmembrane transporter activity"
"260";"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";"5";"8";"8.41853662562929E-4";"5";"8";"0.00111656901172772";"0";"long-chain fatty-acyl-CoA biosynthetic process;mitochondrial citrate transport;gluconeogenesis;triglyceride biosynthetic process;small molecule metabolic process";"mitochondrial inner membrane;integral to membrane";"citrate transmembrane transporter activity"
"269";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";"5";"13";"9.59034758450809E-4";"5";"13";"0.00127198887416601";"2";"blood coagulation;cellular amino acid metabolic process;nervous system development;cell differentiation;leukocyte migration";"apical plasma membrane;plasma membrane;cytosol;integral to membrane";"peptide antigen binding;L-amino acid transmembrane transporter activity;neutral amino acid transmembrane transporter activity"
