"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6287.1.id.csv";"peptide.count.P6287.2.id.csv";"spectra.count.P6287.1.id.csv";"spectra.count.P6287.2.id.csv";"dNSAF.P6287.1.id.csv";"dNSAF.P6287.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"1";"A6NIZ1";1;1;"A6NIZ1,P61224-1,P61224-2,P61224-3,P61224-4,P62834";"RAP1A_HUMAN, RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1A, Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1A, RAP1B";1;1;6,04399418732911e-05;1;NA;1;NA;0,000454047123874575;NA;"plasma membrane, cytosol";0,000191644308164048;"GTP binding"
"2";"O00182";4;4;"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";2;3;0,000281939559837099;2;1;2;1;NA;NA;"cytoplasm, extracellular region";0,000574932924492143;"galactose binding, signal transducer activity, carbohydrate binding"
"3";"O00299";5;5;"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";5;5;0,00138435053585297;NA;5;NA;5;NA;0,00411618114587637;"nucleus, extracellular space, extracellular vesicular exosome, nuclear envelope, cytoplasm, perinuclear region of cytoplasm, nuclear membrane, plasma membrane, brush border, blood microparticle, mitochondrion, chloride channel complex";0,000958221540820238;"protein binding, voltage-gated chloride channel activity, chloride channel activity"
"4";"O00571";9;9;"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";3;4;0,00013452761255668;2;2;2;2;0,00050633133813892;0,000601211912821943;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasmic stress granule, nucleus, nuclear speck, cytoplasm";0,00076657723265619;"ATP-dependent DNA helicase activity, ribosomal small subunit binding, DNA binding, poly(A) RNA binding, mRNA 5'-UTR binding, ATP-dependent RNA helicase activity, protein binding, transcription factor binding, ATPase activity, RNA binding, poly(A) binding, eukaryotic initiation factor 4E binding, RNA stem-loop binding, translation initiation factor binding, ATP binding"
"5";"O00592";10;10;"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;5;0,000298950250125956;2;3;2;3;NA;NA;"lamellipodium, ruffle, plasma membrane, extracellular vesicular exosome, slit diaphragm, cell body, microvillus membrane, filopodium, integral component of plasma membrane, membrane raft, apical plasma membrane, cytoplasm";0,000958221540820238;"protein binding"
"6";"O14672";11;11;"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";11;19;0,00169490403841464;10;6;12;7;0,00268057767250017;0,00185668384842071;"extracellular vesicular exosome, tetraspanin-enriched microdomain, Golgi-associated vesicle, postsynaptic density, plasma membrane, cytoplasm, nucleus, cell surface, integral component of membrane, perinuclear endoplasmic reticulum, Golgi apparatus";0,0036412418551169;"metalloendopeptidase activity, integrin binding, protein binding, protein kinase binding, protein homodimerization activity, zinc ion binding, receptor binding, metallopeptidase activity, endopeptidase activity"
"7";"O14773";12;12;"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";1;1;5,92590549095145e-05;NA;1;NA;1;NA;NA;"lysosomal lumen, lysosome, melanosome, extracellular vesicular exosome, mitochondrion";0,000191644308164048;"serine-type peptidase activity, peptidase activity, peptide binding, protein binding, metal ion binding, tripeptidyl-peptidase activity, endopeptidase activity, serine-type endopeptidase activity"
"8";"O14818";14;14;"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";5;11;0,00147980373812348;5;4;6;5;NA;NA;"nucleoplasm, proteasome core complex, alpha-subunit complex, proteasome core complex, extracellular vesicular exosome, nucleus, cytosol, proteasome complex";0,00210808738980452;"protein binding, threonine-type endopeptidase activity, identical protein binding"
"9";"O15031";17;17;"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";11;12;0,000435641104427291;4;8;4;8;0,000363632952308691;0,000863547034738808;"extracellular vesicular exosome, integral component of plasma membrane, intracellular";0,00229973169796857;"GTPase activator activity, protein binding, semaphorin receptor activity"
"10";"O15145";18;18;"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";2;2;0,000749726919417004;NA;2;NA;2;NA;0,00222921271046338;"actin cytoskeleton, extracellular vesicular exosome, cytosol, lamellipodium, Arp2/3 protein complex";0,000383288616328095;"structural constituent of cytoskeleton, protein binding"
