"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5455-1.id.csv";"peptide.count.P5455-2.id.csv";"spectra.count.P5455-1.id.csv";"spectra.count.P5455-2.id.csv";"dNSAF.P5455-1.id.csv";"dNSAF.P5455-2.id.csv"
"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575-[1,2]";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";51;242;0,0139974305226987;48;50;124;118;NA;NA
"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";35;67;0,0085796595287372;30;29;34;33;0,0128913538862348;0,0125497519643397
"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-[1-4]";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";31;117;0,00700367302894891;29;30;57;60;NA;NA
"Q96RQ3";"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";31;96;0,0199744011690341;29;27;52;44;0,0320354066391561;0,0271882442556179
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";23;52;0,0141797634817046;21;20;26;26;0,021037744396185;0,0210062454582302
"P18433-1,P18433-2,P18433-3,P18433-4";"P18433-1,P18433-2,P18433-3,P18433-4";"P18433-[1-4]";"PTPRA_HUMAN";"Receptor-type tyrosine-protein phosphatase alpha";"PTPRA";26;59;0,00277433048240543;23;23;30;29;NA;NA
"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";22;44;0,00873332507253548;17;21;19;25;0,0111661874102828;0,0147364511702474
"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"P20701-[1-3]";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";22;43;0,00184799963332336;19;20;20;23;NA;NA
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";22;42;0,0101695511569872;19;20;21;21;0,0150555335868981;0,0151007229969277
"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;34;0,00287374507261297;18;15;18;16;0,00448924091519301;0,00403426316979195
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";20;35;0,0092141221215867;18;15;19;16;0,0148103009281238;0,0125092667525451
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";22;52;0,0146325792129603;18;22;25;27;0,0212507187015656;0,0221401778895082
"P27487";"P27487";"P27487";"DPP4_HUMAN";"Dipeptidyl peptidase 4";"DPP4";20;40;0,0078771980241241;18;17;20;20;0,0116618145277105;0,0116968176390476
"Q9P2B2";"Q9P2B2";"Q9P2B2";"FPRP_HUMAN";"Prostaglandin F2 receptor negative regulator";"PTGFRN";17;31;0,00532002116839735;11;16;12;19;0,00609757674281654;0,00968347462563699
"P05166-1,P05166-2";"P05166-1,P05166-2";"P05166-[1,2]";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";15;27;0,00377820523040201;12;13;13;14;NA;NA
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";15;24;0,00605752301399394;13;11;13;11;0,00965423404084892;0,00830578690148367
"P15144";"P15144";"P15144";"AMPN_HUMAN";"Aminopeptidase N";"ANPEP";14;23;0,00358791299868196;10;13;10;13;0,00461889861852442;0,00602259100566885
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";14;26;0,00767774114211665;11;13;13;13;0,0108574717437491;0,0119017310066729
"P06213-1,P06213-2";"P06213-1,P06213-2";"P06213-[1,2]";"INSR_HUMAN";"Insulin receptor";"INSR";13;20;0,00126616553478938;9;11;9;11;NA;NA
"P08648";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";13;27;0,00388265513667623;11;11;14;13;0,00596097707317289;0,00555180696137443
"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";13;23;0,00336193010632312;10;12;10;13;0,00432797961638868;0,00564326114581568
"P17301";"P17301";"P17301";"ITA2_HUMAN";"Integrin alpha-2";"ITGA2";13;24;0,00306550398974381;9;13;9;15;0,00340374891422676;0,00568994219613279
"Q15758-1";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";13;34;0,00948030246489316;9;13;15;19;NA;NA
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";16;40;0,00994058267953717;14;14;21;19;0,0154523845545923;0,0140226922503046
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";16;28;0,0101289054689097;15;12;15;13;0,0160664567054429;0,0139660563608676
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";12;20;0,00424924907498525;11;9;11;9;0,00691989078947102;0,00567872259180239
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";14;23;0,00953162601572928;10;12;10;13;0,0122705356156954;0,0159995755562686
"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";10;15;0,00211272187901928;8;7;8;7;0,00333630249420214;0,00292802689918642
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";10;16;0,00281302269765924;8;8;8;8;0,00416454542108449;0,00417704536667153
"P32942";"P32942";"P32942";"ICAM3_HUMAN";"Intercellular adhesion molecule 3";"ICAM3";10;24;0,00661857442758215;9;6;14;10;0,0114315629794486;0,00818991070521977
"P43121-1";"P43121-1";"P43121-1";"MUC18_HUMAN";"Cell surface glycoprotein MUC18";"MCAM";17;32;0,00747236369842608;13;15;16;16;NA;NA
"P55060-1,P55060-3";"P55060-1,P55060-3";"P55060-[1,3]";"XPO2_HUMAN";"Exportin-2";"CSE1L";10;14;0,00108747517521507;6;8;6;8;NA;NA
"Q13740-1,Q13740-2";"Q13740-1,Q13740-2";"Q13740-[1,2]";"CD166_HUMAN";"CD166 antigen";"ALCAM";10;18;0,00232870511056224;6;9;7;11;NA;NA
"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";10;16;0,00275522086140596;7;8;8;8;0,00407897256996631;0,00409121566735636
"Q9ULF5";"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";10;15;0,00272289426285156;8;7;8;7;0,00429985556111972;0,00377366643685758
"P05362";"P05362";"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";9;15;0,00425324273013092;8;7;8;7;0,00671650370543325;0,00589458046809897
"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";9;59;0,0222501304688915;9;8;30;29;0,0334985622308483;0,0324791383792253
