"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;"3.85364871122368E-5";1;0;1;0;"0";"0";4;"integral component of plasma membrane";4,93827160493827e-05
"2";2;"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;"1.368709714676E-4";1;0;2;0;"0";"0";10;"integral component of plasma membrane";9,87654320987654e-05
"3";3;"A0FGR8";"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;"1.23582527635794E-4";1;0;2;0;"0";"0";9;"integral component of plasma membrane";9,87654320987654e-05
"8";8;"A3KMH1";"A3KMH1-1,A3KMH1-3";"VWA8_HUMAN";"von Willebrand factor A domain-containing protein 8";"VWA8";2;2;"9.63673761345917E-6";2;0;2;0;"0";"0";0;"mitochondrion, extracellular region";9,87654320987654e-05
"11";11;"A5YKK6";"A5YKK6-1";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";2;2;"1.54528494559257E-5";2;0;2;0;"0";"0";0;"CCR4-NOT complex, nucleus, peroxisomal membrane, cytoplasmic mRNA processing body, cytosol, extracellular space";9,87654320987654e-05
"14";14;"A6NCI4";"A6NCI4-1";"VWA3A_HUMAN";"von Willebrand factor A domain-containing protein 3A";"VWA3A";2;2;"3.10101100568238E-5";0;2;0;2;"0";"0";0;"extracellular region";9,87654320987654e-05
"23";23;"A8TX70";"A8TX70-1";"CO6A5_HUMAN";"Collagen alpha-5(VI) chain";"COL6A5";2;2;"1.40405240180801E-5";2;0;2;0;"0";"0";0;"collagen, extracellular region";9,87654320987654e-05
"24";24;"B0I1T2";"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;2;"4.80890246329789E-5";1;0;2;0;"0";"0";1;"myosin complex, plasma membrane, extracellular vesicular exosome";9,87654320987654e-05
"25";25;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;1;"2.40445123164895E-5";1;0;1;0;"0";"0";1;"myosin complex, plasma membrane, extracellular vesicular exosome";4,93827160493827e-05
"29";29;"O00182";"O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";5;11;"5.68838976591653E-4";5;0;11;0;"0";"0";0;"extracellular region, cytoplasm";0,00054320987654321
