"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5135"	"peptide.count.P5136"	"peptide.count.P5137"	"spectra.count.P5134"	"spectra.count.P5135"	"spectra.count.P5136"	"spectra.count.P5137"	"dNSAF.P5134"	"dNSAF.P5135"	"dNSAF.P5136"	"dNSAF.P5137"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P08575-1,P08575-2"	"P08575-[1,2]"	"PTPRC_HUMAN"	"Receptor-type tyrosine-protein phosphatase C"	"PTPRC"	50	195	0.00153809250350403	50	0	5	0	189	0	6	0	0	0	0	0	0	"B cell proliferation;T cell receptor signaling pathway;positive regulation of T cell proliferation;negative regulation of protein kinase activity;defense response to virus;positive regulation of protein kinase activity;release of sequestered calcium ion into cytosol;negative regulation of T cell mediated cytotoxicity;hematopoietic progenitor cell differentiation;positive regulation of stem cell proliferation;T cell differentiation;negative regulation of cytokine-mediated signaling pathway;bone marrow development;stem cell development;negative regulation of cell adhesion involved in substrate-bound cell migration;regulation of S phase;B cell receptor signaling pathway;positive regulation of B cell proliferation;immunoglobulin biosynthetic process;positive regulation of antigen receptor-mediated signaling pathway;axon guidance;positive regulation of hematopoietic stem cell migration"	"external side of plasma membrane;focal adhesion;membrane raft;integral to plasma membrane"	"transmembrane receptor protein tyrosine phosphatase activity"
"Q14152"	"Q14152"	"EIF3A_HUMAN"	"Eukaryotic translation initiation factor 3 subunit A"	"EIF3A"	49	119	0.00177130908251692	40	0	27	0	70	0	49	0	0.00209331354299292	0	0.0030017371693076	0	0	"formation of translation initiation complex"	"cytosol;eukaryotic translation initiation factor 3 complex;nucleolus"	"translation initiation factor activity;structural molecule activity"
"P49327"	"P49327"	"FAS_HUMAN"	"Fatty acid synthase"	"FASN"	46	102	0.000835620123583677	42	0	21	0	71	0	31	0	0.00116857320057775	0	0.00104520049583853	0	0	"long-chain fatty-acyl-CoA biosynthetic process;acetyl-CoA metabolic process;triglyceride biosynthetic process;fatty acid metabolic process;fatty acid biosynthetic process;energy reserve metabolic process;positive regulation of cellular metabolic process;pantothenate metabolic process"	"glycogen granule;Golgi apparatus;melanosome;mitochondrion;cytosol;plasma membrane"	"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NADPH binding;oleoyl-[acyl-carrier-protein] hydrolase activity;myristoyl-[acyl-carrier-protein] hydrolase activity;3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity;fatty acid synthase activity;[acyl-carrier-protein] S-acetyltransferase activity;[acyl-carrier-protein] S-malonyltransferase activity;zinc ion binding;palmitoyl-[acyl-carrier-protein] hydrolase activity;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity;drug binding;3-oxoacyl-[acyl-carrier-protein] synthase activity;enoyl-[acyl-carrier-protein] reductase (NADPH"
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	44	301	0.0102007765808364	39	28	29	23	100	77	63	61	0.00680856511277056	0.0769259057882717	0.0087869161948336	0.0685480038580124	0	""	""	""
"P13639"	"P13639"	"EF2_HUMAN"	"Elongation factor 2"	"EEF2"	40	111	0.00276773471735432	37	0	21	0	71	0	40	0	0.00354978547616417	0	0.0041185157877979	0	5	"translational elongation"	"polysome;ribonucleoprotein complex;cytosol"	"translation elongation factor activity;GTP binding;GTPase activity"
"Q00610-1,Q00610-2"	"Q00610-[1,2]"	"CLH1_HUMAN"	"Clathrin heavy chain 1"	"CLTC"	47	150	0.000921089609446274	37	0	37	0	74	0	76	0	0	0	0	0	0	"post-Golgi vesicle-mediated transport;antigen processing and presentation of exogenous peptide antigen via MHC class II;mitosis;intracellular protein transport;receptor internalization;transferrin transport;cellular membrane organization"	"clathrin coat of trans-Golgi network vesicle;mitochondrion;extracellular vesicular exosome;clathrin coat of coated pit;melanosome;clathrin-coated endocytic vesicle membrane;clathrin coat;trans-Golgi network membrane;spindle;cytosol"	"structural molecule activity"
"P07814"	"P07814"	"SYEP_HUMAN"	"Bifunctional glutamate/proline--tRNA ligase"	"EPRS"	31	78	0.00108588157353325	20	0	27	0	33	0	45	0	0.000901999786864466	0	0.00262466642370165	0	2	"prolyl-tRNA aminoacylation;glutamyl-tRNA aminoacylation;tRNA aminoacylation for protein translation;negative regulation of translation;cellular response to interferon-gamma;protein complex assembly"	"ribonucleoprotein complex;cytosol"	"glutamate-tRNA ligase activity;RNA stem-loop binding;proline-tRNA ligase activity;ATP binding"
"P52272-1,P52272-2"	"P52272-[1,2]"	"HNRPM_HUMAN"	"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM"	31	84	0.00118353705980905	31	0	12	0	65	0	19	0	0	0	0	0	0	"alternative mRNA splicing"	"paraspeckles;catalytic step 2 spliceosome;nuclear matrix;integral to plasma membrane"	"RNA binding;nucleotide binding"
"P50990"	"P50990"	"TCPQ_HUMAN"	"T-complex protein 1 subunit theta"	"CCT8"	30	91	0.00341598743843913	26	0	25	0	47	0	44	0	0.00354455390697503	0	0.00679761782330019	0	0	"'de novo' posttranslational protein folding"	"aggresome;cytosol;centrosome;intermediate filament cytoskeleton;microtubule"	"ATPase activity;ATP binding"
"P05107"	"P05107"	"ITB2_HUMAN"	"Integrin beta-2"	"ITGB2"	30	74	0.00197952418016239	30	0	0	0	74	0	0	0	0.00397694574428385	0	0	0	0	"apoptotic process;regulation of cell shape;multicellular organismal development;inflammatory response;cell-cell signaling;regulation of peptidyl-tyrosine phosphorylation;integrin-mediated signaling pathway;neutrophil chemotaxis;leukocyte cell-cell adhesion;cell-matrix adhesion;blood coagulation;innate immune response;toll-like receptor 4 signaling pathway"	"integrin complex"	"receptor activity;metal ion binding"
