"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;8;1,54383811777261e-05;1;1;1;1;2;2;2;2;NA;NA;NA;NA;"integral component of plasma membrane"
"2";2;"A5YKK6";"A5YKK6-1,A5YKK6-2,A5YKK6-3";"A5YKK6-1,A5YKK6-2,A5YKK6-3";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";3;3;3,740201248076e-06;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;"extracellular space, nucleus, CCR4-NOT complex, cytosol, cytoplasmic mRNA processing body, peroxisomal membrane"
"5";5;"A6NIZ1";"A6NIZ1,P61224";"A6NIZ1,P61224";"RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1B";5;13;0,000313932978670032;5;3;3;2;5;3;3;2;0,000636951086773292;0,000386278488225105;0,000389768892999117;0,000254489792716943;"plasma membrane, cytosol"
"8";8;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;12;0,000104755027490317;2;2;2;2;4;3;2;3;NA;NA;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane"
"14";14;"O00154";"O00154-1,O00154-4,O00154-6";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";8;30;0,000233861004353384;6;6;7;7;7;7;8;8;NA;NA;NA;NA;"extracellular vesicular exosome, neuron projection, nucleus, cytosol, mitochondrion, cell body, cytoplasm"
"20";20;"O00232";"O00232-1";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";11;32;0,000623629344942357;5;8;9;6;6;9;10;7;NA;NA;NA;NA;"cytosol, proteasome accessory complex, proteasome regulatory particle, nucleoplasm, extracellular vesicular exosome"
"22";22;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";11;58;0,0022066078827416;9;11;10;11;14;16;14;14;0,00290484934909521;0,00332055840131543;0,00277744029976687;0,00272018965161347;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"34";34;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";17;46;0,000316329809958772;13;11;12;10;13;11;12;10;NA;NA;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm"
"35";35;"O00584";"O00584-1";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";4;10;0,000347137428337054;2;3;2;3;2;3;2;3;NA;NA;NA;NA;"lysosomal lumen, endoplasmic reticulum lumen, lysosome, extracellular region, extracellular space"
"36";36;"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";1;1;7,96300910880698e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"cytoplasm, plasma membrane, extracellular vesicular exosome, apical plasma membrane, integral component of plasma membrane, ruffle, cell body, filopodium, slit diaphragm, membrane raft, lamellipodium, microvillus membrane"
