"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P4569"	"spectra.count.P4569"	"dNSAF.P4569"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P46013-1,P46013-2"	"P46013-[1,2]"	"KI67_HUMAN"	"Antigen KI-67"	"MKI67"	14	20	0.000236268207372206	14	20	0	0	"cell proliferation;meiosis"	"chromosome;condensed chromosome;cytoplasm;nucleolus"	"ATP binding"
"Q09666-1"	"Q09666-1"	"AHNK_HUMAN"	"Neuroblast differentiation-associated protein AHNAK"	"AHNAK"	14	18	0.000235096894697288	14	18	0	0	"nervous system development"	"nucleus"	""
"P12270"	"P12270"	"TPR_HUMAN"	"Nucleoprotein TPR"	"TPR"	11	17	0.000553445527484822	11	17	0.000823630423888797	0	"cytokine-mediated signaling pathway;carbohydrate metabolic process;negative regulation of translational initiation;mitotic spindle assembly checkpoint;response to epidermal growth factor stimulus;small molecule metabolic process;positive regulation of protein export from nucleus;positive regulation of protein import into nucleus;seryl-tRNA aminoacylation;positive regulation of mitotic cell cycle spindle assembly checkpoint;nuclear pore organization;glucose transport;RNA import into nucleus;transmembrane transport;regulation of spindle assembly involved in mitosis;cellular response to interferon-alpha;viral reproductive process;positive regulation of heterochromatin assembly;mitosis;MAPK import into nucleus;negative regulation of transcription from RNA polymerase II promoter;regulation of mitotic sister chromatid separation;cell division;negative regulation of RNA export from nucleus;regulation of glucose transport;mRNA export from nucleus in response to heat stress"	"nuclear membrane;kinetochore;nucleoplasm;nuclear pore nuclear basket;nuclear inclusion body;mitotic spindle;cytoplasmic dynein complex;nuclear periphery;extrinsic to membrane"	"protein homodimerization activity;nucleocytoplasmic transporter activity;mRNA binding;serine-tRNA ligase activity;tubulin binding;chromatin binding;heat shock protein binding;dynein complex binding;mitogen-activated protein kinase binding;ATP binding"
"Q14204"	"Q14204"	"DYHC1_HUMAN"	"Cytoplasmic dynein 1 heavy chain 1"	"DYNC1H1"	10	13	0.000215255288025199	10	13	0.000320340115360968	0	"stress granule assembly;antigen processing and presentation of exogenous peptide antigen via MHC class II;G2/M transition of mitotic cell cycle;mitotic spindle organization;microtubule-based movement;cytoplasmic mRNA processing body assembly;transport;cell death"	"cytosol;microtubule;Golgi apparatus;extracellular vesicular exosome;cytoplasmic dynein complex;centrosome"	"ATPase activity;ATP binding;microtubule motor activity"
"Q01082-1,Q01082-2,Q01082-3"	"Q01082-[1-3]"	"SPTB2_HUMAN"	"Spectrin beta chain, non-erythrocytic 1"	"SPTBN1"	9	23	0.000259882812701074	9	23	0	1	"axon guidance;membrane assembly;protein targeting to plasma membrane;Golgi to plasma membrane protein transport;actin filament capping;SMAD protein import into nucleus;mitotic cytokinesis;common-partner SMAD protein phosphorylation"	"cytosol;cuticular plate;spectrin-associated cytoskeleton;M band;axolemma;nucleolus;spectrin"	"actin binding;structural constituent of cytoskeleton;phospholipid binding;ankyrin binding"
"Q13813-1,Q13813-2,Q13813-3"	"Q13813-[1-3]"	"SPTN1_HUMAN"	"Spectrin alpha chain, non-erythrocytic 1"	"SPTAN1"	9	12	0.000124480466537848	9	12	0	0	"actin filament capping;axon guidance;cellular component disassembly involved in execution phase of apoptosis"	"Z disc;spectrin;intracellular membrane-bounded organelle;cuticular plate;lateral plasma membrane;microtubule cytoskeleton;membrane;fascia adherens;cytosol"	"actin binding;calcium ion binding;structural constituent of cytoskeleton"
"O95071"	"O95071"	"UBR5_HUMAN"	"E3 ubiquitin-protein ligase UBR5"	"UBR5"	8	8	0.000219875465010047	8	8	0.000327215802559608	0	"response to DNA damage stimulus;negative regulation of double-strand break repair;positive regulation of canonical Wnt receptor signaling pathway;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;progesterone receptor signaling pathway;negative regulation of histone H2A K63-linked ubiquitination;DNA repair;positive regulation of catenin import into nucleus;cell proliferation;positive regulation of protein import into nucleus;protein polyubiquitination"	"nucleus;cytoplasm"	"RNA binding;zinc ion binding;ubiquitin-ubiquitin ligase activity"
"P49327"	"P49327"	"FAS_HUMAN"	"Fatty acid synthase"	"FASN"	8	14	0.000428914773590388	8	14	0.000638305378290561	0	"pantothenate metabolic process;fatty acid biosynthetic process;energy reserve metabolic process;positive regulation of cellular metabolic process;acetyl-CoA metabolic process;triglyceride biosynthetic process;fatty acid metabolic process;long-chain fatty-acyl-CoA biosynthetic process"	"mitochondrion;plasma membrane;Golgi apparatus;melanosome;cytosol;glycogen granule"	"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity;3-oxoacyl-[acyl-carrier-protein] synthase activity;zinc ion binding;enoyl-[acyl-carrier-protein] reductase (NADPH;drug binding;[acyl-carrier-protein] S-acetyltransferase activity;3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity;fatty acid synthase activity;oleoyl-[acyl-carrier-protein] hydrolase activity;myristoyl-[acyl-carrier-protein] hydrolase activity;[acyl-carrier-protein] S-malonyltransferase activity;palmitoyl-[acyl-carrier-protein] hydrolase activity;NADPH binding"
"Q8WZ42-1"	"Q8WZ42-1"	"TITIN_HUMAN"	"Titin"	"TTN"	8	8	2.3034543105798e-05	8	8	0	11	"mitotic chromosome condensation;forward locomotion;muscle filament sliding;regulation of protein kinase activity;platelet degranulation;response to calcium ion;sarcomerogenesis;in utero embryonic development;cardiac muscle contraction;adult heart development;detection of muscle stretch;sarcomere organization;cardiac myofibril assembly;skeletal muscle thin filament assembly;cardiac muscle hypertrophy;skeletal muscle myosin thick filament assembly;platelet activation;cardiac muscle fiber development;cardiac muscle tissue morphogenesis"	"striated muscle thin filament;extracellular region;condensed nuclear chromosome;Z disc;M band;Golgi apparatus;cytosol"	"nucleic acid binding;structural constituent of muscle;protein serine/threonine kinase activity;actinin binding;actin filament binding;protein tyrosine kinase activity;telethonin binding;calmodulin binding;protein self-association;calcium ion binding;ATP binding"
"Q8WZ42-7"	"Q8WZ42-7"	"TITIN_HUMAN"	"Titin"	"TTN"	8	8	2.50252642009399e-05	8	8	0	12	"mitotic chromosome condensation;forward locomotion;muscle filament sliding;regulation of protein kinase activity;platelet degranulation;response to calcium ion;sarcomerogenesis;in utero embryonic development;cardiac muscle contraction;adult heart development;detection of muscle stretch;sarcomere organization;cardiac myofibril assembly;skeletal muscle thin filament assembly;cardiac muscle hypertrophy;skeletal muscle myosin thick filament assembly;platelet activation;cardiac muscle fiber development;cardiac muscle tissue morphogenesis"	"striated muscle thin filament;extracellular region;condensed nuclear chromosome;Z disc;M band;Golgi apparatus;cytosol"	"nucleic acid binding;structural constituent of muscle;protein serine/threonine kinase activity;actinin binding;actin filament binding;protein tyrosine kinase activity;telethonin binding;calmodulin binding;protein self-association;calcium ion binding;ATP binding"
