"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5396";"Peptide.Count.P5455";"Spectra.Count.P5396";"Spectra.Count.P5455";"DNSAF.P5396";"DNSAF.P5455";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"1";"O00182";1;1;"O00182-1,O00182-2,Q3B8N2-1,Q3B8N2-2,Q6DKI2";"LEG9B_HUMAN, LEG9C_HUMAN, LEG9_HUMAN";"Galectin-9, Galectin-9B, Galectin-9C";"LGALS9, LGALS9B, LGALS9C";2;2;"1.40006705685299E-4";0;2;0;2;"0";"0.00124847861377722";0;"extracellular region, cytoplasm";0,00043917435221783;"galactose binding, signal transducer activity, carbohydrate binding"
"2";"O00592";3;3;"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;6;"6.69171835237798E-4";0;3;0;6;"0";"0";0;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome";0,00131752305665349;"protein binding"
"3";"O14672";4;4;"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";6;9;"0.00149758509650812";0;6;0;9;"0";"0.00267388066747474";0;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle";0,00197628458498024;"metalloendopeptidase activity, integrin binding, protein binding, protein kinase binding, protein homodimerization activity, zinc ion binding, receptor binding, metallopeptidase activity, endopeptidase activity"
"4";"O15031";7;7;"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;34;"0.00237114600017073";0;21;0;34;"0";"0.00423359010743346";2;"integral component of plasma membrane, intracellular, extracellular vesicular exosome";0,00746596398770312;"GTPase activator activity, protein binding, semaphorin receptor activity"
"5";"O15427";9;9;"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;4;"0.00107067493638048";0;3;0;4;"0";"0.00191164897421372";0;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";0,000878348704435661;"symporter activity, monocarboxylic acid transmembrane transporter activity, poly(A) RNA binding, secondary active monocarboxylate transmembrane transporter activity"
"6";"O15431";10;10;"O15431";"COPT1_HUMAN";"High affinity copper uptake protein 1";"SLC31A1";2;4;"0.00262033602851011";0;2;0;4;"0";"0.00467850933162831";0;"integral component of plasma membrane";0,000878348704435661;"copper ion transmembrane transporter activity"
"7";"O15439";11;11;"O15439-1";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";18;29;"0.00272416066360202";0;18;0;29;"0";"0";0;"platelet dense granule membrane, plasma membrane, basolateral plasma membrane, integral component of membrane";0,00636802810715854;"ATPase activity, coupled to transmembrane movement of substances, ATP binding, 15-hydroxyprostaglandin dehydrogenase (NAD+) activity"
"8";"O43175";12;12;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";4;5;"0.00116759813653124";0;4;0;5;"0";"0.00208470162525652";0;"extracellular vesicular exosome, cytosol";0,00109793588054458;"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"9";"O75144";16;16;"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";3;6;"0.00123641683464467";0;3;0;6;"0";"0";0;"plasma membrane, integral component of membrane, external side of plasma membrane, integral component of plasma membrane";0,00131752305665349;"receptor binding"
"10";"O95297";18;18;"O95297-1,O95297-2,O95297-3,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;"5.78373426367242E-4";0;2;0;5;"0";"0";0;"integral component of plasma membrane";0,00109793588054458;"protein binding, structural molecule activity"
"11";"O95858";20;20;"O95858";"TSN15_HUMAN";"Tetraspanin-15";"TSPAN15";3;5;"0.00211676805024201";0;3;0;5;"0";"0.00377940804850927";0;"integral component of plasma membrane";0,00109793588054458;"enzyme binding"
