"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838-1.id.csv";"peptide.count.P5838-2.id.csv";"peptide.count.P5839-1.id.csv";"peptide.count.P5839-2.id.csv";"spectra.count.P5838-1.id.csv";"spectra.count.P5838-2.id.csv";"spectra.count.P5839-1.id.csv";"spectra.count.P5839-2.id.csv";"dNSAF.P5838-1.id.csv";"dNSAF.P5838-2.id.csv";"dNSAF.P5839-1.id.csv";"dNSAF.P5839-2.id.csv"
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";75;299;0,00107068540975208;57;59;63;60;73;77;79;70;0,00140866146014958;0,00151903887273369;0,00143750662514671;0,00126118222409582
"Q14204";"Q14204";"Q14204";"DYHC1_HUMAN";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";71;182;0,000343083735240073;45;40;46;40;50;42;48;42;0,000514413579602855;0,000436474216547352;0,000454922245557427;0,000397692230332051
"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";74;242;0,000834101011996536;53;51;52;53;59;56;63;64;0,00110986197527947;0,00106407409685373;0,00109171939713833;0,0011080320696375
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";51;349;0,00503552414903016;47;47;43;47;95;103;71;80;0,00748094634692956;0,00819288846937071;0,00515044554685084;0,00579800141875801
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";45;230;0,00239073062161819;38;39;41;40;48;54;63;65;0,00271865538351379;0,00313225006705509;0,00327745896991265;0,0033771894122493
"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610-[1,2]";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";55;226;0,000590842298945606;39;42;47;45;52;55;61;58;NA;NA;NA;NA
"Q14152";"Q14152";"Q14152";"EIF3A_HUMAN";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";41;128;0,000811166251898223;29;23;32;29;31;26;36;35;0,00107219870066398;0,000908351241507373;0,00114701632752884;0,00111413296075899
"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";40;131;0,000758800226191293;27;27;28;31;33;32;32;34;0,0010432389047295;0,00102184893428017;0,000931908621190391;0,000989245645505355
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";40;157;0,00129963659572428;33;32;31;29;40;40;42;35;0,00180715727095264;0,00182542011889369;0,00174798928048424;0,00145532301679482
"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7-[1-3]";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";39;112;7,4752536969054e-05;26;19;29;24;27;22;35;28;NA;NA;NA;NA
"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";37;114;0,000716225904849249;22;22;28;26;26;25;31;32;0,00089152227778632;0,000865896021247095;0,000979205992029143;0,00100986710507492
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";36;309;0,00472293321714269;32;32;33;31;72;76;79;82;0,00600619599790961;0,00640394332111709;0,00607082357024159;0,00629558731713048
"P55072";"P55072";"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";35;129;0,00140172434336142;26;27;29;26;34;32;32;31;0,00201634805678376;0,00191691760376131;0,00174819582535964;0,00169201291403178
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";33;212;0,00441276690771054;30;28;31;32;50;51;55;56;0,00539955727465965;0,00586299938449998;0,00586522661033958;0,00598728337108894
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";33;128;0,000767829972687222;29;27;25;28;36;31;28;33;NA;NA;NA;NA
