"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"3";3;"O14974";"O14974-1,O14974-3,O14974-4";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";2;2;"1.06860151151266E-4";2;2;"0";0;"PTW/PP1 phosphatase complex, kinetochore, nucleoplasm, contractile fiber, centrosome";FALSE;0,000975609756097561
"5";5;"O43390";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";1;1;"1.82573860142328E-4";1;1;"0";2;"nucleoplasm, cytoplasm, catalytic step 2 spliceosome";FALSE;0,00048780487804878
"6";6;"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";2;4;"3.7100883939035E-4";2;4;"0";2;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum";FALSE;0,00195121951219512
"7";7;"O60814";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";6;15;"0.00218384832709928";6;15;"0.0034855047998885";0;"nucleus, nucleosome";FALSE;0,00731707317073171
"8";8;"O60869";"O60869-1";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";4;7;"0.00780873334257391";4;7;"0";0;"nucleus, cytoplasm, nucleolus";FALSE;0,00341463414634146
"9";9;"O75534";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";4;7;"7.24118129511866E-4";4;7;"0";0;"CRD-mediated mRNA stability complex";FALSE;0,00341463414634146
"10";10;"O75937";"O75937";"DNJC8_HUMAN";"DnaJ homolog subfamily C member 8";"DNAJC8";2;2;"0.00130512990931783";2;2;"0.00162013978050153";0;"nucleoplasm";FALSE;0,000975609756097561
"11";11;"O75947";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";6;10;"0.0102545921446401";6;10;"0";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";FALSE;0,0048780487804878
"12";12;"O95182";"O95182";"NDUA7_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7";"NDUFA7";2;2;"0.00292210501820718";2;2;"0.00362739260590166";0;"mitochondrial respiratory chain complex I";FALSE;0,000975609756097561
"14";14;"P00367";"P00367,P49448";"DHE3_HUMAN, DHE4_HUMAN";"Glutamate dehydrogenase 1, mitochondrial, Glutamate dehydrogenase 2, mitochondrial";"GLUD1, GLUD2";2;2;"2.95876224961838E-4";2;2;"3.6728975310653E-4";0;"mitochondrial matrix";FALSE;0,000975609756097561
