"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5747.3.id.csv";"peptide.count.P5747.4.id.csv";"spectra.count.P5747.3.id.csv";"spectra.count.P5747.4.id.csv";"dNSAF.P5747.3.id.csv";"dNSAF.P5747.4.id.csv";"Go.Cc";"norm.sc"
"5";5;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;5;0,000153376859205528;2;3;2;3;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000417745843428858
"8";8;"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";5;11;0,000301318257786579;5;5;6;5;NA;NA;"neuron projection, nucleus, extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol, cell body";0,000919040855543487
"10";10;"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";8;12;0,000443993296695433;5;7;5;7;NA;NA;"nucleus, nucleoplasm, extracellular vesicular exosome, proteasome accessory complex, cytosol, proteasome complex";0,00100259002422926
"11";11;"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";4;6;0,000410888533345335;3;3;3;3;NA;NA;"nucleoplasm, proteasome regulatory particle, extracellular vesicular exosome, proteasome accessory complex, cytosol";0,000501295012114629
"16";16;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";10;17;0,00220277172233267;8;8;8;9;0,0027029152041183;0,00308182432626227;"extracellular space, cytoplasm, brush border, blood microparticle, nuclear envelope, extracellular vesicular exosome, perinuclear region of cytoplasm, mitochondrion, nucleus, chloride channel complex, plasma membrane, nuclear membrane";0,00142033586765812
"20";20;"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";1;1;0,000100733963013695;1;NA;1;NA;0,000262662324271173;NA;"cytosol, proteasome complex, proteasome regulatory particle, lid subcomplex, nucleoplasm, extracellular vesicular exosome, proteasome accessory complex, nucleus";8,35491686857716e-05
"23";23;"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";13;22;0,000537755023097279;11;11;11;11;NA;NA;"nuclear speck, cytoplasmic stress granule, nucleus, cytoplasm, extracellular vesicular exosome, mitochondrial outer membrane";0,00183808171108697
"25";25;"O00629";"O00629";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA4";3;6;0,000411001198147459;3;3;3;3;0,000468859811079062;0,000593985654693864;"cytosol, extracellular vesicular exosome, nucleoplasm";0,000501295012114629
"26";26;"O00764";"O00764-1,O00764-2";"PDXK_HUMAN";"Pyridoxal kinase";"PDXK";1;1;5,0044116240778e-05;1;NA;1;NA;NA;NA;"nucleus, extracellular vesicular exosome, cytosol, cytoplasm";8,35491686857716e-05
"29";29;"O14578";"O14578-4";"CTRO_HUMAN";"Citron Rho-interacting kinase";"CIT";2;4;6,16231446161727e-05;2;2;2;2;NA;NA;"Golgi cisterna, ruffle, plasma membrane, vacuole, actin cytoskeleton, neuronal cell body";0,000334196674743086
"31";31;"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";3;5;0,00124910114136982;2;3;2;3;0,00130280512838502;0,00198058576701122;"nucleus, cytoplasm, extracellular vesicular exosome";0,000417745843428858
"33";33;"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;2;0,000174455466671762;NA;2;NA;2;NA;0,000461030206473747;"brush border membrane, actin cytoskeleton, endomembrane system, sperm midpiece, membrane raft, plasma membrane, extracellular vesicular exosome, centrosome, microvillus, apical plasma membrane, cytoplasm, membrane, ruffle, filopodium, intracellular membrane-bounded organelle, microvillus membrane, cell periphery";0,000167098337371543
"35";35;"O14818";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";4;10;0,00125917453767119;4;4;5;5;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, nucleoplasm, nucleus, cytosol, proteasome core complex";0,000835491686857716
"36";36;"O14828";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";1;1;4,4996438810152e-05;1;NA;1;NA;NA;NA;"integral component of membrane, extracellular vesicular exosome, Golgi membrane";8,35491686857716e-05
"39";39;"O14950";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";5;11;0,00100146592966968;5;4;6;5;0,00142434963015855;0,00120297969327698;"Z disc, apical part of cell, extracellular vesicular exosome, cytosol, myosin II complex, stress fiber";0,000919040855543487
