"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"1";"A0FGR8";2;2;"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;"1.368709714676E-4";1;0;2;0;"0";"0";10;"integral component of plasma membrane";9,87654320987654e-05;"calcium-dependent phospholipid binding, phosphatidylinositol binding, phosphatidylcholine binding, phosphatidylethanolamine binding, calcium ion binding, protein binding"
"2";"A0FGR8";1;1;"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;"3.85364871122368E-5";1;0;1;0;"0";"0";4;"integral component of plasma membrane";4,93827160493827e-05;"calcium-dependent phospholipid binding, phosphatidylinositol binding, phosphatidylcholine binding, phosphatidylethanolamine binding, calcium ion binding, protein binding"
"3";"A0FGR8";3;3;"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;"1.23582527635794E-4";1;0;2;0;"0";"0";9;"integral component of plasma membrane";9,87654320987654e-05;"calcium-dependent phospholipid binding, phosphatidylinositol binding, phosphatidylcholine binding, phosphatidylethanolamine binding, calcium ion binding, protein binding"
"4";"A3KMH1";8;8;"A3KMH1-1,A3KMH1-3";"VWA8_HUMAN";"von Willebrand factor A domain-containing protein 8";"VWA8";2;2;"9.63673761345917E-6";2;0;2;0;"0";"0";0;"mitochondrion, extracellular region";9,87654320987654e-05;"ATP binding, ATPase activity"
"5";"A5YKK6";11;11;"A5YKK6-1";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";2;2;"1.54528494559257E-5";2;0;2;0;"0";"0";0;"CCR4-NOT complex, nucleus, peroxisomal membrane, cytoplasmic mRNA processing body, cytosol, extracellular space";9,87654320987654e-05;"retinoic acid receptor binding, estrogen receptor binding, protein binding, poly(A) RNA binding"
"6";"A8TX70";23;23;"A8TX70-1";"CO6A5_HUMAN";"Collagen alpha-5(VI) chain";"COL6A5";2;2;"1.40405240180801E-5";2;0;2;0;"0";"0";0;"collagen, extracellular region";9,87654320987654e-05;"protein binding"
"7";"B0I1T2";24;24;"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;2;"4.80890246329789E-5";1;0;2;0;"0";"0";1;"myosin complex, plasma membrane, extracellular vesicular exosome";9,87654320987654e-05;"ATP binding, motor activity"
"8";"B0I1T2";25;25;"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;1;"2.40445123164895E-5";1;0;1;0;"0";"0";1;"myosin complex, plasma membrane, extracellular vesicular exosome";4,93827160493827e-05;"ATP binding, motor activity"
"9";"O00182";29;29;"O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";5;11;"5.68838976591653E-4";5;0;11;0;"0";"0";0;"extracellular region, cytoplasm";0,00054320987654321;"galactose binding, signal transducer activity, carbohydrate binding"
"10";"O00560";41;41;"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";3;9;"1.8481193107691E-4";3;0;9;0;"0";"0";0;"nucleus, extracellular vesicular exosome, melanosome, cytosol, adherens junction, blood microparticle, interleukin-5 receptor complex, endoplasmic reticulum membrane, cytoskeleton, focal adhesion";0,000444444444444444;"frizzled binding, interleukin-5 receptor binding, identical protein binding, protein binding, protein N-terminus binding, syndecan binding, cytoskeletal adaptor activity, protein heterodimerization activity"
"11";"O00571";43;43;"O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";2;2;"4.60864394951824E-4";0;2;0;2;"0";"0";34;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";9,87654320987654e-05;"ATP-dependent DNA helicase activity, ribosomal small subunit binding, DNA binding, poly(A) RNA binding, mRNA 5'-UTR binding, ATP-dependent RNA helicase activity, protein binding, transcription factor binding, ATPase activity, RNA binding, poly(A) binding, eukaryotic initiation factor 4E binding, RNA stem-loop binding, translation initiation factor binding, ATP binding"
"12";"O00592";44;44;"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;5;"8.22490374267012E-5";3;0;5;0;"0";"0";0;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome";0,000246913580246914;"protein binding"
"13";"O14529";49;49;"O14529";"CUX2_HUMAN";"Homeobox protein cut-like 2";"CUX2";2;2;"2.47079207989767E-5";0;2;0;2;"0";"1.03366945349556E-4";0;"extracellular vesicular exosome, nucleus";9,87654320987654e-05;"RNA polymerase II regulatory region sequence-specific DNA binding, sequence-specific DNA binding transcription factor activity, sequence-specific DNA binding"
