"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc"
"2";2;"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";4;10;9,50929492504194e-05;1;2;2;2;1;3;3;3;NA;NA;NA;NA;"integral component of plasma membrane"
"5";5;"A8MTJ3";"A8MTJ3";"A8MTJ3";"GNAT3_HUMAN";"Guanine nucleotide-binding protein G(t) subunit alpha-3";"GNAT3";1;1;2,93535394612391e-05;0;1;0;0;0;1;0;0;0;0,000159772142690416;NA;NA;"plasma membrane, axoneme, apical plasma membrane, photoreceptor outer segment, extrinsic component of cytoplasmic side of plasma membrane, photoreceptor inner segment, heterotrimeric G-protein complex, protein complex, acrosomal vesicle"
"7";7;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";10;18;0,000154857653504268;5;3;6;4;5;3;6;4;NA;NA;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"14";14;"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";2;2;4,15073963315812e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane"
"24";24;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";12;51;0,0018533655266562;11;11;9;9;14;13;13;11;0,00277672339184134;0,00260444277129292;0,00237520693180995;0,00200794893532403;"perinuclear region of cytoplasm, brush border, blood microparticle, nuclear envelope, nucleus, extracellular vesicular exosome, extracellular space, cytoplasm, plasma membrane, mitochondrion, nuclear membrane, chloride channel complex"
"26";26;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;1,59527515955622e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,02052501844189e-05;NA;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane"
"49";49;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";3;5;5,85431860024307e-05;NA;1;2;2;NA;1;2;2;NA;6,45486124929653e-05;0,000117734444789428;0,000117626566216113;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane"
"53";53;"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;3;7,33915694913153e-05;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000368988958250664;NA;"intracellular membrane-bounded organelle, sperm midpiece, endomembrane system, brush border membrane, filopodium, cell periphery, membrane, microvillus membrane, membrane raft, microvillus, plasma membrane, ruffle, extracellular vesicular exosome, apical plasma membrane, cytoplasm, actin cytoskeleton, centrosome"
"59";59;"O14920";"O14920-1,O14920-2,O14920-4";"O14920-1,O14920-2,O14920-4";"IKKB_HUMAN";"Inhibitor of nuclear factor kappa-B kinase subunit beta";"IKBKB";2;2;7,72315751848644e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"nucleus, cytoplasm, cytosol, CD40 receptor complex, IkappaB kinase complex, cytoplasmic side of plasma membrane, membrane raft"
"75";75;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";13;51;0,00148887030641382;10;9;11;9;14;12;14;11;0,00223063445811254;0,00193129448578952;0,00205485850972481;0,00161305231137697;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton"
"83";83;"O15294";"O15294-1,O15294-2,O15294-3,O15294-4";"O15294-1,O15294-2,O15294-3,O15294-4";"OGT1_HUMAN";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";1;1;2,09322672704676e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"microtubule organizing center, nucleoplasm, cytoplasm, histone acetyltransferase complex, MLL5-L complex, mitochondrion, plasma membrane, nucleus, cytosol"
"107";107;"O43464";"O43464-1,O43464-2,O43464-3";"O43464-1,O43464-2,O43464-3";"HTRA2_HUMAN";"Serine protease HTRA2, mitochondrial";"HTRA2";1;1;6,37413437115257e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endoplasmic reticulum, endoplasmic reticulum membrane, CD40 receptor complex, cytosol, nucleus, cytoplasmic side of plasma membrane, mitochondrion, mitochondrial membrane, mitochondrial intermembrane space"
"109";109;"O43491";"O43491-1";"O43491-1";"E41L2_HUMAN";"Band 4.1-like protein 2";"EPB41L2";5;7;0,000122002834590538;4;1;1;1;4;1;1;1;NA;NA;NA;NA;"extracellular vesicular exosome, extrinsic component of membrane, plasma membrane, spectrin"
"110";110;"O43493";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5,O43493-6";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5,O43493-6";"TGON2_HUMAN";"Trans-Golgi network integral membrane protein 2";"TGOLN2";1;1;3,04099327290404e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"plasma membrane, Golgi apparatus, transport vesicle, nucleus, integral component of membrane, trans-Golgi network"
"113";113;"O43665";"O43665-3";"O43665-3";"RGS10_HUMAN";"Regulator of G-protein signaling 10";"RGS10";1;3;0,000151873883687231;1;NA;1;1;1;NA;1;1;NA;NA;NA;NA;"dendritic spine, cytoplasm, neuronal cell body, nucleus, axon terminus, plasma membrane"
"127";127;"O43813";"O43813";"O43813";"LANC1_HUMAN";"LanC-like protein 1";"LANCL1";1;3;6,58500798944634e-05;NA;NA;1;1;NA;NA;1;2;NA;NA;0,000110357599877809;0,0002205129612272;"cytoplasm, integral component of plasma membrane, nucleus"
"130";130;"O43847";"O43847-1,O43847-2";"O43847-1,O43847-2";"NRDC_HUMAN";"Nardilysin";"NRD1";4;5;1,90392622303557e-05;3;2;NA;NA;3;2;NA;NA;NA;NA;NA;NA;"cell surface, cytosol"
"147";147;"O60711";"O60711-1,O60711-2";"O60711-1,O60711-2";"LPXN_HUMAN";"Leupaxin";"LPXN";3;8;9,07571049322656e-05;1;2;2;3;1;2;2;3;NA;NA;NA;NA;"podosome, plasma membrane, cytoplasm, nucleus, perinuclear region of cytoplasm, focal adhesion, cell projection"
"161";161;"O75122";"O75122-1";"O75122-1";"CLAP2_HUMAN";"CLIP-associating protein 2";"CLASP2";2;5;3,3841037967402e-05;2;1;1;1;2;1;1;1;NA;NA;NA;NA;"microtubule, Golgi apparatus, cytoplasm, cytoplasmic microtubule, condensed chromosome kinetochore, plasma membrane, microtubule organizing center, kinetochore microtubule, ruffle membrane, cytosol, trans-Golgi network, cell cortex"
"166";166;"O75323";"O75323-1";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";6;17;0,000556486369650691;4;4;4;5;4;4;4;5;NA;NA;NA;NA;"integral component of plasma membrane, mitochondrion, membrane"
"169";169;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";5;12;0,000890650233148844;4;2;2;2;5;3;2;2;0,00202539448375836;0,00122751768164588;0,000746316650021118;0,000745632809573329;"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane"
"173";173;"O75369";"O75369-1,O75369-2,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";40;112;9,97560208611368e-05;22;23;28;30;22;24;34;32;NA;NA;NA;NA;"focal adhesion, cytosol, cell cortex, actin cytoskeleton, cytoplasm, integral component of membrane, extracellular vesicular exosome, plasma membrane, stress fiber, Z disc"
"181";181;"O75449";"O75449-1,O75449-2";"O75449-1,O75449-2";"KTNA1_HUMAN";"Katanin p60 ATPase-containing subunit A1";"KATNA1";1;4;3,56743813684873e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"lipid particle, spindle pole, centrosome, spindle, microtubule, plasma membrane, axon, midbody, neuronal cell body, nucleus, cytoplasm, growth cone"
"188";188;"O75534";"O75534-1,O75534-2";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";3;12;6,58500798944634e-05;2;2;2;3;2;2;4;4;NA;NA;NA;NA;"cytoplasm, plasma membrane, Golgi apparatus, CRD-mediated mRNA stability complex"
"194";194;"O75695";"O75695";"O75695";"XRP2_HUMAN";"Protein XRP2";"RP2";2;8;0,000200184242879169;2;2;2;2;2;2;2;2;0,00027313891323827;0,000275899212255646;0,000251615327721405;0,000251384775799008;"cytoplasmic vesicle, extracellular vesicular exosome, cytoplasm, ciliary basal body, plasma membrane"
"217";217;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";6;14;0,000153332727357562;2;4;2;5;3;4;2;5;0,000197517809159906;0,000224453129805084;0,000136464924642291;0,000265105329161316;"extracellular vesicular exosome, cytoplasm, plasma membrane"
"224";224;"O95166";"O95166";"O95166";"GBRAP_HUMAN";"Gamma-aminobutyric acid receptor-associated protein";"GABARAP";1;1;7,48552190253302e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000376347712403812;NA;"smooth endoplasmic reticulum, cell body, actin cytoskeleton, axoneme, plasma membrane, perinuclear region of cytoplasm, cytoplasmic vesicle, microtubule, autophagic vacuole, microtubule associated complex, lysosome, Golgi membrane, autophagic vacuole membrane"
"229";229;"O95232";"O95232-1";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";4;8;0,000162186307888215;2;2;2;1;2;3;2;1;NA;NA;NA;NA;"focal adhesion, plasma membrane, nuclear speck, U1 snRNP, nucleus"
"240";240;"O95466";"O95466-1,O95466-2,O95466-3";"O95466-1,O95466-2,O95466-3";"FMNL_HUMAN";"Formin-like protein 1";"FMNL1";7;12;3,18474931853223e-05;4;2;3;3;4;2;3;3;NA;NA;NA;NA;"plasma membrane, bleb, phagocytic vesicle, cytosol, extracellular vesicular exosome, cell cortex"
"245";245;"O95716";"O95716";"O95716";"RAB3D_HUMAN";"Ras-related protein Rab-3D";"RAB3D";0;0;0;0;0;0;0;0;0;0;0;NA;0;0;NA;"zymogen granule, transport vesicle, plasma membrane, extracellular vesicular exosome, mitochondrion"
"246";246;"O95721";"O95721";"O95721";"SNP29_HUMAN";"Synaptosomal-associated protein 29";"SNAP29";1;2;6,78919428369274e-05;1;1;NA;NA;1;1;NA;NA;0,000185268642700377;0,000187140938545496;NA;NA;"SNARE complex, synapse, cell junction, cytoplasm, plasma membrane, neuron projection, centrosome"
"250";250;"O95782";"O95782-1,O95782-2";"O95782-1,O95782-2";"AP2A1_HUMAN";"AP-2 complex subunit alpha-1";"AP2A1";6;16;7,17139048185353e-05;3;3;5;4;3;3;5;5;NA;NA;NA;NA;"basolateral plasma membrane, cytosol, clathrin coat of trans-Golgi network vesicle, endocytic vesicle membrane, clathrin-coated endocytic vesicle membrane, AP-2 adaptor complex, plasma membrane, apical plasma membrane"
"259";259;"O96019";"O96019-1";"O96019-1";"ACL6A_HUMAN";"Actin-like protein 6A";"ACTL6A";6;10;0,00020415059734181;1;NA;3;6;1;NA;3;6;NA;NA;NA;NA;"nucleus, SWI/SNF complex, npBAF complex, plasma membrane, nucleoplasm, Ino80 complex, NuA4 histone acetyltransferase complex"
