"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc"
"1";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";"8";"10";"0.00182339827537008";"8";"10";"0.00230882401203975";"0";"nucleus, cytoplasm"
"2";"O00154";"O00154-1,O00154-2,O00154-3,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";"4";"6";"2.45870862184113E-4";"4";"6";"0";"0";"cell body, cytosol, neuron projection, mitochondrion, extracellular vesicular exosome"
"3";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";"2";"2";"4.718733718685E-4";"2";"2";"5.97495668570287E-4";"0";"membrane, cytosol, nucleus"
"4";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";"3";"5";"0.00161533415681125";"3";"5";"0.00204536898991903";"0";"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex"
"5";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";"4";"5";"0.0025444152404674";"4";"5";"0.00322179036974174";"0";"histone deacetylase complex, ASAP complex, nuclear speck, cytoplasm, plasma membrane"
"6";"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";"14";"20";"0.00123592211434655";"14";"20";"0";"3";"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck"
"7";"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";"1";"1";"6.82974617178092E-4";"1";"1";"8.64796362404362E-4";"0";"mitochondrial respiratory chain, mitochondrial inner membrane"
"8";"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";"5";"5";"0.0031143642543321";"5";"5";"0.00394347141256389";"0";"cytoplasm, nucleus, extracellular vesicular exosome"
"9";"O14818";"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";"2";"4";"6.27896019018568E-4";"2";"4";"0";"0";"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex"
"10";"O14974";"O14974-1";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";"6";"7";"5.29139557774871E-4";"6";"7";"0";"0";"PTW/PP1 phosphatase complex, kinetochore, nucleoplasm, contractile fiber, centrosome"
"11";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";"2";"2";"4.18597346012379E-4";"2";"2";"5.30036480183319E-4";"0";"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome"
"12";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";"2";"2";"4.42381286126719E-4";"2";"2";"5.60152189284644E-4";"0";"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex"
"13";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";"4";"7";"6.85551879884424E-4";"4";"7";"8.68059744904001E-4";"0";"nucleolus, U12-type spliceosomal complex"
"14";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";"5";"9";"0.00131469410361111";"5";"9";"0.00166469243494723";"0";"extracellular vesicular exosome, cytosol"
"15";"O43390";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";"5";"8";"6.36706752116961E-4";"5";"8";"0";"5";"nucleoplasm, cytoplasm, catalytic step 2 spliceosome"
