"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5830.1.id.csv";"peptide.count.P5830.2.id.csv";"spectra.count.P5830.1.id.csv";"spectra.count.P5830.2.id.csv";"dNSAF.P5830.1.id.csv";"dNSAF.P5830.2.id.csv";"Go.Cc"
"5";5;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";4;10;0,000896986683305888;4;4;4;6;0,000901577050369437;0,00133129445149725;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane"
"13";13;"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";16;29;0,00105861997466112;11;15;13;16;0,00119245582668558;0,00144477076491831;"extracellular vesicular exosome, intracellular, integral component of plasma membrane"
"14";14;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";5;7;0,00156554075792988;3;4;3;4;0,00168594908419085;0,00221290722159987;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton"
"19";19;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";4;9;0,00129860523699252;2;4;4;5;0,00145027878209965;0,00178460259806441;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane"
"42";42;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";2;2;0,000138625214692728;2;NA;2;NA;0,000348336587642737;NA;"extracellular vesicular exosome, cytoplasm, plasma membrane"
"45";45;"O95232";"O95232-1";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";2;2;0,000310623166255928;2;NA;2;NA;NA;NA;"focal adhesion, plasma membrane, nuclear speck, U1 snRNP, nucleus"
"50";50;"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";10;19;0,00296464528910309;8;9;8;11;0,00313664945895972;0,00424569408795325;"mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, mitochondrial matrix, mitochondrion"
"52";52;"P00747";"P00747";"P00747";"PLMN_HUMAN";"Plasminogen";"PLG";2;3;0,000248498533004742;1;2;1;2;0,000208141862245784;0,000409797633629606;"platelet alpha granule lumen, cell surface, extracellular vesicular exosome, extrinsic component of external side of plasma membrane, plasma membrane, blood microparticle, extracellular region, extracellular space"
"53";53;"P00813";"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";3;6;0,00110900171754183;2;3;3;3;0,00139334635057095;0,00137163670760323;"cell surface, cell junction, external side of plasma membrane, dendrite cytoplasm, lysosome, extracellular space, cytoplasmic membrane-bounded vesicle lumen, cytoplasm, neuronal cell body, cytosol, plasma membrane, membrane"
"54";54;"P01889";"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";1;1;0,0018534420969967;0;1;0;1;NA;0,00298008914511033;"early endosome membrane, plasma membrane, Golgi membrane, integral component of plasma membrane, phagocytic vesicle membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, extracellular vesicular exosome, MHC class I protein complex"
"55";55;"P01892";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;7;0,0162783559565572;2;2;3;4;0,0174368706652615;0,0230991137377959;"integral component of lumenal side of endoplasmic reticulum membrane, cell surface, plasma membrane, early endosome membrane, phagocytic vesicle membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane, Golgi membrane"
