"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc"
"1";"A0AVT1";"A0AVT1-1,A0AVT1-2";"A0AVT1-1,A0AVT1-2";"UBA6_HUMAN";"Ubiquitin-like modifier-activating enzyme 6";"UBA6";1;1;4,16257634313861e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"cytoplasm"
"2";"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";4;10;9,50929492504194e-05;1;2;2;2;1;3;3;3;NA;NA;NA;NA;"integral component of plasma membrane"
"3";"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;4;5,5430763455466e-05;1;1;1;1;1;1;1;1;7,56318193302173e-05;7,63961426340792e-05;6,96719657456423e-05;6,96081262101683e-05;"integral component of membrane"
"4";"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;6,10926002807627e-05;1;1;0;0;1;1;0;0;NA;NA;NA;NA;"cytoplasm, microtubule"
"5";"A8MTJ3";"A8MTJ3";"A8MTJ3";"GNAT3_HUMAN";"Guanine nucleotide-binding protein G(t) subunit alpha-3";"GNAT3";1;1;2,93535394612391e-05;0;1;0;0;0;1;0;0;0;0,000159772142690416;NA;NA;"plasma membrane, axoneme, apical plasma membrane, photoreceptor outer segment, extrinsic component of cytoplasmic side of plasma membrane, photoreceptor inner segment, heterotrimeric G-protein complex, protein complex, acrosomal vesicle"
"6";"A8MWD9";"A8MWD9,P62308";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;11;0,00063380701898421;3;2;3;3;3;2;3;3;0,00094340743059271;0,000635294238746553;0,000869066099037749;0,0008682697848321;"spliceosomal complex"
"7";"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";10;18;0,000154857653504268;5;3;6;4;5;3;6;4;NA;NA;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"8";"O00115";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";1;3;7,29838385496969e-05;NA;1;1;1;NA;1;1;1;NA;0,000134117672624272;0,000122313006531239;0,000122200932680073;"lysosome"
"9";"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";4;8;0,000106480980254877;1;2;3;2;1;2;3;2;7,26433279889017e-05;0,000146754900135982;0,000200756910416015;0,000133715306276068;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome"
"10";"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;6,20259251130569e-06;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;"kinesin complex, cytosol, microtubule, centrosome, spindle pole"
"11";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";4;14;0,000499640179973007;3;4;3;3;3;5;3;3;0,000545718115588757;0,000956775326233325;0,000549978858407444;0,000592402647887006;"nucleus, cytoplasm"
"12";"O00151";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";9;21;0,000559025146338104;4;5;4;6;5;5;4;7;0,000726433279889017;0,000733774500679909;0,000535351761109373;0,000936007143932476;"transcription factor complex, cytoplasm, cytoskeleton"
"13";"O00154";"O00154-1,O00154-4,O00154-6";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";8;34;0,000261205316914705;6;7;7;7;8;10;8;8;NA;NA;NA;NA;"extracellular vesicular exosome, cell body, nucleus, cytoplasm, cytosol, mitochondrion, neuron projection"
"14";"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";2;2;4,15073963315812e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane"
"15";"O00170";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;4;0,000106158310617741;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000266864741522703;0,000266620216756524;"cytoplasm, cytosol, nucleus, membrane"
"16";"O00178";"O00178";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";2;4;5,23650859549395e-05;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000131637316446176;0,000131516698848509;"cytosol, cytoplasmic exosome (RNase complex)"
"17";"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;5;6,1676483281434e-05;1;NA;2;2;1;NA;2;2;NA;NA;NA;NA;"cytoplasm, extracellular region"
