"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5574";"Spectra.Count.P5574";"DNSAF.P5574";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"4";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";"33";"74";"0.00223002074012698";"33";"74";"0.00295772551057801";"0";"reactive oxygen species metabolic process;tricarboxylic acid cycle;small molecule metabolic process";"mitochondrial respiratory chain;integral to membrane";"NAD(P)+ transhydrogenase (B-specific) activity;NADP binding;NAD(P)+ transhydrogenase (AB-specific) activity;NAD binding"
"6";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";"31";"71";"0.00382804174692175";"31";"71";"0.00507721588714164";"0";"post-translational protein modification;SRP-dependent cotranslational protein targeting to membrane;translation;protein N-linked glycosylation via asparagine";"melanosome;oligosaccharyltransferase complex;integral to membrane;rough endoplasmic reticulum";"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"7";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";"27";"78";"0.00431201143295007";"27";"78";"0.00571911551657328";"0";"antigen processing and presentation of peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class II;protein secretion;post-translational protein modification;protein folding;clathrin-mediated endocytosis;aging;synaptic vesicle endocytosis;protein N-linked glycosylation via asparagine";"dendrite cytoplasm;axon;endoplasmic reticulum lumen;neuronal cell body;integral to lumenal side of endoplasmic reticulum membrane;melanosome;dendritic spine;ribosome";"calcium ion binding;unfolded protein binding"
"9";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";"25";"58";"7.53241883199906E-4";"25";"58";"0";"0";"leucine import;cell growth;blood coagulation;leukocyte migration;tryptophan transport;carbohydrate metabolic process";"integral to membrane;plasma membrane;cell surface;melanosome;apical plasma membrane";"cation binding;neutral amino acid transmembrane transporter activity;catalytic activity;calcium:sodium antiporter activity"
"12";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";"22";"39";"0.00170635746544548";"22";"39";"0.00226317940228033";"0";"epidermal growth factor receptor signaling pathway;Notch receptor processing;PMA-inducible membrane protein ectodomain proteolysis;negative regulation of cell adhesion;positive regulation of cell proliferation;in utero embryonic development;Notch signaling pathway;integrin-mediated signaling pathway;response to tumor necrosis factor;collagen catabolic process;extracellular matrix disassembly;positive regulation of cell growth;constitutive protein ectodomain proteolysis;positive regulation of T cell chemotaxis;protein phosphorylation;monocyte activation;cell-cell signaling";"plasma membrane;integral to membrane;Golgi-associated vesicle;postsynaptic density;nucleus;endomembrane system;cell surface";"protein homodimerization activity;protein kinase binding;zinc ion binding;integrin binding;metalloendopeptidase activity"
"13";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";"22";"48";"0.00284068523389227";"22";"48";"0.0037676632475297";"0";"lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;negative regulation of endothelial cell proliferation;embryo development";"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex";"proton-transporting ATP synthase activity;MHC class I protein binding;proton-transporting ATPase activity;ATP binding"
"14";"P16435";"P16435";"NCPR_HUMAN";"NADPH--cytochrome P450 reductase";"POR";"21";"36";"0.00174028685488452";"21";"36";"0.00230818069706491";"0";"demethylation;cellular organofluorine metabolic process;negative regulation of lipase activity;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of chondrocyte differentiation;carnitine metabolic process;positive regulation of monooxygenase activity;internal peptidyl-lysine acetylation;positive regulation of cholesterol biosynthetic process;nitric oxide catabolic process;response to nutrient;positive regulation of smoothened signaling pathway;regulation of growth plate cartilage chondrocyte proliferation;positive regulation of steroid hormone biosynthetic process;response to drug;nitrate catabolic process;cellular response to follicle-stimulating hormone stimulus;flavonoid metabolic process;fatty acid oxidation;negative regulation of apoptotic process;cellular response to peptide hormone stimulus";"endoplasmic reticulum;mitochondrion;endoplasmic reticulum membrane";"cytochrome-b5 reductase activity;FMN binding;iron-cytochrome-c reductase activity;flavin adenine dinucleotide binding;NADPH-hemoprotein reductase activity;hydrolase activity;iron ion binding;electron carrier activity;NADP binding"
"15";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";"20";"45";"0.00325103256279475";"20";"45";"0.0043119159269121";"0";"proteolysis;respiratory electron transport chain;small molecule metabolic process;aerobic respiration;oxidative phosphorylation";"mitochondrial inner membrane;mitochondrial respiratory chain complex III";"metalloendopeptidase activity;metal ion binding"
"16";"P51149";"P51149";"RAB7A_HUMAN";"Ras-related protein Rab-7a";"RAB7A";"20";"65";"0.0102766133989792";"20";"65";"0.0136300981715434";"0";"small GTPase mediated signal transduction;epidermal growth factor catabolic process;early endosome to late endosome transport;endosome to lysosome transport;antigen processing and presentation of exogenous peptide antigen via MHC class II;phagosome-lysosome fusion;bone resorption;phagosome acidification;protein targeting to lysosome";"alveolar lamellar body;phagocytic vesicle;late endosome;lysosomal membrane;phagocytic vesicle membrane;Golgi apparatus;melanosome";"GTPase activity;GDP binding;GTP binding"
"18";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";"19";"38";"0.00189001264896822";"19";"38";"0.0025067653078644";"0";"ether lipid biosynthetic process";"peroxisomal membrane;mitochondrion;peroxisomal matrix";"alkylglycerone-phosphate synthase activity;FAD binding;UDP-N-acetylmuramate dehydrogenase activity"
