"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5835-1.id.csv";"peptide.count.P5835-2.id.csv";"spectra.count.P5835-1.id.csv";"spectra.count.P5835-2.id.csv";"dNSAF.P5835-1.id.csv";"dNSAF.P5835-2.id.csv"
"Q92616";"Q92616";"Q92616";"GCN1L_HUMAN";"Translational activator GCN1";"GCN1L1";104;256;0,00193148754169488;99;96;129;127;0,00195372569462814;0,00191114000366617
"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";55;126;0,00182151857908684;52;51;64;62;0,00185722690346509;0,00178768742805005
"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";42;167;0,0031423375437157;41;39;84;83;0,00317276262675286;0,00311495151953627
"Q5VYK3";"Q5VYK3";"Q5VYK3";"ECM29_HUMAN";"Proteasome-associated protein ECM29 homolog";"ECM29";40;84;0,000917505654651149;35;36;42;42;0,000920875006301439;0,000914988404034221
"Q13423";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";38;108;0,00200410173579089;37;35;57;51;0,00212320924400795;0,00188756980350785
"P42345";"P42345";"P42345";"MTOR_HUMAN";"Serine/threonine-protein kinase mTOR";"MTOR";35;67;0,000535396719985769;32;29;34;33;0,00053958124703702;0,000531927070282294
"Q9UIA9";"Q9UIA9";"Q9UIA9";"XPO7_HUMAN";"Exportin-7";"XPO7";35;99;0,00183540319961346;35;32;53;46;0,00197239590158992;0,00170094769024367
"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";33;120;0,00398399136933719;30;32;61;59;0,00406526545791933;0,00390684328552385
"Q15021";"Q15021";"Q15021";"CND1_HUMAN";"Condensin complex subunit 1";"NCAPD2";33;70;0,00100689860387305;28;31;32;38;0,000923973698583273;0,00109020490477617
"Q9Y6D6";"Q9Y6D6";"Q9Y6D6";"BIG1_HUMAN";"Brefeldin A-inhibited guanine nucleotide-exchange protein 1";"ARFGEF1";33;63;0,000847343705949905;28;29;32;31;0,000860541080214472;0,000835034611294008
