"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134.1.id.csv";"peptide.count.P5134.2.id.csv";"spectra.count.P5134.1.id.csv";"spectra.count.P5134.2.id.csv";"dNSAF.P5134.1.id.csv";"dNSAF.P5134.2.id.csv";"Go.Cc";"norm.sc"
"75";75;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";7;20;0,00118369367805552;7;6;11;9;0,00177739612720274;0,00142566080858255;"integral component of plasma membrane, plasma membrane, actin cytoskeleton, nuclear membrane, membrane";0,00145180023228804
"107";107;"O60669";"O60669";"MOT2_HUMAN";"Monocarboxylate transporter 2";"SLC16A7";1;1;5,75750586083492e-05;NA;1;NA;1;NA;0,000154098622963944;"integral component of plasma membrane, plasma membrane";7,25900116144019e-05
"226";226;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";4;11;0,00183824337011547;2;4;4;7;0,00214312330468848;0,00279501647939713;"MMXD complex, mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane, nucleus";0,00079849012775842
"266";266;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";23;84;0,00091736260049303;21;22;39;45;NA;NA;"plasma membrane, cytoplasm, apical plasma membrane, cell junction, nucleus, melanosome, extracellular vesicular exosome, integral component of membrane";0,00609756097560976
"322";322;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";3;10;0,00167113033646861;2;3;4;6;0,00214312330468848;0,00239572841091183;"nucleus, mitochondrial inner membrane presequence translocase complex, mitochondrion, mitochondrial inner membrane, integral component of membrane";0,000725900116144019
"406";406;"P19634";"P19634-1";"SL9A1_HUMAN";"Sodium/hydrogen exchanger 1";"SLC9A1";2;3;0,000101303845453218;NA;2;NA;3;NA;NA;"mitochondrion, extracellular vesicular exosome, cytoplasm, nucleus, endoplasmic reticulum, integral component of membrane, plasma membrane, endoplasmic reticulum membrane, basolateral plasma membrane, membrane raft";0,000217770034843206
"611";611;"P43007";"P43007-1,P43007-2";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";1;1;2,58654868560065e-05;NA;1;NA;1;NA;NA;"plasma membrane, neuronal cell body, intermediate filament, integral component of plasma membrane, microtubule organizing center, melanosome, integral component of membrane, extracellular vesicular exosome, centrosome, dendrite";7,25900116144019e-05
"695";695;"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";6;23;0,00126596038868038;6;6;11;12;0,00165297839829855;0,00176781940264236;"mitochondrion, integral component of membrane, membrane, extracellular vesicular exosome, plasma membrane, centrosome, integral component of plasma membrane";0,00166957026713124
"846";846;"Q00325";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";2;7;0,000266085837159581;2;2;3;4;NA;NA;"extracellular vesicular exosome, mitochondrion, mitochondrial inner membrane, integral component of plasma membrane";0,000508130081300813
"860";860;"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";6;19;0,00103135440292116;5;5;10;9;0,00148196019212708;0,00130755872976506;"integral component of membrane, extracellular vesicular exosome, nucleolus, cytosol, plasma membrane, nucleus, apical plasma membrane";0,00137921022067364
"950";950;"Q13433";"Q13433-1";"S39A6_HUMAN";"Zinc transporter ZIP6";"SLC39A6";2;2;7,29029881186514e-05;NA;2;NA;2;NA;NA;"plasma membrane, lamellipodium membrane, endoplasmic reticulum, integral component of plasma membrane";0,000145180023228804
"1009";1009;"Q15043";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";6;17;0,000316974882284177;5;5;8;9;NA;NA;"plasma membrane, lamellipodium, integral component of membrane, integral component of plasma membrane, Golgi apparatus, endoplasmic reticulum";0,00123403019744483
"1040";1040;"Q15758";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";10;24;0,00122088922801291;9;9;13;11;NA;NA;"membrane, integral component of plasma membrane, extracellular vesicular exosome, plasma membrane, Golgi apparatus, melanosome";0,00174216027874564
"1252";1252;"Q8N357";"Q8N357";"S35F6_HUMAN";"Solute carrier family 35 member F6";"SLC35F6";2;2;0,000148360528381622;NA;2;NA;2;NA;0,000397084322246713;"extracellular vesicular exosome, lysosomal membrane, mitochondrion, integral component of membrane";0,000145180023228804
"1285";1285;"Q8TB61";"Q8TB61-2";"S35B2_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 1";"SLC35B2";2;2;0,000127411472290699;2;NA;2;NA;NA;NA;"Golgi apparatus, integral component of membrane, Golgi membrane, membrane";0,000145180023228804
"1301";1301;"Q8WUX1";"Q8WUX1-1";"S38A5_HUMAN";"Sodium-coupled neutral amino acid transporter 5";"SLC38A5";2;2;0,000116613889893182;NA;2;NA;2;NA;NA;"integral component of membrane, plasma membrane";0,000145180023228804
"1424";1424;"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";4;10;0,000603528026640152;3;4;5;5;0,000823852869965385;0,000807666028254004;"apical plasma membrane, integral component of plasma membrane, plasma membrane, membrane, basolateral plasma membrane";0,000725900116144019
"1476";1476;"Q9H1N7";"Q9H1N7-2";"S35B3_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 2";"SLC35B3";1;1;6,86306184907504e-05;NA;1;NA;1;NA;NA;"integral component of membrane, Golgi membrane, mitochondrion";7,25900116144019e-05
"1565";1565;"Q9UBY0";"Q9UBY0";"SL9A2_HUMAN";"Sodium/hydrogen exchanger 2";"SLC9A2";2;3;0,000101678120744301;NA;2;NA;3;NA;0,000272139686367359;"integral component of membrane, plasma membrane";0,000217770034843206
"1586";1586;"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";11;19;0,000629237884814714;6;10;6;13;0,000542493730980817;0,00115230907713351;"integral component of membrane";0,00137921022067364
"1647";1647;"Q9Y6M5";"Q9Y6M5";"ZNT1_HUMAN";"Zinc transporter 1";"SLC30A1";4;7;0,000379972674760427;2;4;3;4;0,000444588057638125;0,000581137213228917;"T-tubule, plasma membrane, endoplasmic reticulum, nuclear membrane, integral component of membrane, Golgi apparatus, cytoplasm";0,000508130081300813
"1648";1648;"Q9Y6M7";"Q9Y6M7-1";"S4A7_HUMAN";"Sodium bicarbonate cotransporter 3";"SLC4A7";2;2;6,04522306749938e-05;NA;2;NA;2;NA;NA;"plasma membrane, stereocilium, integral component of membrane, basolateral plasma membrane, apical plasma membrane";0,000145180023228804
"1649";1649;"Q9Y6M7";"Q9Y6M7-3";"S4A7_HUMAN";"Sodium bicarbonate cotransporter 3";"SLC4A7";1;1;3,02261153374969e-05;NA;1;NA;1;NA;NA;"plasma membrane, stereocilium, integral component of membrane, basolateral plasma membrane, apical plasma membrane";7,25900116144019e-05
"163";163;"O95255";"O95255";"MRP6_HUMAN";"Multidrug resistance-associated protein 6";"ABCC6";1;1;2,95004606501418e-05;NA;1;NA;1;NA;7,89574595818064e-05;"integral component of membrane, basolateral plasma membrane, lateral plasma membrane, plasma membrane, apical plasma membrane";7,25900116144019e-05
"168";168;"O95477";"O95477";"ABCA1_HUMAN";"ATP-binding cassette sub-family A member 1";"ABCA1";4;5;6,08599690729565e-05;NA;4;NA;5;NA;0,000162890627547026;"Golgi apparatus, perinuclear region of cytoplasm, membrane raft, cell surface, endocytic vesicle, phagocytic vesicle, plasma membrane, integral component of plasma membrane";0,000362950058072009
"541";541;"P33527";"P33527-1,P33527-3,P33527-9";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";1;2;5,99191770406943e-05;1;1;1;1;NA;NA;"integral component of plasma membrane, membrane, extracellular vesicular exosome, plasma membrane";0,000145180023228804
"542";542;"P33527";"P33527-4";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";1;1;8,98787655610415e-05;1;0;1;0;NA;NA;"integral component of plasma membrane, membrane, extracellular vesicular exosome, plasma membrane";7,25900116144019e-05
"737";737;"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";8;15;0,000689170567983078;5;7;7;8;0,000878042858407181;0,000983761492844944;"cytoplasm, mitochondrion";0,00108885017421603
"1208";1208;"Q86UQ4";"Q86UQ4-3";"ABCAD_HUMAN";"ATP-binding cassette sub-family A member 13";"ABCA13";2;2;1,08821186298106e-05;NA;2;NA;2;NA;NA;"integral component of membrane";0,000145180023228804
"1226";1226;"Q8IUA7";"Q8IUA7-1";"ABCA9_HUMAN";"ATP-binding cassette sub-family A member 9";"ABCA9";6;7;0,000118624474201685;NA;6;NA;7;NA;NA;"integral component of membrane, mitochondrion";0,000508130081300813
"1269";1269;"Q8NE71";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";4;5;9,04696844667683e-05;4;1;4;1;NA;NA;"cytoplasm, ribosome, polysomal ribosome, nuclear envelope, nucleoplasm";0,000362950058072009
"1382";1382;"Q96J65";"Q96J65-1";"MRP9_HUMAN";"Multidrug resistance-associated protein 9";"ABCC12";3;3;6,07524900988762e-05;3;NA;3;NA;NA;NA;"mitochondrion, integral component of membrane";0,000217770034843206
"1500";1500;"Q9NP58";"Q9NP58-1,Q9NP58-4";"ABCB6_HUMAN";"ATP-binding cassette sub-family B member 6, mitochondrial";"ABCB6";2;5;8,17128207089992e-05;2;2;3;2;NA;NA;"mitochondrial envelope, endoplasmic reticulum, extracellular vesicular exosome, integral component of mitochondrial outer membrane, mitochondrion, mitochondrial outer membrane, Golgi apparatus, plasma membrane, ATP-binding cassette (ABC) transporter complex, endosome";0,000362950058072009
"1524";1524;"Q9NUT2";"Q9NUT2-1";"ABCB8_HUMAN";"ATP-binding cassette sub-family B member 8, mitochondrial";"ABCB8";2;2;7,48867428973902e-05;NA;2;NA;2;NA;NA;"nucleolus, integral component of membrane, nucleus, mitochondrion, ATP-binding cassette (ABC) transporter complex, mitochondrial inner membrane, mitochondrial envelope, membrane";0,000145180023228804
