"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5135"	"peptide.count.P5136"	"peptide.count.P5137"	"spectra.count.P5134"	"spectra.count.P5135"	"spectra.count.P5136"	"spectra.count.P5137"	"dNSAF.P5134"	"dNSAF.P5135"	"dNSAF.P5136"	"dNSAF.P5137"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P08575-1,P08575-2"	"P08575-[1,2]"	"PTPRC_HUMAN"	"Receptor-type tyrosine-protein phosphatase C"	"PTPRC"	55	211	0.00169355338477938	55	0	5	0	205	0	6	0	0	0	0	0	0	"positive regulation of protein kinase activity;release of sequestered calcium ion into cytosol;negative regulation of cytokine-mediated signaling pathway;axon guidance;bone marrow development;T cell receptor signaling pathway;negative regulation of T cell mediated cytotoxicity;positive regulation of stem cell proliferation;T cell differentiation;positive regulation of hematopoietic stem cell migration;stem cell development;regulation of S phase;positive regulation of antigen receptor-mediated signaling pathway;hematopoietic progenitor cell differentiation;positive regulation of B cell proliferation;defense response to virus;negative regulation of cell adhesion involved in substrate-bound cell migration;positive regulation of T cell proliferation;negative regulation of protein kinase activity;immunoglobulin biosynthetic process;B cell proliferation;B cell receptor signaling pathway"	"external side of plasma membrane;membrane raft;focal adhesion;integral to plasma membrane"	"transmembrane receptor protein tyrosine phosphatase activity"
"Q14152"	"Q14152"	"EIF3A_HUMAN"	"Eukaryotic translation initiation factor 3 subunit A"	"EIF3A"	49	113	0.00171156904516438	41	0	25	0	69	0	44	0	0.00205041724129503	0	0.00280322312499501	0	0	"regulation of translational initiation;formation of translation preinitiation complex;formation of translation initiation complex"	"eukaryotic 48S preinitiation complex;cytosol;eukaryotic 43S preinitiation complex;nucleolus;eukaryotic translation initiation factor 3 complex"	"structural molecule activity;translation initiation factor activity"
"P49327"	"P49327"	"FAS_HUMAN"	"Fatty acid synthase"	"FASN"	45	97	0.000808628501074794	40	0	20	0	67	0	30	0	0.00109579493152143	0	0.00105193177982598	0	0	"long-chain fatty-acyl-CoA biosynthetic process;fatty acid biosynthetic process;triglyceride biosynthetic process;energy reserve metabolic process;positive regulation of cellular metabolic process;pantothenate metabolic process;acetyl-CoA metabolic process;cellular response to interleukin-4;fatty acid metabolic process"	"melanosome;plasma membrane;mitochondrion;Golgi apparatus;glycogen granule;cytosol"	"enoyl-[acyl-carrier-protein] reductase (NADPH;enoyl-[acyl-carrier-protein] reductase (NADPH;drug binding;NADPH binding;oleoyl-[acyl-carrier-protein] hydrolase activity;3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;[acyl-carrier-protein] S-malonyltransferase activity;palmitoyl-[acyl-carrier-protein] hydrolase activity;[acyl-carrier-protein] S-acetyltransferase activity;3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity;myristoyl-[acyl-carrier-protein] hydrolase activity;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity;zinc ion binding;fatty acid synthase activity;3-oxoacyl-[acyl-carrier-protein] synthase activity"
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	45	286	0.00986282585527707	40	27	28	22	101	71	57	57	0.00683335337426744	0.0753625206779403	0.00826797582927802	0.0665280503189074	0	""	""	""
"P13639"	"P13639"	"EF2_HUMAN"	"Elongation factor 2"	"EEF2"	40	109	0.00276737549679165	37	0	21	0	71	0	38	0	0.00352743499623661	0	0.00407675392217809	0	5	"translational elongation"	"cytosol;ribonucleoprotein complex;polysome"	"GTP binding;translation elongation factor activity;GTPase activity"
"Q00610-1,Q00610-2"	"Q00610-[1,2]"	"CLH1_HUMAN"	"Clathrin heavy chain 1"	"CLTC"	46	149	0.000931033878330888	37	0	36	0	74	0	75	0	0	0	0	0	0	"antigen processing and presentation of exogenous peptide antigen via MHC class II;transferrin transport;post-Golgi vesicle-mediated transport;intracellular protein transport;receptor internalization;mitosis"	"cytosol;clathrin coat of trans-Golgi network vesicle;trans-Golgi network membrane;melanosome;clathrin coat of coated pit;clathrin coat;clathrin-coated endocytic vesicle membrane;mitochondrion;extracellular vesicular exosome;spindle"	"structural molecule activity"
"P07814"	"P07814"	"SYEP_HUMAN"	"Bifunctional glutamate/proline--tRNA ligase"	"EPRS"	31	77	0.00109109680448996	20	0	27	0	33	0	44	0	0.000896320534338828	0	0.00267123527494107	0	2	"tRNA aminoacylation for protein translation;cellular response to interferon-gamma;glutamyl-tRNA aminoacylation;negative regulation of translation;prolyl-tRNA aminoacylation;protein complex assembly"	"cytosol;ribonucleoprotein complex"	"glutamate-tRNA ligase activity;proline-tRNA ligase activity;ATP binding;RNA stem-loop binding"
"P50990"	"P50990"	"TCPQ_HUMAN"	"T-complex protein 1 subunit theta"	"CCT8"	30	90	0.00343784248171218	25	0	25	0	46	0	44	0	0.00344729516723812	0	0.00706944226048013	0	0	"'de novo' posttranslational protein folding;binding of sperm to zona pellucida"	"centrosome;cytosol;microtubule;chaperonin-containing T-complex;intermediate filament cytoskeleton;zona pellucida receptor complex;aggresome"	"ATPase activity;ATP binding"
"P52272-1,P52272-2"	"P52272-[1,2]"	"HNRPM_HUMAN"	"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM"	30	83	0.00119000629709434	30	0	12	0	64	0	19	0	0	0	0	0	0	"alternative mRNA splicing"	"catalytic step 2 spliceosome;integral to plasma membrane;nuclear matrix;paraspeckles"	"nucleotide binding;RNA binding"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	29	121	0.00564849463269842	27	0	18	0	72	0	49	0	0.00657151423267968	0	0.0096762495452346	0	39	"leukocyte migration;membrane to membrane docking;leukocyte cell-cell adhesion;regulation of lymphocyte migration"	"apical part of cell;extracellular vesicular exosome;cytoplasm;filopodium;microvillus;basolateral plasma membrane;microvillus membrane;nucleolus;extrinsic to membrane;plasma membrane;cytoskeleton;apical plasma membrane;uropod"	"structural constituent of cytoskeleton"
"O15031"	"O15031"	"PLXB2_HUMAN"	"Plexin-B2"	"PLXNB2"	28	50	0.000577814848827321	28	0	0	0	50	0	0	0	0.00113361575380438	0	0	0	1	"neuroblast proliferation;regulation of protein phosphorylation;neural tube closure;brain development;regulation of neuron migration;regulation of cell shape;positive regulation of axonogenesis;regulation of Rho GTPase activity;positive regulation of GTPase activity"	"intracellular;integral to plasma membrane"	"semaphorin receptor activity;GTPase activator activity"
"P02786"	"P02786"	"TFR1_HUMAN"	"Transferrin receptor protein 1"	"TFRC"	28	69	0.00190046344910089	28	0	2	0	65	0	4	0	0.00351237568240909	0	0.000463403631428602	0	0	"positive regulation of bone resorption;proteolysis;transferrin transport;cellular iron ion homeostasis;osteoclast differentiation;modulation by virus of host morphology or physiology;transmembrane transport"	"extracellular vesicular exosome;coated pit;extracellular region;integral to plasma membrane;perinuclear region of cytoplasm;external side of plasma membrane;endosome;cytoplasmic membrane-bounded vesicle;melanosome"	"peptidase activity;transferrin receptor activity"
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	28	330	0.0135276704879244	20	20	21	25	65	63	98	104	0.00528355337891963	0.0768197263851736	0.0172094514800859	0.144043941548334	112	"response to oxidative stress;regulation of angiogenesis;complement activation;fibrinolysis"	"cytoskeleton;plasma membrane;membrane;keratin filament"	"receptor activity;structural molecule activity;carbohydrate binding"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	28	99	0.00361663428966161	28	0	9	0	84	0	15	0	0.00602040713021872	0	0.00230488717202708	0	0	"positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-6 production;positive regulation of T cell activation;protein maturation;modulation by virus of host morphology or physiology;protein refolding;MyD88-dependent toll-like receptor signaling pathway;protein stabilization;T cell activation;isotype switching to IgG isotypes;positive regulation of interleukin-12 production;positive regulation of macrophage activation;B cell proliferation;positive regulation of apoptotic process;chaperone-mediated protein complex assembly;response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of interleukin-10 production;'de novo' protein folding;positive regulation of interferon-gamma production;B cell cytokine production;negative regulation of apoptotic process"	"secretory granule;cell surface;coated vesicle;extracellular space;mitochondrial matrix;mitochondrial inner membrane;coated pit;early endosome;lipopolysaccharide receptor complex;plasma membrane;cytosol"	"lipopolysaccharide binding;ATP binding;DNA replication origin binding;ATPase activity;single-stranded DNA binding;unfolded protein binding"
