"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5839-1.id.csv";"peptide.count.P5839-2.id.csv";"spectra.count.P5839-1.id.csv";"spectra.count.P5839-2.id.csv";"dNSAF.P5839-1.id.csv";"dNSAF.P5839-2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";3;6;0,000110557402150255;2;2;3;3;0,000110768569809907;0,000110402977792867;"integral component of plasma membrane, membrane, extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane"
"2";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;2;5,37043076900762e-05;1;1;1;1;5,38068843855087e-05;5,36292945924211e-05;"integral component of membrane, membrane"
"3";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;6;0,00066989057487095;3;3;3;3;0,000671170084177135;0,000668954885179147;"spliceosomal complex"
"4";"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";7;10;0,0001667049236745;6;4;6;4;0,000200428001561738;0,000133177658869981;"plasma membrane, myosin complex, extracellular vesicular exosome, membrane"
"5";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";1;2;9,42808957225782e-05;1;1;1;1;9,44609748101153e-05;9,41492060622503e-05;"extracellular vesicular exosome, intracellular, lysosome"
"6";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";3;5;0,000128955632447295;3;2;3;2;0,000155042329475569;0,000103020407849271;"peroxisomal membrane, peroxisomal matrix, mitochondrion, intracellular membrane-bounded organelle, peroxisome, nucleolus, membrane"
"7";"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;1,20188110694505e-05;NA;2;NA;2;NA;2,40040468713953e-05;"kinesin complex, cytosol, spindle pole, membrane, centrosome, microtubule"
"8";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";3;6;0,000442858406137504;3;3;3;3;0,000424742556523235;0,000456414183955171;"cytoplasm, membrane, nucleus"
"9";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";6;11;0,0005674047827681;4;6;4;7;0,000413446211934851;0,000721142854944896;"transcription factor complex, cytoskeleton, cytoplasm"
"10";"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";8;16;0,000238183315509671;7;7;8;8;0,00023863825215187;0,000237850625841474;"nucleus, mitochondrion, extracellular vesicular exosome, cytoplasm, cytosol, cell body, neuron projection"
"11";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;4;0,000205703772485625;2;2;2;2;0,000206096672312979;0,000205416449590364;"cytosol, cytoplasm, membrane, nucleus"
"12";"O00178";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";2;4;0,000101468228580353;2;2;2;2;0,000101662035670079;0,000101326499797938;"cytoplasmic exosome (RNase complex), membrane, cytosol"
"13";"O00182";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;4;9,56087956623329e-05;2;2;2;2;9,57914110750465e-05;9,54752512180566e-05;"cytoplasm, extracellular vesicular exosome"
"14";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";5;10;0,000808121963336385;4;5;5;5;0,000809665498372417;0,000806993194819288;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial inner membrane"
"15";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";11;22;0,000442360600783661;11;8;14;8;0,000564079754790262;0,000321267433008627;"cytosol, extracellular vesicular exosome, proteasome complex, proteasome accessory complex, membrane, nucleoplasm, nucleus"
"16";"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";6;12;0,000446593716580634;6;5;7;5;0,000522021176582216;0,000371641602877304;"proteasome accessory complex, membrane, nucleoplasm, cytosol, extracellular vesicular exosome, proteasome regulatory particle"
"17";"O00233";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;4;0,00015220234287053;2;2;2;2;0,000152493053505119;0,000151989749696906;"cytosol, nucleus, nucleoplasm, proteasome regulatory particle"
"18";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;8;0,000870285191285337;3;5;3;5;0,000627802171045689;0,00111737519282671;"endoplasmic reticulum, extracellular vesicular exosome, membrane, nucleolus, integral component of membrane, endoplasmic reticulum membrane"
"19";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";10;24;0,00169001439635493;9;9;13;11;0,00183434590087693;0,00154701600002702;"brush border, blood microparticle, plasma membrane, cytoplasm, chloride channel complex, nuclear envelope, mitochondrion, vesicle, nucleus, extracellular vesicular exosome, perinuclear region of cytoplasm, extracellular space, nuclear membrane, membrane"
"20";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";10;27;0,00128348782412249;9;8;13;14;0,00123831193868723;0,0013291652620553;"eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex, membrane, cytosol"
"21";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;3,09117690893699e-05;1;NA;1;NA;6,19416228263051e-05;NA;"endoplasmic reticulum membrane, Golgi membrane, membrane, integral component of plasma membrane"
"22";"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";22;46;0,000355809396801708;17;20;21;25;0,000325489958780525;0,000386209140638219;"cytoplasm, membrane, Golgi apparatus, nuclear membrane, intracellular membrane-bounded organelle, nucleus, nuclear pore"
"23";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";2;3;0,000332756102550276;NA;2;NA;3;NA;0,000664582631027649;"nuclear speck, nucleus, histone deacetylase complex, ASAP complex, cytoplasm"
"24";"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";5;8;3,0743770344319e-05;3;4;3;5;2,31018688394304e-05;3,83760350797216e-05;"synaptic vesicle membrane, mitochondrion, membrane, microtubule, cytosol, cytoplasm, cell junction, mitochondrial outer membrane, protein complex, Golgi apparatus, coated pit, perinuclear region of cytoplasm, peroxisome, intracellular membrane-bounded organelle"
