"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc"
"4";4;"A2RRP1";"A2RRP1-1";"A2RRP1-1";"NBAS_HUMAN";"Neuroblastoma-amplified sequence";"NBAS";21;53;0,000214725738660959;13;11;14;12;13;12;15;13;NA;NA;NA;NA;"cytoplasm"
"7";7;"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;4;0,000102022001533797;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"microtubule, cytoplasm"
"11";11;"C9JN71";"C9JN71,Q08AG5";"C9JN71,Q08AG5";"ZN844_HUMAN, ZN878_HUMAN";"Zinc finger protein 844, Zinc finger protein 878";"ZNF844, ZNF878";1;1;1,60500221107843e-05;1;0;NA;NA;1;0;NA;NA;8,51001465034938e-05;0;NA;NA;"nucleus"
"13";13;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";11;23;0,000517415876735367;9;4;3;4;11;5;3;4;0,00131207684895961;0,000591090212318272;0,000386503947900676;0,000507648313616166;"nucleus, cytoplasm"
"14";14;"O00154";"O00154-1,O00154-4,O00154-6";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";3;8;6,74100928652942e-05;2;2;2;2;2;2;2;2;NA;NA;NA;NA;"extracellular vesicular exosome, neuron projection, nucleus, cytosol, mitochondrion, cell body, cytoplasm"
"17";17;"O00178";"O00178";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";1;1;1,43586520677196e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,22307851288433e-05;NA;"cytoplasmic exosome (RNase complex), cytosol"
"18";18;"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;15;0,000202942357041643;3;3;2;2;5;5;3;2;NA;NA;NA;NA;"extracellular region, cytoplasm"
"26";26;"O00471";"O00471";"O00471";"EXOC5_HUMAN";"Exocyst complex component 5";"EXOC5";9;25;0,000339192734226851;6;5;4;7;8;5;5;7;0,000575507770421933;0,000356490848389693;0,000388505616180764;0,00053579124625661;"cytosol, cytoplasm"
"31";31;"O00743";"O00743-1,O00743-3";"O00743-1,O00743-3";"PPP6_HUMAN";"Serine/threonine-protein phosphatase 6 catalytic subunit";"PPP6C";5;7;0,0001102320780871;NA;NA;4;3;NA;NA;4;3;NA;NA;NA;NA;"cytosol"
"38";38;"O14579";"O14579-1,O14579-2";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";3;7;0,000109158389014823;1;3;1;2;1;3;1;2;NA;NA;NA;NA;"nucleus, COPI vesicle coat, Golgi apparatus, cytosol"
"47";47;"O14737";"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";1;1;7,68475058664354e-05;NA;1;NA;NA;NA;1;NA;NA;NA;0,000403832833055844;NA;NA;"nucleus, extracellular vesicular exosome, cytoplasm"
"48";48;"O14773";"O14773-1,O14773-2";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";5;24;0,000204744687033132;5;5;4;4;6;7;6;5;NA;NA;NA;NA;"mitochondrion, lysosomal lumen, melanosome, lysosome, extracellular vesicular exosome"
"49";49;"O14787";"O14787-2";"O14787-2";"TNPO2_HUMAN";"Transportin-2";"TNPO2";11;39;0,000566358018366763;10;8;6;6;13;9;8;9;NA;NA;NA;NA;"cytoplasm, nucleus"
"57";57;"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";1;2;1,90594012565564e-05;1;0;1;0;1;0;1;0;NA;NA;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"59";59;"O14981";"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";16;46;0,000238979534197947;9;9;10;12;10;11;12;13;0,000275459370915852;0,000300308353408213;0,00035703014765514;0,000381010788112944;"nucleus"
"63";63;"O15091";"O15091-1,O15091-2,O15091-4";"O15091-1,O15091-2,O15091-4";"MRRP3_HUMAN";"Mitochondrial ribonuclease P protein 3";"KIAA0391";3;3;1,64767379645016e-05;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;"mitochondrion"
