"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5136"	"spectra.count.P5134"	"spectra.count.P5136"	"dNSAF.P5134"	"dNSAF.P5136"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q14152"	"Q14152"	"EIF3A_HUMAN"	"Eukaryotic translation initiation factor 3 subunit A"	"EIF3A"	40	102	0.00136671289459426	32	23	61	41	0.00165142921840509	0.00227848571359156	1	"formation of translation initiation complex"	"cytosol;eukaryotic translation initiation factor 3 complex;nucleolus"	"translation initiation factor activity;structural molecule activity"
"P49327"	"P49327"	"FAS_HUMAN"	"Fatty acid synthase"	"FASN"	38	105	0.000767657682649211	33	19	68	37	0.000999332492879189	0.00113168486443833	0	"long-chain fatty-acyl-CoA biosynthetic process;acetyl-CoA metabolic process;triglyceride biosynthetic process;fatty acid metabolic process;fatty acid biosynthetic process;energy reserve metabolic process;positive regulation of cellular metabolic process;pantothenate metabolic process"	"glycogen granule;Golgi apparatus;melanosome;mitochondrion;cytosol;plasma membrane"	"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NADPH binding;oleoyl-[acyl-carrier-protein] hydrolase activity;myristoyl-[acyl-carrier-protein] hydrolase activity;3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity;fatty acid synthase activity;[acyl-carrier-protein] S-acetyltransferase activity;[acyl-carrier-protein] S-malonyltransferase activity;zinc ion binding;palmitoyl-[acyl-carrier-protein] hydrolase activity;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity;drug binding;3-oxoacyl-[acyl-carrier-protein] synthase activity;enoyl-[acyl-carrier-protein] reductase (NADPH"
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	36	143	0.00462520077170801	32	27	82	61	0.00553223359713605	0.00784260785558034	10	""	""	""
"P13639"	"P13639"	"EF2_HUMAN"	"Elongation factor 2"	"EEF2"	35	117	0.00252355001195561	30	18	79	38	0.00339772019881996	0.00348245866369667	1	"translational elongation"	"polysome;ribonucleoprotein complex;cytosol"	"translation elongation factor activity;GTP binding;GTPase activity"
"P52272-1,P52272-2"	"P52272-[1,2]"	"HNRPM_HUMAN"	"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM"	32	94	0.00118195246879598	32	11	75	19	0	0	0	"alternative mRNA splicing"	"paraspeckles;catalytic step 2 spliceosome;nuclear matrix;integral to plasma membrane"	"RNA binding;nucleotide binding"
"P07814"	"P07814"	"SYEP_HUMAN"	"Bifunctional glutamate/proline--tRNA ligase"	"EPRS"	30	92	0.00112830329360727	21	22	44	48	0.00107386254224308	0.00248691026040047	1	"prolyl-tRNA aminoacylation;glutamyl-tRNA aminoacylation;tRNA aminoacylation for protein translation;negative regulation of translation;cellular response to interferon-gamma;protein complex assembly"	"ribonucleoprotein complex;cytosol"	"glutamate-tRNA ligase activity;RNA stem-loop binding;proline-tRNA ligase activity;ATP binding"
"Q7KZF4"	"Q7KZF4"	"SND1_HUMAN"	"Staphylococcal nuclease domain-containing protein 1"	"SND1"	29	91	0.00183579851536397	26	16	59	32	0.00239253570600451	0.00270071702486929	0	"gene silencing by RNA;regulation of transcription;virus-host interaction;transcription;nucleic acid phosphodiester bond hydrolysis"	"cytoplasm;mitochondrion;RNA-induced silencing complex;melanosome;nucleus"	"nuclease activity;nucleic acid binding;transcription cofactor activity"
"P50990"	"P50990"	"TCPQ_HUMAN"	"T-complex protein 1 subunit theta"	"CCT8"	27	117	0.00391949683024789	25	25	57	60	0.00383832819097037	0.00840893872934895	0	"'de novo' posttranslational protein folding"	"aggresome;cytosol;centrosome;intermediate filament cytoskeleton;microtubule"	"ATPase activity;ATP binding"
"P55072"	"P55072"	"TERA_HUMAN"	"Transitional endoplasmic reticulum ATPase"	"VCP"	27	87	0.00198156911708022	23	14	48	39	0.00219762711103749	0.00371620840619615	0	"aggresome assembly;retrograde protein transport;positive regulation of protein complex assembly;translesion synthesis;ER to Golgi vesicle-mediated transport;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;double-strand break repair;protein homooligomerization;protein ubiquitination;activation of cysteine-type endopeptidase activity involved in apoptotic process;ER-associated protein catabolic process;endoplasmic reticulum unfolded protein response;protein N-linked glycosylation via asparagine"	"nucleus;proteasome complex;endoplasmic reticulum;site of double-strand break;cytosol"	"ATPase activity;ATP binding;polyubiquitin binding;lipid binding"
"P05107"	"P05107"	"ITB2_HUMAN"	"Integrin beta-2"	"ITGB2"	27	79	0.00188593085453516	27	0	79	0	0.00379095439608261	0	0	"apoptotic process;regulation of cell shape;multicellular organismal development;inflammatory response;cell-cell signaling;regulation of peptidyl-tyrosine phosphorylation;integrin-mediated signaling pathway;neutrophil chemotaxis;leukocyte cell-cell adhesion;cell-matrix adhesion;blood coagulation;innate immune response;toll-like receptor 4 signaling pathway"	"integrin complex"	"receptor activity;metal ion binding"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	26	119	0.00381256585215205	25	8	100	19	0.00644010853510842	0.00254665125218096	0	"positive regulation of macrophage activation;negative regulation of apoptotic process;MyD88-dependent toll-like receptor signaling pathway;virus-host interaction;positive regulation of apoptotic process;protein stabilization;positive regulation of T cell activation;T cell activation;B cell cytokine production;positive regulation of interferon-gamma production;positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-12 production;positive regulation of interleukin-6 production;protein refolding;protein maturation;B cell proliferation;'de novo' protein folding;response to unfolded protein;isotype switching to IgG isotypes;chaperone-mediated protein complex assembly;positive regulation of interleukin-10 production;activation of cysteine-type endopeptidase activity involved in apoptotic process"	"coated pit;cell surface;secretory granule;plasma membrane part;cytosol;mitochondrial inner membrane;lipopolysaccharide receptor complex;coated vesicle;early endosome;mitochondrial matrix;extracellular space"	"ATP binding;cell surface binding;single-stranded DNA binding;unfolded protein binding;DNA replication origin binding;lipopolysaccharide binding;ATPase activity"
"Q08211-1"	"Q08211-1"	"DHX9_HUMAN"	"ATP-dependent RNA helicase A"	"DHX9"	27	80	0.0011564085136151	24	16	52	28	0	0	0	"cellular response to heat;mRNA splicing;circadian rhythm;CRD-mediated mRNA stabilization"	"CRD-mediated mRNA stability complex;centrosome;nucleolus;nucleoplasm;ribonucleoprotein complex"	"ATP binding;ATP-dependent DNA helicase activity;ATP-dependent RNA helicase activity;double-stranded RNA binding;DNA binding"
"P05166-1,P05166-2"	"P05166-[1,2]"	"PCCB_HUMAN"	"Propionyl-CoA carboxylase beta chain, mitochondrial"	"PCCB"	25	150	0.0025544506243469	22	21	63	87	0	0	0	"short-chain fatty acid catabolic process;fatty acid beta-oxidation"	"mitochondrial matrix"	"ATP binding;propionyl-CoA carboxylase activity"
"P14625"	"P14625"	"ENPL_HUMAN"	"Endoplasmin"	"HSP90B1"	30	83	0.00201705438901887	27	13	55	28	0.00259150994832657	0.00301276671535952	8	"activation of signaling protein activity involved in unfolded protein response;actin rod assembly;response to hypoxia;ER-associated protein catabolic process;negative regulation of apoptotic process;regulation of phosphoprotein phosphatase activity;protein transport;innate immune response;toll-like receptor signaling pathway;protein folding;cellular response to ATP;sequestering of calcium ion"	"perinuclear region of cytoplasm;endoplasmic reticulum lumen;cytosol;endoplasmic reticulum membrane;melanosome;plasma membrane part;midbody"	"protein phosphatase binding;calcium ion binding;virion binding;low-density lipoprotein particle receptor binding;RNA binding;ATP binding"
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	25	207	0.00609968367063149	22	20	110	97	0.00651557048102542	0.0119578798046354	0	"intermediate filament organization;spermatogenesis;skin development"	"intermediate filament"	"structural constituent of cytoskeleton"
