"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"26";26;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;1,59527515955622e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,02052501844189e-05;NA;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane";2,31449335740406e-05
"53";53;"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;3;7,33915694913153e-05;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000368988958250664;NA;"intracellular membrane-bounded organelle, sperm midpiece, endomembrane system, brush border membrane, filopodium, cell periphery, membrane, microvillus membrane, membrane raft, microvillus, plasma membrane, ruffle, extracellular vesicular exosome, apical plasma membrane, cytoplasm, actin cytoskeleton, centrosome";6,94348007221219e-05
"66";66;"O14975";"O14975-1,O14975-2";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;7,0629521177126e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"mitochondrion, endoplasmic reticulum lumen, peroxisomal membrane, endoplasmic reticulum membrane, integral component of peroxisomal membrane, extracellular vesicular exosome, integral component of endoplasmic reticulum membrane";2,31449335740406e-05
"299";299;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;73;0,00335072925011888;4;5;5;5;17;15;19;22;0,00436289002353747;0,00386641856711218;0,00459401383896465;0,00467676911754933;"mitochondrion, integral component of plasma membrane, mitochondrial nucleoid, mitochondrial inner membrane, MMXD complex";0,00168958015090497
"343";343;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";20;80;0,000278033670665512;18;18;14;14;24;20;19;17;NA;NA;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm, cell junction, plasma membrane, integral component of membrane, apical plasma membrane, melanosome";0,00185159468592325
"407";407;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";4;16;0,00073440641098496;3;4;3;2;3;7;3;3;0,000769921768859554;0,00180432866465235;0,000725370606152313;0,000637741243302181;"mitochondrion, mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex, integral component of membrane";0,00037031893718465
"883";883;"P53007";"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";2;6;0,000168965799857819;1;1;2;2;1;1;2;2;0,000153695529957226;0,000155248752876971;0,00028316837524917;0,000282908911670909;"extracellular vesicular exosome, mitochondrial inner membrane, integral component of membrane";0,000138869601444244
"891";891;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";1;3;5,25483637557818e-05;1;NA;1;1;1;NA;1;1;9,55986196333946e-05;NA;8,80653647024919e-05;8,79846715296528e-05;"mitochondrion, integral component of plasma membrane, integral component of membrane, centrosome, membrane, extracellular vesicular exosome, plasma membrane";6,94348007221219e-05
"1109";1109;"Q00325";"Q00325-2";"Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";11;39;0,000943547967990557;9;8;8;8;10;10;10;9;NA;NA;NA;NA;"extracellular vesicular exosome, mitochondrion, integral component of plasma membrane, mitochondrial inner membrane";0,000902652409387585
"1125";1125;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;7;0,000120919969194764;1;2;2;2;1;2;2;2;9,42787175871742e-05;0,000190462967040387;0,000173698944186375;0,000173539786054542;"nucleus, integral component of membrane, cytosol, apical plasma membrane, nucleolus, plasma membrane, extracellular vesicular exosome";0,000162014535018284
