"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";4;10;9,50929492504194e-05;1;2;2;2;1;3;3;3;NA;NA;NA;NA;"integral component of plasma membrane";0,000231449335740406
"3";3;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;4;5,5430763455466e-05;1;1;1;1;1;1;1;1;7,56318193302173e-05;7,63961426340792e-05;6,96719657456423e-05;6,96081262101683e-05;"integral component of membrane";9,25797342961626e-05
"5";5;"A8MTJ3";"A8MTJ3";"A8MTJ3";"GNAT3_HUMAN";"Guanine nucleotide-binding protein G(t) subunit alpha-3";"GNAT3";1;1;2,93535394612391e-05;0;1;0;0;0;1;0;0;0;0,000159772142690416;NA;NA;"plasma membrane, axoneme, apical plasma membrane, photoreceptor outer segment, extrinsic component of cytoplasmic side of plasma membrane, photoreceptor inner segment, heterotrimeric G-protein complex, protein complex, acrosomal vesicle";2,31449335740406e-05
"7";7;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";10;18;0,000154857653504268;5;3;6;4;5;3;6;4;NA;NA;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000416608804332732
"9";9;"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";4;8;0,000106480980254877;1;2;3;2;1;2;3;2;7,26433279889017e-05;0,000146754900135982;0,000200756910416015;0,000133715306276068;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome";0,000185159468592325
"14";14;"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";2;2;4,15073963315812e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane";4,62898671480813e-05
"15";15;"O00170";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;4;0,000106158310617741;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000266864741522703;0,000266620216756524;"cytoplasm, cytosol, nucleus, membrane";9,25797342961626e-05
"18";18;"O00203";"O00203-1,Q13367-1";"O00203-1,Q13367-1";"AP3B1_HUMAN, AP3B2_HUMAN";"AP-3 complex subunit beta-1, AP-3 complex subunit beta-2";"AP3B1, AP3B2";1;1;4,02484403766711e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"Golgi apparatus, lysosomal membrane, AP-3 adaptor complex, clathrin-coated vesicle membrane";2,31449335740406e-05
"19";19;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";5;19;0,000792395961396709;4;4;4;5;5;4;5;5;0,00113807880515946;0,000919664040852153;0,00104839719883919;0,0010474365658292;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I";0,000439753737906772
"23";23;"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;14;0,000754540607775328;3;3;3;5;3;3;3;5;0,000919217496474948;0,000742805571457508;0,000812911058792233;0,00145029678345581;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane";0,000324029070036569
"24";24;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";12;51;0,0018533655266562;11;11;9;9;14;13;13;11;0,00277672339184134;0,00260444277129292;0,00237520693180995;0,00200794893532403;"perinuclear region of cytoplasm, brush border, blood microparticle, nuclear envelope, nucleus, extracellular vesicular exosome, extracellular space, cytoplasm, plasma membrane, mitochondrion, nuclear membrane, chloride channel complex";0,00118039161227607
"26";26;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;1,59527515955622e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,02052501844189e-05;NA;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane";2,31449335740406e-05
"27";27;"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";25;82;0,000327329522027811;15;17;17;20;16;20;21;25;NA;NA;NA;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle";0,00189788455307133
"30";30;"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";9;18;3,5698616681917e-05;5;5;3;4;5;5;3;5;NA;NA;NA;NA;"cell junction, mitochondrion, cytosol, coated pit, perinuclear region of cytoplasm, intracellular membrane-bounded organelle, protein complex, peroxisome, microtubule, mitochondrial outer membrane, Golgi apparatus, synaptic vesicle membrane, cytoplasm";0,000416608804332732
"31";31;"O00461";"O00461";"O00461";"GOLI4_HUMAN";"Golgi integral membrane protein 4";"GOLIM4";3;7;8,80839430772204e-05;3;NA;2;2;3;NA;2;2;0,000206031507830592;NA;0,000126530696411626;0,000126414757944903;"Golgi cisterna membrane, Golgi lumen, integral component of membrane, cis-Golgi network, nucleus, endosome membrane, endocytic vesicle, Golgi apparatus";0,000162014535018284
"32";32;"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;16;0,00172998728414096;3;3;4;4;4;3;5;4;0,00236045974403444;0,0017882356349903;0,00271806681180531;0,00217246102542353;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane";0,00037031893718465
"36";36;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";14;43;0,000292507702871608;8;9;11;13;8;9;12;14;NA;NA;NA;NA;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus";0,000995232143683748
"41";41;"O00767";"O00767";"O00767";"ACOD_HUMAN";"Acyl-CoA desaturase";"SCD";2;3;7,31871361501139e-05;1;NA;NA;2;1;NA;NA;2;0,000133145709795814;NA;NA;0,000245082650500426;"endoplasmic reticulum membrane, endoplasmic reticulum, integral component of membrane";6,94348007221219e-05
"44";44;"O14548";"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";1;3;0,000230475279630622;1;NA;1;1;1;NA;1;1;0,000419292191374538;NA;0,000386251599572333;0,0003858976821476;"mitochondrial respiratory chain, mitochondrial inner membrane";6,94348007221219e-05
"45";45;"O14561";"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";4;11;0,000617555556958974;1;2;3;4;2;2;3;4;0,000612811664316632;0,000619004642881257;0,000846782352908576;0,00112800860935452;"mitochondrial membrane, mitochondrial inner membrane, mitochondrial matrix, mitochondrial respiratory chain complex I";0,000254594269314447
"47";47;"O14617";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"AP3D1_HUMAN";"AP-3 complex subunit delta-1";"AP3D1";1;1;1,51917790563116e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endosome membrane, terminal bouton, lysosomal membrane, membrane coat, Golgi apparatus, Golgi membrane";2,31449335740406e-05
"49";49;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";3;5;5,85431860024307e-05;NA;1;2;2;NA;1;2;2;NA;6,45486124929653e-05;0,000117734444789428;0,000117626566216113;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane";0,000115724667870203
"53";53;"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;3;7,33915694913153e-05;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000368988958250664;NA;"intracellular membrane-bounded organelle, sperm midpiece, endomembrane system, brush border membrane, filopodium, cell periphery, membrane, microvillus membrane, membrane raft, microvillus, plasma membrane, ruffle, extracellular vesicular exosome, apical plasma membrane, cytoplasm, actin cytoskeleton, centrosome";6,94348007221219e-05
"58";58;"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";2;9;0,000113577155091747;2;2;2;2;2;2;2;3;NA;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane";0,000208304402166366
"59";59;"O14920";"O14920-1,O14920-2,O14920-4";"O14920-1,O14920-2,O14920-4";"IKKB_HUMAN";"Inhibitor of nuclear factor kappa-B kinase subunit beta";"IKBKB";2;2;7,72315751848644e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"nucleus, cytoplasm, cytosol, CD40 receptor complex, IkappaB kinase complex, cytoplasmic side of plasma membrane, membrane raft";4,62898671480813e-05
"60";60;"O14929";"O14929-1";"O14929-1";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";8;17;0,000355338975277761;5;3;4;5;5;3;4;5;NA;NA;NA;NA;"nucleus, nucleoplasm, intracellular membrane-bounded organelle, cytoplasm, nuclear matrix";0,000393463870758691
"62";62;"O14949";"O14949";"O14949";"QCR8_HUMAN";"Cytochrome b-c1 complex subunit 8";"UQCRQ";3;6;0,000640833704338802;NA;NA;2;3;NA;NA;2;4;NA;NA;0,00107396786222551;0,00214596759828421;"respiratory chain, mitochondrion, mitochondrial inner membrane";0,000138869601444244
