"";"Protein.Acs";"ID";"Description";"Go.Cc"
"315";"O15394";"NCAM2_HUMAN";"Neural cell adhesion molecule 2";"plasma membrane;integral to membrane;axon"
"387";"Q9HCF6-1";"TRPM3_HUMAN";"Transient receptor potential cation channel subfamily M member 3";"integral to membrane"
"408";"O95477";"ABCA1_HUMAN";"ATP-binding cassette sub-family A member 1";"membrane raft;Golgi apparatus;phagocytic vesicle;integral to plasma membrane"
"435";"P43146";"DCC_HUMAN";"Netrin receptor DCC";"membrane raft;plasma membrane;integral to membrane;cytosol;axon;growth cone membrane"
"476";"Q2Y0W8-5";"S4A8_HUMAN";"Electroneutral sodium bicarbonate exchanger 1";"integral to membrane;plasma membrane"
"522";"Q9UKN1";"MUC12_HUMAN";"Mucin-12";"Golgi lumen;integral to plasma membrane"
"527";"Q9Y493-3";"ZAN_HUMAN";"Zonadhesin";"plasma membrane;integral to membrane"
"551";"O75197";"LRP5_HUMAN";"Low-density lipoprotein receptor-related protein 5";"receptor complex;endoplasmic reticulum;integral to membrane;plasma membrane"
"553";"O75473-1";"LGR5_HUMAN";"Leucine-rich repeat-containing G-protein coupled receptor 5";"integral to plasma membrane"
"559";"O75970-1";"MPDZ_HUMAN";"Multiple PDZ domain protein";"postsynaptic density;postsynaptic membrane;cytoplasm;apical plasma membrane;cytoplasmic vesicle;tight junction;Schmidt-Lanterman incisure;apicolateral plasma membrane"
"565";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"extracellular space"
"579";"P12830";"CADH1_HUMAN";"Cadherin-1";"node of Ranvier;apical junction complex;cell-cell adherens junction;lateral plasma membrane;aggresome;Golgi apparatus;actin cytoskeleton;basolateral plasma membrane;axon terminus;perinuclear region of cytoplasm;lateral loop;Schmidt-Lanterman incisure;focal adhesion;apical part of cell;catenin complex;cell surface;trans-Golgi network;endosome;internal side of plasma membrane;integral to membrane"
"588";"P24821-4";"TENA_HUMAN";"Tenascin";"interstitial matrix;extracellular space;basement membrane"
"589";"P24821-5";"TENA_HUMAN";"Tenascin";"interstitial matrix;extracellular space;basement membrane"
"599";"P41180-2";"CASR_HUMAN";"Extracellular calcium-sensing receptor";"integral to plasma membrane"
"607";"P55290-1";"CAD13_HUMAN";"Cadherin-13";"anchored to membrane;cytoplasm;neuron projection;caveola;extracellular space"
"620";"P82279-1";"CRUM1_HUMAN";"Protein crumbs homolog 1";"microvillus;integral to membrane;extracellular region;apical plasma membrane"
"622";"P82987-1";"ATL3_HUMAN";"ADAMTS-like protein 3";"proteinaceous extracellular matrix"
"628";"Q02413";"DSG1_HUMAN";"Desmoglein-1";"internal side of plasma membrane;integral to membrane;lateral plasma membrane;apical plasma membrane;desmosome;cytosol"
"659";"Q17RW2-1";"COOA1_HUMAN";"Collagen alpha-1(XXIV) chain";"collagen;endoplasmic reticulum lumen;extracellular region"
"663";"Q4LDE5-1";"SVEP1_HUMAN";"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1";"cytoplasm;membrane;extracellular region"
"671";"Q5SZK8-1";"FREM2_HUMAN";"FRAS1-related extracellular matrix protein 2";"basement membrane;integral to membrane;plasma membrane"
"708";"Q8N3E9";"PLCD3_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3";"cleavage furrow;plasma membrane;cytosol"
"745";"Q9BWF2";"TRAIP_HUMAN";"TRAF-interacting protein";"cytoplasm;plasma membrane;perinuclear region of cytoplasm"
"747";"Q9BZB8-2";"CPEB1_HUMAN";"Cytoplasmic polyadenylation element-binding protein 1";"postsynaptic density;plasma membrane;cytoplasmic mRNA processing body;postsynaptic membrane;cell junction"
"753";"Q9H2Y9";"SO5A1_HUMAN";"Solute carrier organic anion transporter family member 5A1";"plasma membrane;integral to membrane"
"754";"Q9H5I5-2";"PIEZ2_HUMAN";"Piezo-type mechanosensitive ion channel component 2";"integral to membrane"
"755";"Q9H799-5";"CE042_HUMAN";"Uncharacterized protein C5orf42";"integral to membrane"
"757";"Q9HCF6-2";"TRPM3_HUMAN";"Transient receptor potential cation channel subfamily M member 3";"integral to membrane"
"800";"A6NCI4-1";"VWA3A_HUMAN";"von Willebrand factor A domain-containing protein 3A";"extracellular region"
"806";"A7MBM2";"DISP2_HUMAN";"Protein dispatched homolog 2";"integral to membrane"
"815";"O00408-1";"PDE2A_HUMAN";"cGMP-dependent 3',5'-cyclic phosphodiesterase";"mitochondrial matrix;dendrite;nucleus;endoplasmic reticulum;Golgi apparatus;cytosol;axon;plasma membrane;perinuclear region of cytoplasm;presynaptic membrane"
