"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6158.1.id.csv";"peptide.count.P6158.2.id.csv";"spectra.count.P6158.1.id.csv";"spectra.count.P6158.2.id.csv";"dNSAF.P6158.1.id.csv";"dNSAF.P6158.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"O00182";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";2;3;0,00184783944885518;2;1;2;1;NA;NA;"extracellular region, cytoplasm";0,0040650406504065
"3";3;"O00571";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";1;2;0,00044084879324166;1;1;1;1;0,00146958942988761;0,00217916493749013;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm";0,002710027100271
"8";8;"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";1;1;0,00101702791371099;1;NA;1;NA;0,00225564889238563;NA;"mitochondrial inner membrane, mitochondrion, extracellular vesicular exosome, plasma membrane, mitochondrial matrix";0,0013550135501355
"9";9;"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";1;1;0,00104873381989383;1;NA;1;NA;0,0023259688818365;NA;"extracellular vesicular exosome, cytosol";0,0013550135501355
"10";10;"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";1;1;0,0211412570460641;0;1;0;1;NA;0,0357575683113021;"phagocytic vesicle membrane, early endosome membrane, cell surface, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, integral component of plasma membrane, plasma membrane";0,0013550135501355
"11";11;"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";1;1;0,0509210551316942;0;1;0;1;NA;0,0827485644756527;"plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, cell surface";0,0013550135501355
"12";12;"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";1;2;0,00344348033776163;1;1;1;1;0,00381861820364497;0,00566239708166727;"lysosomal membrane, MHC class II protein complex, extracellular vesicular exosome, plasma membrane, late endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, transport vesicle membrane, integral component of plasma membrane, lysosome, Golgi membrane, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, endocytic vesicle membrane, ER to Golgi transport vesicle membrane";0,002710027100271
"13";13;"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";4;5;0,00287711844010346;4;1;4;1;0,00510488959855696;0,00189243270887301;"cell surface, endosome, plasma membrane, integral component of plasma membrane, perinuclear region of cytoplasm, extracellular region, extracellular space, blood microparticle, melanosome, external side of plasma membrane, intracellular membrane-bounded organelle, membrane, cytoplasmic membrane-bounded vesicle, extracellular vesicular exosome, coated pit";0,00677506775067751
"14";14;"P04075";"P04075-1";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";9;20;0,0260310716009361;8;8;10;10;NA;NA;"actin cytoskeleton, platelet alpha granule lumen, cytosol, extracellular space, extracellular vesicular exosome, extracellular region, I band";0,02710027100271
"15";15;"P04222";"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;0;"MHC class I protein complex, cell surface, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, plasma membrane, ER to Golgi transport vesicle membrane, early endosome membrane";0
"16";16;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";4;5;0,00339535716533949;2;3;2;3;0,00301220193703671;0,00669991704383612;"extracellular vesicular exosome, plasma membrane, blood microparticle, extracellular space, membrane, cytoskeleton, keratin filament";0,00677506775067751
"17";17;"P04406";"P04406-1";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";10;19;0,0248033374776681;9;6;12;7;NA;NA;"perinuclear region of cytoplasm, extracellular vesicular exosome, GAIT complex, ribonucleoprotein complex, cytosol, nucleus, microtubule cytoskeleton, lipid particle, cytoplasm, plasma membrane";0,0257452574525745
"18";18;"P04439";"P04439";"1A03_HUMAN";"HLA class I histocompatibility antigen, A-3 alpha chain";"HLA-A";0;0;0;0;0;0;0;NA;0;"MHC class I protein complex, integral component of plasma membrane, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, early endosome membrane";0
