"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5396";"Peptide.Count.P5455";"Spectra.Count.P5396";"Spectra.Count.P5455";"DNSAF.P5396";"DNSAF.P5455";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"1";1;"O00182";"O00182-1,O00182-2,Q3B8N2-1,Q3B8N2-2,Q6DKI2";"LEG9B_HUMAN, LEG9C_HUMAN, LEG9_HUMAN";"Galectin-9, Galectin-9B, Galectin-9C";"LGALS9, LGALS9B, LGALS9C";2;2;"1.40006705685299E-4";0;2;0;2;"0";"0.00124847861377722";0;"extracellular region, cytoplasm";0,00043917435221783
"3";3;"O00592";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;6;"6.69171835237798E-4";0;3;0;6;"0";"0";0;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome";0,00131752305665349
"4";4;"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";6;9;"0.00149758509650812";0;6;0;9;"0";"0.00267388066747474";0;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle";0,00197628458498024
"7";7;"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;34;"0.00237114600017073";0;21;0;34;"0";"0.00423359010743346";2;"integral component of plasma membrane, intracellular, extracellular vesicular exosome";0,00746596398770312
"8";8;"O15394";"O15394";"NCAM2_HUMAN";"Neural cell adhesion molecule 2";"NCAM2";5;7;"0.00104093396592546";0;5;0;7;"0";"0.00185854761381889";0;"plasma membrane, axon, integral component of membrane";0,00153711023276241
"9";9;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;4;"0.00107067493638048";0;3;0;4;"0";"0.00191164897421372";0;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";0,000878348704435661
"10";10;"O15431";"O15431";"COPT1_HUMAN";"High affinity copper uptake protein 1";"SLC31A1";2;4;"0.00262033602851011";0;2;0;4;"0";"0.00467850933162831";0;"integral component of plasma membrane";0,000878348704435661
"11";11;"O15439";"O15439-1";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";18;29;"0.00272416066360202";0;18;0;29;"0";"0";0;"platelet dense granule membrane, plasma membrane, basolateral plasma membrane, integral component of membrane";0,00636802810715854
"12";12;"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";4;5;"0.00116759813653124";0;4;0;5;"0";"0.00208470162525652";0;"extracellular vesicular exosome, cytosol";0,00109793588054458
"14";14;"O43699";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";2;2;"2.74759296587705E-4";0;2;0;2;"0";"0";0;"extracellular region, integral component of plasma membrane";0,00043917435221783
"16";16;"O75144";"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";3;6;"0.00123641683464467";0;3;0;6;"0";"0";0;"plasma membrane, integral component of membrane, external side of plasma membrane, integral component of plasma membrane";0,00131752305665349
"18";18;"O95297";"O95297-1,O95297-2,O95297-3,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;"5.78373426367242E-4";0;2;0;5;"0";"0";0;"integral component of plasma membrane";0,00109793588054458
"20";20;"O95858";"O95858";"TSN15_HUMAN";"Tetraspanin-15";"TSPAN15";3;5;"0.00211676805024201";0;3;0;5;"0";"0.00377940804850927";0;"integral component of plasma membrane";0,00109793588054458
"21";21;"P00338";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";8;13;"0.0029242002968765";3;6;3;10;"0";"0";4;"extracellular vesicular exosome, cilium, mitochondrion, cytosol";0,0028546332894159
"22";22;"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";18;42;"0.0125361399925124";8;16;14;28;"0.0267311740681943";"0.0149218642951215";0;"extracellular vesicular exosome, cytosol";0,00922266139657444
"23";23;"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";8;19;"0.00651474728851344";0;8;0;19;"0";"0.0116318310517756";0;"external side of plasma membrane, cytosol, dendrite cytoplasm, cell junction, lysosome, cytoplasmic membrane-bounded vesicle lumen, extracellular space, neuronal cell body";0,00417215634606939
"24";24;"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";17;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, Golgi membrane, cell surface, phagocytic vesicle membrane, extracellular vesicular exosome, integral component of plasma membrane, early endosome membrane";0
"25";25;"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;12;"0.0142246812976263";0;2;0;12;"0";"0.0253976220859823";30;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";0,00263504611330698
"26";26;"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";2;2;"9.8004693979709E-4";0;2;0;2;"0";"0.0017498361673413";0;"extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, trans-Golgi network membrane, late endosome membrane, MHC class II protein complex, lysosomal membrane, Golgi membrane, clathrin-coated endocytic vesicle membrane";0,00043917435221783
"27";27;"P01911";"P01911";"2B1F_HUMAN";"HLA class II histocompatibility antigen, DRB1-15 beta chain";"HLA-DRB1";0;0;"0";0;0;0;0;"0";"0";4;"late endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, plasma membrane, MHC class II protein complex, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, lysosomal membrane, extracellular vesicular exosome";0
