"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772-3.id.csv";"peptide.count.P5772-4.id.csv";"spectra.count.P5772-3.id.csv";"spectra.count.P5772-4.id.csv";"dNSAF.P5772-3.id.csv";"dNSAF.P5772-4.id.csv";"Go.Cc"
"1";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";3;6;0,00225161745124767;3;2;4;2;0,0035581632466375;0,00177670524451318;"extracellular space, cytoplasm, brush border, blood microparticle, nuclear envelope, extracellular vesicular exosome, perinuclear region of cytoplasm, mitochondrion, nucleus, chloride channel complex, plasma membrane, nuclear membrane"
"2";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;1;0,0011165428101866;NA;1;NA;1;NA;0,00264312323412146;"mitochondrial respiratory chain complex IV, extracellular vesicular exosome, mitochondrion, mitochondrial respiratory chain complex I, mitochondrial inner membrane"
"3";"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;9;0,000614773193826308;6;3;6;3;NA;NA;"nuclear speck, cytoplasmic stress granule, nucleus, cytoplasm, extracellular vesicular exosome, mitochondrial outer membrane"
"4";"O14818";"O14818-1,O14818-2,Q8TAA3-1,Q8TAA3-2,Q8TAA3-5";"PSA7_HUMAN, PSA7L_HUMAN";"Proteasome subunit alpha type-7, Proteasome subunit alpha type-7-like";"PSMA7, PSMA8";1;1;7,15506072983502e-05;1;NA;1;NA;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, nucleoplasm, nucleus, cytosol, proteasome core complex"
"5";"O14949";"O14949";"QCR8_HUMAN";"Cytochrome b-c1 complex subunit 8";"UQCRQ";3;3;0,00330877930335785;3;NA;3;NA;0,00784314642475279;NA;"respiratory chain, mitochondrion, mitochondrial inner membrane"
"6";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";1;1;0,000243118192540631;NA;1;NA;1;NA;0,000575518768719995;"Arp2/3 protein complex, actin cytoskeleton, extracellular vesicular exosome, cytoplasm"
"7";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";1;1;0,000256931726207712;1;NA;1;NA;0,000609032203437243;NA;"extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol"
"8";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";1;1;0,000113760965566182;1;NA;1;NA;0,000269659541647685;NA;"U12-type spliceosomal complex, nucleus, nucleolus"
"9";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";3;6;0,00101808593949472;3;3;3;3;0,00120663791150043;0,00120502616489965;"extracellular vesicular exosome, cytosol"
"10";"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";4;6;0,000217752731039602;3;3;3;3;NA;NA;"histone pre-mRNA 3'end processing complex, membrane, GAIT complex, ribonucleoprotein complex, endoplasmic reticulum, nucleoplasm, CRD-mediated mRNA stability complex, catalytic step 2 spliceosome, nucleus"
"11";"O60812";"O60812";"HNRCL_HUMAN";"Heterogeneous nuclear ribonucleoprotein C-like 1";"HNRNPCL1";1;1;0,000463003247227549;1;NA;1;NA;0,00109750513110875;NA;"ribonucleoprotein complex, nucleus"
"12";"O60814";"O60814,P57053,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN, H2BFS_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F, Histone H2B type F-S";"H2BFS, HIST1H2BD, HIST1H2BH, HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";1;2;0,000322999884375409;1;1;1;1;0,000425355824622837;0,000530984578283329;"nucleosome, nucleus, nucleoplasm, extracellular space"
"13";"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";5;7;0,000518917847029346;3;4;3;4;0,000527162300680106;0,000701944203160125;"cytosol"
"14";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";2;2;0,000565249797656967;2;NA;2;NA;0,00133987084756194;NA;"eukaryotic 48S preinitiation complex, cytosol, nucleus, perinuclear region of cytoplasm, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"15";"O75874";"O75874";"IDHC_HUMAN";"Isocitrate dehydrogenase [NADP] cytoplasmic";"IDH1";1;1;0,000218454028079987;NA;1;NA;1;NA;0,000517132806675938;"cytosol, peroxisomal matrix, extracellular vesicular exosome, cytoplasm, mitochondrion, peroxisome"
"16";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle subunit SRP72";"SRP72";2;2;0,000269567712742518;2;NA;2;NA;0,000638984606884977;NA;"cytosol, signal recognition particle, endoplasmic reticulum targeting, endoplasmic reticulum"
"17";"O94776";"O94776";"MTA2_HUMAN";"Metastasis-associated protein MTA2";"MTA2";3;3;0,000406167519274467;NA;3;NA;3;NA;0,000961495427981309;"nuclear chromatin, protein complex, nucleus, histone deacetylase complex, transcription factor complex, NuRD complex"
"18";"O95716";"O95716";"RAB3D_HUMAN";"Ras-related protein Rab-3D";"RAB3D";0;0;0;0;0;0;0;NA;0;"mitochondrion, extracellular vesicular exosome, zymogen granule, transport vesicle, plasma membrane"
"19";"O95831";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";3;3;0,000221304977875484;3;NA;3;NA;NA;NA;"cytosol, nucleus, mitochondrial intermembrane space, perinuclear region of cytoplasm, mitochondrion, mitochondrial inner membrane"
"20";"P00338";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";11;22;0,00318378651089918;11;9;11;11;NA;NA;"extracellular vesicular exosome, cilium, nucleus, cytosol, mitochondrion"
"21";"P00387";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";7;12;0,00120186003488524;6;6;6;6;NA;NA;"cytoplasm, mitochondrial outer membrane, endoplasmic reticulum membrane, endoplasmic reticulum, lipid particle, extracellular vesicular exosome, membrane, mitochondrion, hemoglobin complex, mitochondrial inner membrane"
"22";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";21;51;0,0110610032347263;20;19;27;24;0,013880676406397;0,0123218982425231;"cytosol, extracellular vesicular exosome"
"23";"P00846";"P00846";"ATP6_HUMAN";"ATP synthase subunit a";"MT-ATP6";2;2;0,000800353695797475;NA;2;NA;2;NA;0,00189462815897202;"mitochondrial inner membrane, extracellular vesicular exosome, proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex, integral component of membrane"
"24";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";7;17;0,00643870315119758;6;7;9;8;0,00771512641584667;0,00751051371949193;"cytoplasm, cell periphery, nucleus, keratin filament, intermediate filament, cytosol, extracellular vesicular exosome"
"25";"P02538";"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;4;0,00372251143706879;2;2;2;2;0,00471912738454783;0,004122759043742;"extracellular vesicular exosome, nucleus, keratin filament"
"26";"P02795";"P02795,P13640-1,P13640-2,P80297";"MT1G_HUMAN, MT1X_HUMAN, MT2_HUMAN";"Metallothionein-1G, Metallothionein-1X, Metallothionein-2";"MT1G, MT1X, MT2A";1;2;0,00147056857927016;1;1;1;1;0,00351441533786737;0,00350972101580063;"perinuclear region of cytoplasm, nucleus, cytosol, cytoplasm"
"27";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";15;30;0,00885143913913382;14;13;16;14;0,0110861970580432;0,00988121455217715;"actin cytoskeleton, platelet alpha granule lumen, extracellular vesicular exosome, I band, extracellular region, nucleus, M band, cytosol, extracellular space"
"28";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";1;2;0,00180951570281762;1;1;1;1;0,00227851561887692;0,00201720037946151;"keratin filament, extracellular vesicular exosome"
"29";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";29;114;0,0189726349631566;26;26;56;58;0,0220380844877601;0,0228985337142638;"plasma membrane, extracellular vesicular exosome, membrane, keratin filament, cytoskeleton, nucleus, blood microparticle, extracellular space"
"30";"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";1;1;0,00112031491427507;1;0;1;0;0,00277630896341662;0;"cilium, nucleus, neuronal cell body, internode region of axon, myelin sheath, cytosol, microtubule"
"31";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";12;25;0,00674925131530706;11;8;13;12;0,008319198098295;0,00766900233900316;"nucleus, extracellular vesicular exosome, cytosol, ribonucleoprotein complex, cytoplasm, microtubule cytoskeleton, lipid particle, plasma membrane, perinuclear region of cytoplasm, GAIT complex"
"32";"P04732";"P04732-1";"MT1E_HUMAN";"Metallothionein-1E";"MT1E";1;2;0,00593048968033539;1;1;1;1;NA;NA;"nucleus, perinuclear region of cytoplasm, cytoplasm"
"33";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";8;13;0,00193693505622157;7;6;7;6;0,00247224933981774;0,0021162403489012;"melanosome, rough endoplasmic reticulum, endoplasmic reticulum membrane, oligosaccharyltransferase complex, integral component of membrane"
"34";"P04844";"P04844-1,P04844-2";"RPN2_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2";"RPN2";3;4;0,000286655998811774;2;2;2;2;NA;NA;"rough endoplasmic reticulum, endoplasmic reticulum membrane, autophagic vacuole membrane, endoplasmic reticulum, oligosaccharyltransferase complex, integral component of membrane, nucleus"
"35";"P04908";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AC, HIST1H2AD, HIST1H2AE,HIST1H2AB, HIST1H2AH, HIST1H2AJ, HIST1H2AK,HIST1H2AI,HIST1H2AG,HIST1H2AL,HIST1H2AM, HIST2H2AA4,HIST2H2AA3, HIST2H2AC, HIST3H2A";2;6;0,000539165185665289;2;2;3;3;0,000736066388360205;0,000689140499883599;"nucleus, nucleosome, extracellular vesicular exosome"
"36";"P05023";"P05023-1,P05023-3";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";3;3;0,00013260992320398;NA;3;NA;3;NA;NA;"protein complex, Golgi apparatus, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, T-tubule, membrane, integral component of membrane, plasma membrane, caveola, melanosome, basolateral plasma membrane, endoplasmic reticulum, endosome"
"37";"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";5;10;0,00972472770162523;5;4;5;5;0,0115257707317156;0,0115103753743999;"extracellular region, nucleus, plasma membrane, cytosol, cytoskeleton, extracellular space, extracellular vesicular exosome"
"38";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";7;12;0,00364187789094421;5;7;5;7;0,00359696871828707;0,00502902977767405;"MMXD complex, mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane, nucleus"
"39";"P05165";"P05165-1,P05165-2";"PCCA_HUMAN";"Propionyl-CoA carboxylase alpha chain, mitochondrial";"PCCA";41;122;0,00757807421034614;36;40;60;62;NA;NA;"cytosol, mitochondrial matrix"
"40";"P05166";"P05166-1,P05166-2";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";13;22;0,00184571362500234;13;9;13;9;NA;NA;"mitochondrial matrix, cytosol, mitochondrion"
"41";"P05198";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";2;4;0,00114844403333479;2;2;2;2;0,00136113863879308;0,00135932052040532;"nucleus, eukaryotic translation initiation factor 2 complex, cytosol, extracellular vesicular exosome, polysome, cytoplasmic stress granule"
"42";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";2;3;0,00235930350326386;1;2;1;2;0,00186416813573834;0,00372335620806675;"cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome"
"43";"P05388";"P05388,Q8NHW5";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";3;4;0,000570599164827222;2;2;2;2;0,000676275506655866;0,000675372182851224;"extracellular vesicular exosome, ribonucleoprotein complex, cytoplasm, cytosol, nucleus, cytosolic large ribosomal subunit"
"44";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";2;2;0,000443333174632915;NA;2;NA;2;NA;0,00104947540178352;"ribonucleoprotein complex, nucleus"
"45";"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;0;0;"nucleoplasm, extracellular vesicular exosome, intermediate filament, Z disc, costamere, nuclear matrix, cytoplasm, keratin filament, nucleus, dystrophin-associated glycoprotein complex, sarcolemma"
"46";"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";4;7;0,00285171069088199;3;4;3;4;NA;NA;"extracellular vesicular exosome, nucleus"
"47";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;14;0,00239349630765899;9;5;9;5;0,00364728548296633;0,00202356315655802;"mitochondrial nucleoid, mitochondrion, mitochondrial membrane, mitochondrial proton-transporting ATP synthase, catalytic core, plasma membrane, extracellular vesicular exosome, nucleus, cell surface, membrane, mitochondrial proton-transporting ATP synthase complex, mitochondrial matrix"
"48";"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";3;4;0,00317333219737244;NA;3;NA;4;NA;0,00751203445487151;"nucleus, cytosol, extracellular space, plasma membrane, extracellular vesicular exosome, cytoskeleton, extracellular region"
"49";"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";23;49;0,0102109640867065;20;21;23;26;NA;NA;"M band, cytoplasm, extracellular vesicular exosome, plasma membrane, extracellular space, phosphopyruvate hydratase complex, cytosol, nucleus"
