"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5828-1.id.csv";"peptide.count.P5828-2.id.csv";"spectra.count.P5828-1.id.csv";"spectra.count.P5828-2.id.csv";"dNSAF.P5828-1.id.csv";"dNSAF.P5828-2.id.csv"
"P78527-1,P78527-2";"P78527-1,P78527-2";"P78527-[1,2]";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";39;56;0,000407207523768382;19;24;21;35;NA;NA
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";40;87;0,0086045470261286;24;26;38;49;0,011165924399898;0,00958642187415804
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";20;109;0,0124468518461757;17;16;55;54;0,0184460442239294;0,0123686940527688
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";19;33;0,00135693340797026;11;12;12;21;NA;NA
"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";17;32;0,00189456484431207;7;11;7;25;0,00123128861141821;0,00292786603752261
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";18;60;0,0078645413721768;12;15;35;25;0,0133105881655608;0,00670558673260987
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";17;51;0,00553659167940519;11;13;16;35;0,00516053382372749;0,00751609154948841
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";17;61;0,0060137798825667;13;14;29;32;0,00842112351827185;0,0063030611294843
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";16;43;0,00621028242933297;10;12;19;24;0,00725950644247051;0,00741258608151157
"Q08211-1";"Q08211-1";"Q08211-1";"DHX9_HUMAN";"ATP-dependent RNA helicase A";"DHX9";20;33;0,00155993919341463;14;13;14;19;NA;NA
"P61247";"P61247";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";15;36;0,00818645775056436;10;8;20;16;0,0135121932032259;0,00719722705951012
"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";13;25;0,00367226653323678;5;9;5;20;0,00232392117632028;0,00572557441933651
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";12;60;0,0107523624186517;8;10;22;38;0,011713256436468;0,0134706309442174
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";12;22;0,00230497123401579;9;7;12;10;0,00373530785932108;0,00207249993860239
"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";12;22;0,00216871677683259;5;9;7;15;0,00205012586531703;0,0029249814404413
"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";12;41;0,0101291973813567;8;10;18;23;0,0132119222431542;0,0112401138645436
"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";12;42;0,00590498591843986;8;8;17;25;0,00710102143982174;0,00695282473547523
"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";13;33;0,00491593740852748;8;8;13;20;0,00575357904137359;0,00589351099165841
"P53396-1,P53396-2";"P53396-1,P53396-2";"P53396-[1,2]";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";12;16;0,000436214521374304;4;8;4;12;NA;NA
"P62424";"P62424";"P62424";"RL7A_HUMAN";"60S ribosomal protein L7a";"RPL7A";12;32;0,00722213816591141;8;8;11;21;0,00737582877108419;0,00937533524857239
"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"Q12906-[1-6]";"ILF3_HUMAN";"Interleukin enhancer-binding factor 3";"ILF3";12;28;0,000378213267466738;7;7;10;18;NA;NA
"P18124";"P18124";"P18124";"RL7_HUMAN";"60S ribosomal protein L7";"RPL7";11;27;0,00653596223633767;5;8;7;20;0,00503438166120189;0,00957695536144491
"P46781";"P46781";"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";11;24;0,00742688950566663;7;5;7;17;0,00643570439163954;0,0104062999494463
"P62269";"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";11;47;0,0185631520045692;7;9;21;26;0,024641973394304;0,0203132263719068
"P62753";"P62753";"P62753";"RS6_HUMAN";"40S ribosomal protein S6";"RPS6";11;28;0,00675081388801559;9;5;17;11;0,0121772536337505;0,00524617153132966
"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";11;17;0,0017535711332824;8;6;8;9;0,00245169691110078;0,00183640587343171
"O75643-1";"O75643-1";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";10;12;0,000337269794967071;2;8;3;9;NA;NA
"P15880";"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";10;37;0,0075810882923315;7;8;10;27;0,00608740444650449;0,0109432240785384
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";37;57;0,0017458874182326;17;24;21;36;NA;NA
"P62701";"P62701";"P62701";"RS4X_HUMAN";"40S ribosomal protein S4, X isoform";"RPS4X";16;48;0,010956779955128;9;11;23;25;0,0155981059182486;0,0112884264716651
"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";9;18;0,00144466901480547;6;7;8;10;0,00190760374633777;0,00158762361606841
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";10;15;0,00215949724835031;8;4;9;6;0,0038495169125737;0,00170869419398442
"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";9;12;0,0004764605040011;5;5;5;7;0,000589817957283669;0,000549788178157023
"P62249";"P62249";"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";9;18;0,00740145495256504;7;5;7;11;0,0085515524108087;0,00894723774863758
"P62280";"P62280";"P62280";"RS11_HUMAN";"40S ribosomal protein S11";"RPS11";9;19;0,00721928130745971;4;7;6;13;0,00677320064364233;0,00977091901433494
"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";9;114;0,0664454240725418;8;7;36;78;0,0623397496133294;0,089930400248442
"Q02543";"Q02543";"Q02543";"RL18A_HUMAN";"60S ribosomal protein L18a";"RPL18A";9;30;0,0102330721882054;4;7;8;22;0,00810731592193552;0,0148442808102396
"Q02878";"Q02878";"Q02878";"RL6_HUMAN";"60S ribosomal protein L6";"RPL6";9;26;0,00541973823301251;6;6;12;14;0,00743170626177423;0,00577277587064874
"Q9NVP1";"Q9NVP1";"Q9NVP1";"DDX18_HUMAN";"ATP-dependent RNA helicase DDX18";"DDX18";9;18;0,00161285436279775;5;6;5;13;0,00133105186778046;0,00230418687203719
